weather_year,column,mode,unit,min,max,mean,median
1987,industry_other_e_demand,physical,raw MW (no per-unit denominator for this series),3346.1963,6783.4639,4594.960749,4197.7139
1997,industry_other_e_demand,physical,raw MW (no per-unit denominator for this series),3346.1963,6783.4639,4594.960749,4197.7139
2004,industry_other_e_demand,physical,raw MW (no per-unit denominator for this series),3346.1963,6783.4639,4594.960749,4197.7139
default,industry_steel_h_demand,shape,normalized,0.000114,0.000114,0.000114,0.000114
1987,industry_steel_h_demand,shape,normalized,0.000114,0.000114,0.000114,0.000114
1997,industry_steel_h_demand,shape,normalized,0.000114,0.000114,0.000114,0.000114
2004,industry_steel_h_demand,shape,normalized,0.000114,0.000114,0.000114,0.000114
default,industry_steel_h_demand,physical,raw MW (no per-unit denominator for this series),243.0701,243.0701,243.0701,243.0701
1987,industry_steel_h_demand,physical,raw MW (no per-unit denominator for this series),243.0701,243.0701,243.0701,243.0701
1997,industry_steel_h_demand,physical,raw MW (no per-unit denominator for this series),243.0701,243.0701,243.0701,243.0701
2004,industry_steel_h_demand,physical,raw MW (no per-unit denominator for this series),243.0701,243.0701,243.0701,243.0701
default,industry_other_h_demand,shape,normalized,7.3e-05,0.000181,0.000114,0.000112
1987,industry_other_h_demand,shape,normalized,7.3e-05,0.000181,0.000114,0.000112
1997,industry_other_h_demand,shape,normalized,7.3e-05,0.000181,0.000114,0.000112
2004,industry_other_h_demand,shape,normalized,7.3e-05,0.000181,0.000114,0.000112
default,industry_other_h_demand,physical,raw MW (no per-unit denominator for this series),3778.1322,9393.4287,5913.953668,5787.2221
1987,industry_other_h_demand,physical,raw MW (no per-unit denominator for this series),3778.1322,9393.4287,5913.953668,5787.2221
1997,industry_other_h_demand,physical,raw MW (no per-unit denominator for this series),3778.1322,9393.4287,5913.953668,5787.2221
2004,industry_other_h_demand,physical,raw MW (no per-unit denominator for this series),3778.1322,9393.4287,5913.953668,5787.2221
default,industry_chemicals_fertilizers_h_demand,shape,normalized,0.000114,0.000114,0.000114,0.000114
1987,industry_chemicals_fertilizers_h_demand,shape,normalized,0.000114,0.000114,0.000114,0.000114
1997,industry_chemicals_fertilizers_h_demand,shape,normalized,0.000114,0.000114,0.000114,0.000114
2004,industry_chemicals_fertilizers_h_demand,shape,normalized,0.000114,0.000114,0.000114,0.000114
default,industry_chemicals_fertilizers_h_demand,physical,raw MW (no per-unit denominator for this series),494.6728,494.6728,494.6728,494.6728
