PK_UID;jaar;naamgeving;effluent_z;effluent_w;temp_z;temp_w;waterschap;wp_gj_z;wp_gj_w;opmerking;ws;tp_z_jaar;tp_w_jaar;gemeente;res_regio;tp_w_nb;tp_z_nb;tp_w_bb;tp_z_bb;provincie;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
90.0;0.0;RWZI Woerden;15120.0;15120.0;0.0;0.0;De Stichtse Rijnlanden;316.008;316.008;RWZI gegevens van watersector.nl, DWA dagdebiet is 24x uurdebiet. Indien geen DWA bekent, dan DWA = 0,3 x RWA;De Stichtse Rijnlanden;115343.0;89019.0;Woerden;U10/U16;914.0;1829.0;366.0;732.0;Utrecht;;GM0632;;;;GM0632;;;;GM0632;;;False;False;False;52.0846677936941;4.850676540166728;WarmteAtlas:AquathermieRWZI;;;
92.0;0.0;RWZI Driebergen;13320.0;13320.0;0.0;0.0;De Stichtse Rijnlanden;278.388;278.388;RWZI gegevens van watersector.nl, DWA dagdebiet is 24x uurdebiet. Indien geen DWA bekent, dan DWA = 0,3 x RWA;De Stichtse Rijnlanden;101612.0;78422.0;Utrechtse Heuvelrug;U10/U16;806.0;1611.0;322.0;644.0;Utrecht;;GM1581;;;;GM1581;;;;GM1581;;;False;False;False;52.04611514658908;5.2599606760118505;WarmteAtlas:AquathermieRWZI;;;
93.0;0.0;RWZI Breukelen;6372.0;6372.0;0.0;0.0;De Stichtse Rijnlanden;133.1748;133.1748;RWZI gegevens van watersector.nl, DWA dagdebiet is 24x uurdebiet. Indien geen DWA bekent, dan DWA = 0,3 x RWA;De Stichtse Rijnlanden;48609.0;37515.0;Stichtse Vecht;U10/U16;385.0;771.0;154.0;308.0;Utrecht;;GM1904;;;;GM1904;;;;GM1904;;;False;False;False;52.16440445645205;4.9940424573549045;WarmteAtlas:AquathermieRWZI;;;
157.0;0.0;AWZI Nieuwe Wetering;2700.0;2700.0;0.0;0.0;HH van Rijnland;56.43;56.43;Aangeleverd door Waterschap;HH van Rijnland;20597.0;15896.0;Kaag en Braassem;Holland Rijnland;163.0;326.0;65.0;131.0;Zuid-Holland;;GM1884;2376.0;;;GM1884;2376.0;;;GM1884;2376.0;;False;False;False;52.213247993420424;4.610991788878987;WarmteAtlas:AquathermieRWZI;;;
158.0;0.0;AWZI Leimuiden;1558.0;1558.0;0.0;0.0;HH van Rijnland;32.5622;32.5622;Aangeleverd door Waterschap;HH van Rijnland;11885.0;9173.0;Kaag en Braassem;Holland Rijnland;94.0;188.0;38.0;75.0;Zuid-Holland;;GM1884;2451.0;;;GM1884;2451.0;;;GM1884;2451.0;;False;False;False;52.22030427837596;4.653815589546841;WarmteAtlas:AquathermieRWZI;;;
159.0;0.0;RWZI Horstermeer;18672.0;18672.0;0.0;0.0;HH Amstel, Gooi en Vecht;390.2448;390.2448;RWZI gegevens van watersector.nl, DWA dagdebiet is 24x uurdebiet. Indien geen DWA bekent, dan DWA = 0,3 x RWA;HH Amstel, Gooi en Vecht;142439.0;109932.0;Wijdemeren;Noord-Holland Zuid;1129.0;2258.0;452.0;903.0;Noord-Holland;;GM1696;1394.0;;;GM1696;1394.0;;;GM1696;1394.0;;False;False;False;52.25803132789376;5.085664232994243;WarmteAtlas:AquathermieRWZI;;;
161.0;0.0;RWZI Weesp;7440.0;7440.0;0.0;0.0;HH Amstel, Gooi en Vecht;155.496;155.496;RWZI gegevens van watersector.nl, DWA dagdebiet is 24x uurdebiet. Indien geen DWA bekent, dan DWA = 0,3 x RWA;HH Amstel, Gooi en Vecht;56756.0;43803.0;Weesp;Noord-Holland Zuid;450.0;900.0;180.0;360.0;Noord-Holland;;GM0363;1382.0;;;GM0363;1382.0;;;GM0363;1382.0;;False;False;False;52.318460271348435;5.020326190319431;WarmteAtlas:AquathermieRWZI;;;
165.0;0.0;RWZI Huizen;6600.0;6600.0;0.0;0.0;HH Amstel, Gooi en Vecht;137.94;137.94;RWZI gegevens van watersector.nl, DWA dagdebiet is 24x uurdebiet. Indien geen DWA bekent, dan DWA = 0,3 x RWA;HH Amstel, Gooi en Vecht;50348.0;38858.0;Huizen;Noord-Holland Zuid;399.0;798.0;160.0;319.0;Noord-Holland;;GM0406;1271.0;;;GM0406;1271.0;;;GM0406;1271.0;;False;False;False;52.31022944923948;5.24089105186174;WarmteAtlas:AquathermieRWZI;;;
166.0;0.0;RWZI Hilversum (HH Amstel, Gooi en Vecht);8544.0;8544.0;0.0;0.0;HH Amstel, Gooi en Vecht;178.5696;178.5696;RWZI gegevens van watersector.nl, DWA dagdebiet is 24x uurdebiet. Indien geen DWA bekent, dan DWA = 0,3 x RWA;HH Amstel, Gooi en Vecht;65178.0;50303.0;Hilversum;Noord-Holland Zuid;517.0;1034.0;207.0;413.0;Noord-Holland;;GM0402;1223.0;;;GM0402;1223.0;;;GM0402;1223.0;;False;False;False;52.224281692269685;5.203794679316971;WarmteAtlas:AquathermieRWZI;;;
167.0;0.0;RWZI Gooiergracht;9240.0;9240.0;0.0;0.0;HH Amstel, Gooi en Vecht;193.116;193.116;RWZI gegevens van watersector.nl, DWA dagdebiet is 24x uurdebiet. Indien geen DWA bekent, dan DWA = 0,3 x RWA;HH Amstel, Gooi en Vecht;70487.0;54401.0;Blaricum;Noord-Holland Zuid;559.0;1118.0;224.0;447.0;Noord-Holland;;GM0376;1261.0;;;GM0376;1261.0;;;GM0376;1261.0;;False;False;False;52.264529644139955;5.2507385304888725;WarmteAtlas:AquathermieRWZI;;;
168.0;0.0;RWZI Loenen aan de Vecht;1488.0;1488.0;0.0;0.0;HH Amstel, Gooi en Vecht;31.0992;31.0992;RWZI gegevens van watersector.nl, DWA dagdebiet is 24x uurdebiet. Indien geen DWA bekent, dan DWA = 0,3 x RWA;HH Amstel, Gooi en Vecht;11351.0;8761.0;Stichtse Vecht;U10/U16;90.0;180.0;36.0;72.0;Utrecht;;GM1904;;;;GM1904;;;;GM1904;;;False;False;False;52.22464750491519;5.008551971531914;WarmteAtlas:AquathermieRWZI;;;
169.0;0.0;RWZI Maarssen;2640.0;2640.0;0.0;0.0;HH Amstel, Gooi en Vecht;55.176;55.176;RWZI gegevens van watersector.nl, DWA dagdebiet is 24x uurdebiet. Indien geen DWA bekent, dan DWA = 0,3 x RWA;HH Amstel, Gooi en Vecht;20139.0;15543.0;Stichtse Vecht;U10/U16;160.0;319.0;64.0;128.0;Utrecht;;GM1904;;;;GM1904;;;;GM1904;;;False;False;False;52.15184873733029;5.038339516129573;WarmteAtlas:AquathermieRWZI;;;
170.0;0.0;RWZI De Ronde Venen;7896.0;7896.0;0.0;0.0;HH Amstel, Gooi en Vecht;165.0264;165.0264;RWZI gegevens van watersector.nl, DWA dagdebiet is 24x uurdebiet. Indien geen DWA bekent, dan DWA = 0,3 x RWA;HH Amstel, Gooi en Vecht;60235.0;46488.0;De Ronde Venen;U10/U16;478.0;955.0;191.0;382.0;Utrecht;;GM0736;;;;GM0736;;;;GM0736;;;False;False;False;52.212161077429386;4.885240227974213;WarmteAtlas:AquathermieRWZI;;;
306.0;0.0;rwzi Oud-Beijerland;7407.0;7407.0;23.0;10.0;Waterschap Hollandse Delta;154.8063;154.8063;RWZI gegevens van waterschap. DWA debieten is gemiddelde van 2012 tot en met 2014;Waterschap Hollandse Delta;56504.0;43609.0;Oud-Beijerland;Hoeksewaard;448.0;896.0;179.0;358.0;Zuid-Holland;;GM1963;3261.0;;;GM1963;3261.0;;;GM1963;3261.0;;False;False;False;51.82697072008048;4.428862797212639;WarmteAtlas:AquathermieRWZI;;;
307.0;0.0;rwzi Oostvoorne;2930.0;2930.0;23.0;10.0;Waterschap Hollandse Delta;61.237;61.237;RWZI gegevens van waterschap. DWA debieten is gemiddelde van 2012 tot en met 2014;Waterschap Hollandse Delta;22352.0;17250.0;Westvoorne;Rotterdam-Den Haag;177.0;354.0;71.0;142.0;Zuid-Holland;;GM1992;3233.0;;;GM1992;3233.0;;;GM1992;3233.0;;False;False;False;51.916575097880234;4.117186914796763;WarmteAtlas:AquathermieRWZI;;;
308.0;0.0;rwzi Piershil;833.0;833.0;23.0;10.0;Waterschap Hollandse Delta;17.4097;17.4097;RWZI gegevens van waterschap. DWA debieten is gemiddelde van 2012 tot en met 2014;Waterschap Hollandse Delta;6355.0;4904.0;Korendijk;Hoeksewaard;50.0;101.0;20.0;40.0;Zuid-Holland;;GM1963;3265.0;;;GM1963;;;;GM1963;;;False;False;False;51.7988432934846;4.345384957220395;WarmteAtlas:AquathermieRWZI;;;
309.0;0.0;rwzi Hellevoetsluis;3871.0;3871.0;23.0;10.0;Waterschap Hollandse Delta;80.9039;80.9039;RWZI gegevens van waterschap. DWA debieten is gemiddelde van 2012 tot en met 2014;Waterschap Hollandse Delta;29530.0;22791.0;Hellevoetsluis;Rotterdam-Den Haag;234.0;468.0;94.0;187.0;Zuid-Holland;;GM1992;3225.0;;;GM1992;3225.0;;;GM1992;3225.0;;False;False;False;51.84251379869752;4.1754641522420215;WarmteAtlas:AquathermieRWZI;;;
