gemeentecode;jaar;individuele_cv;blokverwarming;stadsverwarming_hoog_gas;stadsverwarming_laag_gas;stadsverwarming_zonder_gas;elektrisch_hoog_gas;elektrisch_laag_gas;elektrisch_zonder_gas
GM0294;2023;87.0;4.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0294;2024;85.0;4.0;n.a.;n.a.;n.a.;3.0;2.0;4.0
GM0296;2022;93.0;3.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
GM0296;2023;90.0;2.0;n.a.;n.a.;n.a.;2.0;1.0;2.0
GM0296;2024;88.0;2.0;n.a.;n.a.;n.a.;3.0;2.0;3.0
GM0297;2022;91.0;1.0;n.a.;n.a.;n.a.;2.0;1.0;4.0
GM0297;2023;88.0;1.0;n.a.;n.a.;n.a.;3.0;1.0;5.0
GM0297;2024;86.0;1.0;n.a.;n.a.;n.a.;3.0;2.0;5.0
GM0299;2022;88.0;1.0;0.0;0.0;4.0;3.0;0.0;3.0
GM0299;2023;86.0;1.0;0.0;0.0;4.0;4.0;1.0;3.0
GM0299;2024;84.0;1.0;0.0;0.0;4.0;4.0;2.0;4.0
GM0301;2022;92.0;4.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
GM0301;2023;89.0;4.0;n.a.;n.a.;n.a.;1.0;1.0;3.0
GM0301;2024;88.0;3.0;n.a.;n.a.;n.a.;2.0;1.0;5.0
GM0302;2022;91.0;2.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0302;2023;87.0;2.0;n.a.;n.a.;n.a.;2.0;1.0;5.0
GM0302;2024;84.0;2.0;n.a.;n.a.;n.a.;3.0;1.0;7.0
GM0303;2022;89.0;2.0;n.a.;n.a.;n.a.;2.0;1.0;4.0
GM0303;2023;85.0;2.0;n.a.;n.a.;n.a.;3.0;1.0;5.0
GM0303;2024;82.0;2.0;n.a.;n.a.;n.a.;4.0;2.0;7.0
GM0307;2022;83.0;5.0;0.0;0.0;5.0;1.0;0.0;4.0
GM0307;2023;81.0;5.0;0.0;0.0;5.0;2.0;1.0;5.0
GM0307;2024;79.0;5.0;0.0;0.0;5.0;3.0;1.0;6.0
GM0308;2022;90.0;5.0;n.a.;n.a.;n.a.;1.0;0.0;1.0
GM0308;2023;88.0;5.0;n.a.;n.a.;n.a.;2.0;0.0;2.0
GM0308;2024;87.0;5.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0310;2022;82.0;14.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
GM0310;2023;80.0;14.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0310;2024;78.0;14.0;n.a.;n.a.;n.a.;3.0;1.0;3.0
GM0312;2022;95.0;0.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
GM0312;2023;90.0;0.0;n.a.;n.a.;n.a.;3.0;1.0;4.0
GM0312;2024;87.0;0.0;n.a.;n.a.;n.a.;3.0;2.0;6.0
GM0313;2022;93.0;1.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
GM0313;2023;90.0;2.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0313;2024;88.0;2.0;n.a.;n.a.;n.a.;3.0;2.0;5.0
GM0317;2022;94.0;2.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
GM0317;2023;91.0;2.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0317;2024;86.0;2.0;n.a.;n.a.;n.a.;3.0;1.0;7.0
GM0321;2022;74.0;0.0;0.0;0.0;17.0;1.0;0.0;7.0
GM0321;2023;71.0;0.0;0.0;0.0;17.0;3.0;1.0;8.0
GM0321;2024;69.0;0.0;0.0;0.0;16.0;3.0;1.0;9.0
GM0327;2022;91.0;3.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0327;2023;88.0;3.0;n.a.;n.a.;n.a.;3.0;1.0;5.0
GM0327;2024;85.0;3.0;n.a.;n.a.;n.a.;3.0;2.0;6.0
GM0331;2022;91.0;3.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
GM0331;2023;89.0;2.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0331;2024;87.0;2.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0335;2022;93.0;2.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0335;2023;91.0;2.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0335;2024;90.0;2.0;n.a.;n.a.;n.a.;2.0;1.0;4.0
GM0339;2022;88.0;0.0;n.a.;n.a.;n.a.;1.0;0.0;7.0
GM0339;2023;85.0;0.0;n.a.;n.a.;n.a.;2.0;1.0;7.0
GM0339;2024;84.0;0.0;n.a.;n.a.;n.a.;3.0;1.0;8.0
GM0340;2022;91.0;4.0;n.a.;n.a.;n.a.;1.0;1.0;2.0
GM0340;2023;88.0;4.0;n.a.;n.a.;n.a.;3.0;1.0;3.0
GM0340;2024;86.0;3.0;n.a.;n.a.;n.a.;4.0;2.0;4.0
GM0342;2022;81.0;12.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0342;2023;79.0;12.0;n.a.;n.a.;n.a.;2.0;0.0;3.0
GM0342;2024;77.0;12.0;n.a.;n.a.;n.a.;3.0;1.0;4.0
GM0344;2022;60.0;2.0;0.0;6.0;26.0;0.0;0.0;4.0
GM0344;2023;58.0;2.0;0.0;5.0;28.0;1.0;0.0;5.0
GM0344;2024;57.0;2.0;0.0;5.0;29.0;1.0;0.0;5.0
GM0345;2022;74.0;13.0;0.0;0.0;7.0;1.0;0.0;2.0
GM0345;2023;73.0;13.0;0.0;0.0;7.0;1.0;1.0;3.0
GM0345;2024;71.0;13.0;0.0;0.0;8.0;2.0;1.0;4.0
GM0351;2022;88.0;1.0;n.a.;n.a.;n.a.;2.0;0.0;6.0
GM0351;2023;83.0;1.0;n.a.;n.a.;n.a.;3.0;1.0;9.0
GM0351;2024;80.0;0.0;n.a.;n.a.;n.a.;3.0;1.0;11.0
GM0352;2022;87.0;5.0;n.a.;n.a.;n.a.;2.0;1.0;4.0
GM0352;2023;85.0;5.0;n.a.;n.a.;n.a.;3.0;1.0;4.0
GM0352;2024;84.0;5.0;n.a.;n.a.;n.a.;3.0;2.0;5.0
