waterschap;res_gebied;naamgeving;med_uur;gj_exwko;gj_zomer;gj_metwko;opmerking;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
Vallei en Veluwe;U10/U16;Veenendaal;750.0;105963.0;31350.0;137313.0;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1581;;;;GM1581;;;;GM1581;;;False;False;False;52.03789212424647;5.5232381132560855;WarmteAtlas:TEA_assets_met_wko;;;
Waterschap Hollandse Delta;Hoeksewaard;rwzi Oud-Beijerland;308.625;43603.77;12900.52;56504.29;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1963;3261.0;;;GM1963;3261.0;;;GM1963;3261.0;;False;False;False;51.82697072008048;4.428862797212639;WarmteAtlas:TEA_assets_met_wko;;;
Waterschap Hollandse Delta;Rotterdam-Den Haag;rwzi Oostvoorne;122.083333333;17248.42;5103.08;22351.5;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1992;3233.0;;;GM1992;3233.0;;;GM1992;3233.0;;False;False;False;51.916575097880234;4.117186914796763;WarmteAtlas:TEA_assets_met_wko;;;
Waterschap Hollandse Delta;Hoeksewaard;rwzi Piershil;34.7083333333;4.82;1454.4;1459.22;Minimale waarde < 20 m3/uur;;GM1963;3265.0;;;GM1963;;;;GM1963;;;False;False;False;51.7988432934846;4.345384957220395;WarmteAtlas:TEA_assets_met_wko;;;
Waterschap Hollandse Delta;Rotterdam-Den Haag;rwzi Hellevoetsluis;161.291666667;22787.93;6741.99;29529.92;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1992;3225.0;;;GM1992;3225.0;;;GM1992;3225.0;;False;False;False;51.84251379869752;4.1754641522420215;WarmteAtlas:TEA_assets_met_wko;;;
Waterschap Hollandse Delta;Rotterdam-Den Haag;rwzi Heenvliet;62.375;8812.58;2607.27;11419.86;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1930;3218.0;;;GM1930;3218.0;;;GM1930;3218.0;;False;False;False;51.86574168678694;4.223895718249493;WarmteAtlas:TEA_assets_met_wko;;;
Waterschap Hollandse Delta;Rotterdam-Den Haag;rwzi Spijkenisse-Allemanspolder;485.333333333;68569.83;20286.93;88856.76;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1930;3207.0;;;GM1930;3207.0;;;GM1930;3207.0;;False;False;False;51.84107344735901;4.364888161487069;WarmteAtlas:TEA_assets_met_wko;;;
Waterschap Hollandse Delta;Hoeksewaard;rwzi Numansdorp;144.75;20450.85;6050.55;26501.4;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1963;3281.0;;;GM1963;;;;GM1963;;;False;False;False;51.72646018146393;4.4216700010400345;WarmteAtlas:TEA_assets_met_wko;;;
Waterschap Hollandse Delta;Hoeksewaard;rwzi Strijen;23.3333333333;3.24;972.0;975.24;Minimale waarde < 20 m3/uur;;GM1963;;;;GM1963;;;;GM1963;;;False;False;False;51.74545002862149;4.561466569914767;WarmteAtlas:TEA_assets_met_wko;;;
Aa en Maas;Metropoolregio Eindhoven;Elsendorp;9.875;273.45;331.2;604.65;Minimale waarde < 20 m3/uur;;GM1652;;;;GM1652;;;;GM1652;;;False;False;False;51.582205231171635;5.766260349946098;WarmteAtlas:TEA_assets_met_wko;;;
Aa en Maas;Noord-oost Brabant;Erp;127.625;7212.54;4269.6;11482.14;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.604088300474615;5.613078769503841;WarmteAtlas:TEA_assets_met_wko;;;
Aa en Maas;Noord-oost Brabant;Keldonk;4.91666666667;136.15;165.6;301.75;Minimale waarde < 20 m3/uur;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.58902357331576;5.595101094927554;WarmteAtlas:TEA_assets_met_wko;;;
Aa en Maas;Noord-oost Brabant;Schijndel;163.5;9239.97;5464.8;14704.77;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.62774639025436;5.441023128380749;WarmteAtlas:TEA_assets_met_wko;;;
Aa en Maas;Noord-oost Brabant;Boerdonk;4.04166666667;111.92;136.8;248.72;Minimale waarde < 20 m3/uur;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.55768386305185;5.627238847748497;WarmteAtlas:TEA_assets_met_wko;;;
Aa en Maas;Noord-oost Brabant;Heesch;105.0;5933.92;3513.6;9447.52;Specifieke berekening minimaal potentieel;;GM1721;;;;GM1721;;;;GM1721;;;False;False;False;51.72640170575553;5.510379642871621;WarmteAtlas:TEA_assets_met_wko;;;
Aa en Maas;Noord-oost Brabant;Vorstenbosch;8.54166666667;236.53;288.0;524.53;Minimale waarde < 20 m3/uur;;GM1721;;;;GM1721;;;;GM1721;;;False;False;False;51.649803886349844;5.550984913043464;WarmteAtlas:TEA_assets_met_wko;;;
Aa en Maas;Noord-oost Brabant;Loosbroek;8.0;221.53;266.39;487.93;Minimale waarde < 20 m3/uur;;GM1721;;;;GM1721;;;;GM1721;;;False;False;False;51.68058172297197;5.506546290279687;WarmteAtlas:TEA_assets_met_wko;;;
Aa en Maas;Noord-oost Brabant;Heeswijk Dinther;47.8333333333;2703.23;1598.4;4301.63;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1721;;;;GM1721;;;;GM1721;;;False;False;False;51.647405586750416;5.476980667231124;WarmteAtlas:TEA_assets_met_wko;;;
Aa en Maas;Noord-oost Brabant;Munnekens-Vinkel;35.7916666667;991.13;1195.2;2186.33;Minimale waarde < 20 m3/uur;;GM1721;;;;GM1721;;;;GM1721;;;False;False;False;51.70360106573562;5.487682488050919;WarmteAtlas:TEA_assets_met_wko;;;
Aa en Maas;Metropoolregio Eindhoven;Aarle-Rixtel;26.7916666667;741.9;892.8;1634.7;Minimale waarde < 20 m3/uur;;GM1659;;;;GM1659;;;;GM1659;;;False;False;False;51.5091023757916;5.64737717811158;WarmteAtlas:TEA_assets_met_wko;;;
Aa en Maas;Metropoolregio Eindhoven;Lieshout;22.0;609.21;734.4;1343.61;Minimale waarde < 20 m3/uur;;GM1659;;;;GM1659;;;;GM1659;;;False;False;False;51.521530633337306;5.598836210070667;WarmteAtlas:TEA_assets_met_wko;;;
Aa en Maas;Metropoolregio Eindhoven;'t Broek;354.0;20005.81;11836.8;31842.61;Specifieke berekening minimaal potentieel;;GM1659;;;;GM1659;;;;GM1659;;;False;False;False;51.52841250371707;5.6573194231655;WarmteAtlas:TEA_assets_met_wko;;;
Aa en Maas;Metropoolregio Eindhoven;Mariahout;11.2916666667;312.68;374.4;687.08;Minimale waarde < 20 m3/uur;;GM1659;;;;GM1659;;;;GM1659;;;False;False;False;51.542414458788755;5.568240551758544;WarmteAtlas:TEA_assets_met_wko;;;
Aa en Maas;Noord-oost Brabant;Reek;12.375;342.68;410.4;753.08;Minimale waarde < 20 m3/uur;;GM1991;;;;GM1991;;;;GM1991;;;False;False;False;51.7465771882754;5.677803545209604;WarmteAtlas:TEA_assets_met_wko;;;
Aa en Maas;Noord-oost Brabant;Zeeland;47.875;2705.58;1598.4;4303.98;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1991;;;;GM1991;;;;GM1991;;;False;False;False;51.70519655319463;5.679932296444449;WarmteAtlas:TEA_assets_met_wko;;;
