codering;jaar;solar_woningen_kwp;solar_woningen_count
BU00340803;2022;479.0;158.0
BU00340901;2022;602.0;109.0
BU00340902;2022;843.0;181.0
BU00341001;2022;666.0;75.0
BU00341002;2022;0.0;0.0
BU00341003;2022;0.0;0.0
BU00341101;2022;1335.0;229.0
BU00341102;2022;226.0;89.0
BU00341401;2022;n.a.;n.a.
BU00341501;2022;0.0;0.0
BU00341601;2022;0.0;0.0
BU00341602;2022;0.0;0.0
BU00341701;2022;n.a.;n.a.
BU00341702;2022;60.0;37.0
BU00341703;2022;48.0;11.0
BU00341704;2022;99.0;9.0
BU00341705;2022;n.a.;n.a.
BU00341801;2022;190.0;57.0
BU00341802;2022;125.0;45.0
BU00341803;2022;561.0;172.0
BU00341804;2022;1027.0;243.0
BU00341805;2022;730.0;213.0
BU00341806;2022;447.0;133.0
BU00341807;2022;0.0;0.0
BU00341808;2022;0.0;0.0
BU00341901;2022;316.0;88.0
BU00341902;2022;311.0;91.0
BU00341903;2022;228.0;68.0
BU00341904;2022;251.0;62.0
BU00342001;2022;446.0;145.0
BU00342002;2022;669.0;202.0
BU00342003;2022;458.0;133.0
BU00342004;2022;596.0;119.0
BU00342005;2022;0.0;0.0
BU00342101;2022;724.0;227.0
BU00342102;2022;678.0;176.0
BU00342103;2022;0.0;0.0
BU00342201;2022;381.0;118.0
BU00342202;2022;399.0;119.0
BU00342203;2022;535.0;129.0
BU00342204;2022;636.0;200.0
BU00342205;2022;597.0;169.0
BU00342206;2022;54.0;6.0
BU00342301;2022;783.0;205.0
BU00342302;2022;485.0;107.0
BU00342303;2022;195.0;58.0
BU00342304;2022;147.0;49.0
BU00342401;2022;260.0;71.0
BU00342402;2022;807.0;313.0
BU00342403;2022;582.0;132.0
BU00342404;2022;469.0;114.0
BU00342405;2022;448.0;149.0
BU00342406;2022;737.0;204.0
BU00342407;2022;0.0;0.0
BU00342408;2022;0.0;0.0
BU00342501;2022;42.0;14.0
BU00342502;2022;62.0;22.0
BU00342503;2022;77.0;23.0
BU00342601;2022;391.0;116.0
BU00342602;2022;463.0;113.0
BU00342603;2022;630.0;215.0
BU00342604;2022;68.0;24.0
BU00342605;2022;389.0;92.0
BU00342606;2022;429.0;157.0
BU00342607;2022;30.0;7.0
BU00342608;2022;0.0;0.0
BU00342609;2022;0.0;0.0
BU00342701;2022;43.0;16.0
BU00342702;2022;535.0;187.0
BU00342703;2022;288.0;89.0
BU00342704;2022;718.0;253.0
BU00342705;2022;699.0;220.0
BU00342706;2022;0.0;0.0
BU00342707;2022;0.0;0.0
BU00342708;2022;0.0;0.0
BU00342801;2022;545.0;140.0
BU00342802;2022;467.0;111.0
BU00342803;2022;422.0;89.0
BU00342804;2022;551.0;165.0
BU00342805;2022;249.0;98.0
BU00342806;2022;418.0;102.0
BU00342807;2022;555.0;157.0
BU00342808;2022;464.0;133.0
BU00342809;2022;29.0;6.0
BU00342810;2022;0.0;0.0
BU00342901;2022;502.0;185.0
BU00342902;2022;1025.0;283.0
BU00342903;2022;314.0;91.0
BU00342904;2022;69.0;7.0
BU00343001;2022;679.0;175.0
BU00343002;2022;284.0;94.0
BU00343003;2022;394.0;111.0
BU00343004;2022;1387.0;300.0
BU00343005;2022;542.0;163.0
BU00343006;2022;0.0;0.0
BU00343007;2022;17.0;4.0
BU00343101;2022;646.0;128.0
BU00343102;2022;809.0;181.0
BU00343103;2022;821.0;222.0
BU00343104;2022;952.0;241.0
BU00343105;2022;1190.0;311.0
BU00343201;2022;0.0;0.0
BU00343401;2022;19.0;7.0
BU00343402;2022;0.0;0.0
BU00343403;2022;0.0;0.0
BU00343501;2022;0.0;0.0
BU00343502;2022;0.0;0.0
BU00343601;2022;0.0;0.0
BU00343701;2022;0.0;0.0
BU00343702;2022;0.0;0.0
BU00343801;2022;0.0;0.0
BU00343802;2022;0.0;0.0
BU00343901;2022;0.0;0.0
BU00343902;2022;0.0;0.0
BU00343903;2022;0.0;0.0
BU00344001;2022;0.0;0.0
BU00344002;2022;0.0;0.0
BU00344003;2022;0.0;0.0
BU00344101;2022;n.a.;n.a.
BU00344102;2022;n.a.;n.a.
BU00344201;2022;862.0;196.0
BU00344202;2022;325.0;79.0
BU00344203;2022;814.0;241.0
BU00344204;2022;0.0;0.0
BU00344301;2022;1049.0;197.0
BU00344302;2022;775.0;236.0
BU00344303;2022;903.0;264.0
BU00344304;2022;0.0;0.0
