waterschap;res_gebied;naamgeving;min_uur;min_gj_ex;opmerking;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
Aa en Maas;Noord-oost Brabant;Keldonk;2.40916666667;0.0;Minimale waarde < 20 m3/uur;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.58902357331576;5.595101094927554;WarmteAtlas:TEA_assets_minimale_potentie;;;
Aa en Maas;Noord-oost Brabant;Schijndel;80.115;4527.58;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.62774639025436;5.441023128380749;WarmteAtlas:TEA_assets_minimale_potentie;;;
Aa en Maas;Noord-oost Brabant;Boerdonk;1.98041666667;0.0;Minimale waarde < 20 m3/uur;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.55768386305185;5.627238847748497;WarmteAtlas:TEA_assets_minimale_potentie;;;
Aa en Maas;Noord-oost Brabant;Heesch;45.0;2543.11;Specifieke berekening minimaal potentieel;;GM1721;;;;GM1721;;;;GM1721;;;False;False;False;51.72640170575553;5.510379642871621;WarmteAtlas:TEA_assets_minimale_potentie;;;
Aa en Maas;Noord-oost Brabant;Vorstenbosch;4.18541666667;0.0;Minimale waarde < 20 m3/uur;;GM1721;;;;GM1721;;;;GM1721;;;False;False;False;51.649803886349844;5.550984913043464;WarmteAtlas:TEA_assets_minimale_potentie;;;
Aa en Maas;Noord-oost Brabant;Loosbroek;3.92;0.0;Minimale waarde < 20 m3/uur;;GM1721;;;;GM1721;;;;GM1721;;;False;False;False;51.68058172297197;5.506546290279687;WarmteAtlas:TEA_assets_minimale_potentie;;;
Aa en Maas;Noord-oost Brabant;Heeswijk Dinther;23.4383333333;1324.58;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1721;;;;GM1721;;;;GM1721;;;False;False;False;51.647405586750416;5.476980667231124;WarmteAtlas:TEA_assets_minimale_potentie;;;
Aa en Maas;Noord-oost Brabant;Munnekens-Vinkel;17.5379166667;0.0;Minimale waarde < 20 m3/uur;;GM1721;;;;GM1721;;;;GM1721;;;False;False;False;51.70360106573562;5.487682488050919;WarmteAtlas:TEA_assets_minimale_potentie;;;
Aa en Maas;Metropoolregio Eindhoven;Aarle-Rixtel;13.1279166667;0.0;Minimale waarde < 20 m3/uur;;GM1659;;;;GM1659;;;;GM1659;;;False;False;False;51.5091023757916;5.64737717811158;WarmteAtlas:TEA_assets_minimale_potentie;;;
Aa en Maas;Metropoolregio Eindhoven;Lieshout;10.78;0.0;Minimale waarde < 20 m3/uur;;GM1659;;;;GM1659;;;;GM1659;;;False;False;False;51.521530633337306;5.598836210070667;WarmteAtlas:TEA_assets_minimale_potentie;;;
Aa en Maas;Metropoolregio Eindhoven;'t Broek;145.0;8194.47;Specifieke berekening minimaal potentieel;;GM1659;;;;GM1659;;;;GM1659;;;False;False;False;51.52841250371707;5.6573194231655;WarmteAtlas:TEA_assets_minimale_potentie;;;
Aa en Maas;Metropoolregio Eindhoven;Mariahout;5.53291666668;0.0;Minimale waarde < 20 m3/uur;;GM1659;;;;GM1659;;;;GM1659;;;False;False;False;51.542414458788755;5.568240551758544;WarmteAtlas:TEA_assets_minimale_potentie;;;
Aa en Maas;Noord-oost Brabant;Reek;6.06375;0.0;Minimale waarde < 20 m3/uur;;GM1991;;;;GM1991;;;;GM1991;;;False;False;False;51.7465771882754;5.677803545209604;WarmteAtlas:TEA_assets_minimale_potentie;;;
Aa en Maas;Noord-oost Brabant;Zeeland;23.45875;1325.73;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1991;;;;GM1991;;;;GM1991;;;False;False;False;51.70519655319463;5.679932296444449;WarmteAtlas:TEA_assets_minimale_potentie;;;
Aa en Maas;Noord-oost Brabant;Wachthuis;44.1408333333;2494.55;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1991;;;;GM1991;;;;GM1991;;;False;False;False;51.75953852425749;5.68135990843234;WarmteAtlas:TEA_assets_minimale_potentie;;;
Aa en Maas;Noord-oost Brabant;Schaijk;33.4629166667;1891.1;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1991;;;;GM1991;;;;GM1991;;;False;False;False;51.75187290912148;5.638120001537887;WarmteAtlas:TEA_assets_minimale_potentie;;;
Aa en Maas;Noord-oost Brabant;De Peel;40.73125;2301.86;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1991;;;;GM1991;;;;GM1991;;;False;False;False;51.660716668663355;5.7374841460941575;WarmteAtlas:TEA_assets_minimale_potentie;;;
Aa en Maas;Noord-oost Brabant;Wilbertoord;3.32791666667;0.0;Minimale waarde < 20 m3/uur;;GM1982;;;;GM1982;;;;GM1982;;;False;False;False;51.65838700138337;5.771569084887069;WarmteAtlas:TEA_assets_minimale_potentie;;;
Aa en Maas;Noord-oost Brabant;Langenboom;7.37041666668;0.0;Minimale waarde < 20 m3/uur;;GM1982;;;;GM1982;;;;GM1982;;;False;False;False;51.707343470064636;5.728689763113354;WarmteAtlas:TEA_assets_minimale_potentie;;;
Aa en Maas;Noord-oost Brabant;Grave;38.0566666667;2150.71;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1982;;;;GM1982;;;;GM1982;;;False;False;False;51.76023712404756;5.732937406723376;WarmteAtlas:TEA_assets_minimale_potentie;;;
Aa en Maas;Noord-oost Brabant;Vught;0.0;0.0;Geen debiet data beschikbaar;;GM0865;;;;GM0865;;;;GM0865;;;False;False;False;51.67111369337734;5.284653449936824;WarmteAtlas:TEA_assets_minimale_potentie;;;
Brabantse Delta;West-Brabant;rg. Alphen;13.6383333333;0.0;Minimale waarde < 20 m3/uur;;GM1723;;;;GM1723;;;;GM1723;;;False;False;False;51.48212758084059;4.96312357628602;WarmteAtlas:TEA_assets_minimale_potentie;;;
Brabantse Delta;Hart van Brabant;rg. Waspik;14.9245833333;0.0;Minimale waarde < 20 m3/uur;;GM0867;;;;GM0867;;;;GM0867;;;False;False;False;51.68932371880383;4.94347060192712;WarmteAtlas:TEA_assets_minimale_potentie;;;
Brabantse Delta;Hart van Brabant;rg. Sprang Capelle;38.0975;2153.02;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0867;;;;GM0867;;;;GM0867;;;False;False;False;51.673690380095664;5.007977171061174;WarmteAtlas:TEA_assets_minimale_potentie;;;
Brabantse Delta;Hart van Brabant;rg. Waalwijk;120.519583333;6810.99;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0867;;;;GM0867;;;;GM0867;;;False;False;False;51.69394384600263;5.074790388082352;WarmteAtlas:TEA_assets_minimale_potentie;;;
Waterschap De Dommel;Noord-oost Brabant;Duin;24.6633333333;1393.81;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.61236393422841;5.458256575473734;WarmteAtlas:TEA_assets_minimale_potentie;;;
Waterschap De Dommel;Noord-oost Brabant;Olland;1.715;0.0;Minimale waarde < 20 m3/uur;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.57970555144907;5.40949618769192;WarmteAtlas:TEA_assets_minimale_potentie;;;
Waterschap De Dommel;Noord-oost Brabant;Nijnsel;16.5579166667;0.0;Minimale waarde < 20 m3/uur;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.55339336236985;5.4884608620703865;WarmteAtlas:TEA_assets_minimale_potentie;;;
Waterschap De Dommel;Noord-oost Brabant;Kienehoef;68.1508333332;3851.44;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.5679732100732;5.460545708681869;WarmteAtlas:TEA_assets_minimale_potentie;;;
Waterschap De Dommel;Noord-oost Brabant;Boskant;7.16625;0.0;Minimale waarde < 20 m3/uur;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.549597643786;5.424148635565377;WarmteAtlas:TEA_assets_minimale_potentie;;;
Waterschap De Dommel;Noord-oost Brabant;Biezenmortel;10.3920833333;0.0;Minimale waarde < 20 m3/uur;;GM0855;;;;GM0855;;;;GM0855;;;False;False;False;51.62896969483304;5.177823151405942;WarmteAtlas:TEA_assets_minimale_potentie;;;
Waterschap De Dommel;Noord-oost Brabant;Helvoirt;33.4220833333;1888.8;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0865;;;;GM0865;;;;GM0865;;;False;False;False;51.63183706733455;5.233814734428278;WarmteAtlas:TEA_assets_minimale_potentie;;;
Waterschap De Dommel;Hart van Brabant;Udenhout;81.89125;4627.96;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0855;;;;GM0855;;;;GM0855;;;False;False;False;51.61499857869916;5.140347872611121;WarmteAtlas:TEA_assets_minimale_potentie;;;
Waterschap Hollandse Delta;Rotterdam-Den Haag;rwzi Rozenburg;81.7;11542.9;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0599;3181.0;;;GM0599;3181.0;;;GM0599;3181.0;;False;False;False;51.91805972564442;4.226197000977703;WarmteAtlas:TEA_assets_minimale_potentie;;;
De Stichtse Rijnlanden;U10/U16;Harmelen;29.4;1661.49;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0632;;;;GM0632;;;;GM0632;;;False;False;False;52.08791980098226;4.9628298430459825;WarmteAtlas:TEA_assets_minimale_potentie;;;
De Stichtse Rijnlanden;U10/U16;Zegveld;9.555;0.0;Minimale waarde < 20 m3/uur;;GM0632;;;;GM0632;;;;GM0632;;;False;False;False;52.11259525953214;4.833892735918506;WarmteAtlas:TEA_assets_minimale_potentie;;;
De Stichtse Rijnlanden;U10/U16;Kamerik;9.555;0.0;Minimale waarde < 20 m3/uur;;GM0632;;;;GM0632;;;;GM0632;;;False;False;False;52.111364965147956;4.892124650678416;WarmteAtlas:TEA_assets_minimale_potentie;;;
De Stichtse Rijnlanden;U10/U16;Amerongen;0.0;0.0;Geen debiet data beschikbaar;;GM1581;;;;GM1581;;;;GM1581;;;False;False;False;51.99626072579313;5.455722955551317;WarmteAtlas:TEA_assets_minimale_potentie;;;
De Stichtse Rijnlanden;U10/U16;Hertenkamp;0.0;0.0;Geen debiet data beschikbaar;;GM1581;;;;GM1581;;;;GM1581;;;False;False;False;52.0630395528313;5.263737707792915;WarmteAtlas:TEA_assets_minimale_potentie;;;
De Stichtse Rijnlanden;U10/U16;Leersum;15.68;0.0;Minimale waarde < 20 m3/uur;;GM1581;;;;GM1581;;;;GM1581;;;False;False;False;52.00590649368051;5.426657974744351;WarmteAtlas:TEA_assets_minimale_potentie;;;
De Stichtse Rijnlanden;U10/U16;Doorn;20.09;1135.35;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1581;;;;GM1581;;;;GM1581;;;False;False;False;52.03473847933261;5.31561518306603;WarmteAtlas:TEA_assets_minimale_potentie;;;
De Stichtse Rijnlanden;U10/U16;Kockengen;8.575;0.0;Minimale waarde < 20 m3/uur;;GM1904;;;;GM1904;;;;GM1904;;;False;False;False;52.14929959978104;4.95340872046039;WarmteAtlas:TEA_assets_minimale_potentie;;;
De Stichtse Rijnlanden;U10/U16;Oud Zuilen;0.0;0.0;Geen debiet data beschikbaar;;GM1904;;;;GM1904;;;;GM1904;;;False;False;False;52.12756309454968;5.06928436818616;WarmteAtlas:TEA_assets_minimale_potentie;;;
De Stichtse Rijnlanden;U10/U16;Broekdijk;2.205;0.0;Minimale waarde < 20 m3/uur;;GM1904;;;;GM1904;;;;GM1904;;;False;False;False;52.16941291747911;4.993456189298159;WarmteAtlas:TEA_assets_minimale_potentie;;;
De Stichtse Rijnlanden;U10/U16;Nieuwegein;135.485;3828.37;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0356;;;;GM0356;;;;GM0356;;;False;False;False;52.007683677877495;5.076045418009692;WarmteAtlas:TEA_assets_minimale_potentie;;;
De Stichtse Rijnlanden;U10/U16;Oud Londen;0.98;0.0;Minimale waarde < 20 m3/uur;;GM0355;;;;GM0355;;;;GM0355;;;False;False;False;52.0901111267428;5.285856495850606;WarmteAtlas:TEA_assets_minimale_potentie;;;
