transformer_id;type;naam;operator;jaar;voltage_kv;latitude;longitude;primary_parent_id;aanwezige_transportcapaciteit_invoeding;aanwezige_transportcapaciteit_afname;benodigde_transportcapaciteit_invoeding;benodigde_transportcapaciteit_afname;unieke_verzoeken_invoeding;unieke_verzoeken_afname;wachtrij_invoeding;wachtrij_afname;voorspelde_capaciteit_invoeding;voorspelde_capaciteit_afname;jaartal_opgelost_invoeding;jaartal_opgelost_afname;congestiegebied_afname;congestiegebied_opwek;afname_kleurcode;opwek_kleurcode;provincie;info
OS EDAM 10-1i;RNB;OS EDAM 10-1i;Liander;2032;n.a.;52.512456758512535;5.010481588196461;Station Wijdewormer 150;30.0;20.0;8.0;20.0;n.a.;10.0;n.a.;6.2097;n.a.;n.a.;n.a.;2030.0;n.a.;n.a.;n.a.;n.a.;Noord-Holland;n.a.
OS EDAM 10-2i;RNB;OS EDAM 10-2i;Liander;2032;n.a.;52.50897022486363;5.024499129445716;Station Wijdewormer 150;48.0;24.0;11.0;24.0;7.0;19.0;1.104;2.90736;n.a.;n.a.;n.a.;2026.0;n.a.;n.a.;n.a.;n.a.;Noord-Holland;n.a.
OS EDE 10-1i;RNB;OS EDE 10-1i;Liander;2032;n.a.;52.04159143642471;5.657466655662718;Station Ede 150;66.0;44.0;12.0;34.0;17.0;21.0;1.66;3.48697;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;Gelderland, Noord-Holland;n.a.
OS EDE 10-2i;RNB;OS EDE 10-2i;Liander;2032;n.a.;52.09407647297077;5.711878073126928;Station Ede 150;91.0;69.0;52.0;73.0;55.0;77.0;16.053;23.84612;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;Gelderland, Utrecht;n.a.
OS EERBEEK 10-1i + 10-2i;RNB;OS EERBEEK 10-1i + 10-2i;Liander;2032;n.a.;52.09056423243976;6.037421018779694;Station Eerbeek 150;104.0;69.0;51.0;70.0;29.0;32.0;23.942;35.69784;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;Gelderland;n.a.
OS EIBERGEN 10-3i;RNB;OS EIBERGEN 10-3i;Liander;2032;n.a.;52.11480010112141;6.669546166884156;Station Eibergen 110 kV;55.0;55.0;29.0;27.0;9.0;7.0;2.642;9.1214;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;Gelderland, Noord-Holland, Overijssel;n.a.
OS ELST 10-1i;RNB;OS ELST 10-1i;Liander;2032;n.a.;51.92338338629126;5.816943466923146;Station Elst 150;104.0;69.0;31.0;45.0;23.0;37.0;6.049;9.66676;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;Gelderland;n.a.
OS ELST 10-2i;RNB;OS ELST 10-2i;Liander;2032;n.a.;51.95280875117819;5.883481359459586;Station Elst 150;80.0;46.0;8.0;34.0;17.0;33.0;11.31;12.16426;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;Gelderland;n.a.
OS EMMELOORD 10-1i;RNB;OS EMMELOORD 10-1i;Liander;2032;n.a.;52.658749012922975;5.71206168630948;Station Emmeloord Zuidervaart 110 kV;73.0;46.0;32.0;24.0;35.0;29.0;11.707;8.912;n.a.;n.a.;2031.0;2031.0;n.a.;n.a.;n.a.;n.a.;Flevoland;n.a.
OS EMMELOORD 20-5i;RNB;OS EMMELOORD 20-5i;Liander;2032;n.a.;52.666368791456826;5.8176434122981;Station Emmeloord Zuidervaart 110 kV;145.0;88.0;39.0;51.0;32.0;19.0;24.272;23.89664;n.a.;n.a.;2031.0;2031.0;n.a.;n.a.;n.a.;n.a.;Flevoland;n.a.
OS ENKHUIZEN 10-1i;RNB;OS ENKHUIZEN 10-1i;Liander;2032;n.a.;52.693299699793066;5.237112427374822;Station Westwoud 150;73.0;36.0;19.0;32.0;10.0;18.0;4.421;12.70654;n.a.;n.a.;n.a.;2034.0;n.a.;n.a.;n.a.;n.a.;Flevoland, Noord-Holland;n.a.
OS ENKHUIZEN 10-2i;RNB;OS ENKHUIZEN 10-2i;Liander;2032;n.a.;52.709493751840576;5.2675820813630505;Station Westwoud 150;73.0;36.0;4.0;23.0;n.a.;11.0;n.a.;8.2069;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;Noord-Holland;n.a.
OS FRANKENENG 10-1i;RNB;OS FRANKENENG 10-1i;Liander;2032;n.a.;52.02389668189441;5.610360101721669;Station Ede 150;29.0;29.0;6.0;27.0;20.0;55.0;6.809;13.44315;n.a.;n.a.;n.a.;2029.0;n.a.;n.a.;n.a.;n.a.;Gelderland, Utrecht;n.a.
OS FREDERIKSPLEIN 10-1i;RNB;OS FREDERIKSPLEIN 10-1i;Liander;2032;n.a.;52.358046151800586;4.894167527560408;Station Amsterdam Hoogte Kadijk 150;77.0;57.0;0.0;42.0;n.a.;10.0;n.a.;3.17514;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;Noord-Holland;n.a.
OS GORREDIJK 10-1i;RNB;OS GORREDIJK 10-1i;Liander;2032;n.a.;52.987490525542256;6.096536900549795;Station Gorredijk 110;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;2027.0;2027.0;n.a.;n.a.;n.a.;n.a.;Friesland;n.a.
OS HAARLEMMERMEER 10-1i;RNB;OS HAARLEMMERMEER 10-1i;Liander;2032;n.a.;52.315866887127996;4.617471776632158;Station Haarlemmermeer 150;53.0;47.0;23.0;55.0;n.a.;17.0;n.a.;4.6774;n.a.;n.a.;n.a.;2032.0;n.a.;n.a.;n.a.;n.a.;Noord-Holland;n.a.
OS HAARLEMMERMEER 20-2i;RNB;OS HAARLEMMERMEER 20-2i;Liander;2032;n.a.;52.26963934319399;4.717570901172472;Station Haarlemmermeer 150;88.0;88.0;0.0;139.0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;2026.0;n.a.;n.a.;n.a.;n.a.;Noord-Holland;n.a.
