Referentie;Aanvrager;SDE_ronde;Categorie;Cat_Soort;Cat_SubSrt;Cat_narrat;Status;Realisatie;Instal_Jr;Ingebruikn;E_drager_s;E_bron;Glas;V_MW;E_MWhpa;Eenh_verm;Vollast;Budget;Looptijd;Plaats;Gemeente;Provincie;RES_regio;Zon_PV;SBI_2dig;Klim_tafel;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
SDE2319021;Vion Boxtel;2023;CO2-arme warmte;CO2armEnergieGebruik;CO2armeWarmte;Industriele warmtepomp;Nog te realiseren;Nee;n.a.;;warmte;industriële warmte;;0.865;2595.0;MWh;3000;2295018.0;12;BOXTEL;BOXTEL;NOORD-BRABANT;NOORDOOST-BRABANT;Nvt;10;IND;BU07570000;GM0757;5281.0;5281LB;BU07570000;GM0757;5281.0;5281LB;BU07570000;GM0757;5281.0;5281LB;False;False;False;51.58021832792886;5.325313181994436;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
SDE2218474;VM Agri Services B.V.;2022;CO2-arme productie;CO2armEnergieGebruik;CO2armeProductie;CO2-afvang en -opslag;Nog te realiseren;Nee;n.a.;;CCS;co2;;0.125;500.0;TON;4000;733118.0;15;VIERPOLDERS;VOORNE AAN ZEE;ZUID-HOLLAND;METROPOOLREGIO ROTTERDAM - DEN HAAG (MRDH);Nvt;46;GO;BU19923109;GM1992;3237.0;3237MB;BU19923109;GM1992;3237.0;3237MB;BU19923109;GM1992;3237.0;3237MB;False;False;False;51.874828187428555;4.167897433478716;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
SDE2317767;Eneco Heat Production & Industrials B.V.;2023;CO2-arme warmte;CO2armEnergieGebruik;CO2armeWarmte;Elektrische boiler;Nog te realiseren;Nee;n.a.;;warmte;elektriciteit;;12.0;43200.0;MWh;3600;40176000.0;15;ZOETERWOUDE;ZOETERWOUDE;ZUID-HOLLAND;HOLLANDRIJNLAND;Nvt;36;IND;BU06381011;GM0638;2382.0;2382PH;BU06381011;GM0638;2382.0;2382PH;BU06381011;GM0638;2382.0;2382PH;False;False;False;52.13587967908694;4.539760335394219;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
SDE2216700;Fujifilm Manufacturing Europe B.V.;2022;CO2-arme warmte;CO2armEnergieGebruik;CO2armeWarmte;Elektrische boiler;Nog te realiseren;Nee;n.a.;;warmte;elektriciteit;;6.93;29799.0;MWh;4300;13767138.0;15;TILBURG;TILBURG;NOORD-BRABANT;HARTVANBRABANT;Nvt;20;IND;BU08556004;GM0855;5047.0;5047TK;BU08556004;GM0855;5047.0;5047TK;BU08556004;GM0855;5047.0;5047TK;False;False;False;51.59739536512155;5.013631938807609;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
SDE2217411;Volth2 B.V.;2022;Waterstof;CO2armEnergieGebruik;waterstof;Waterstof;Nog te realiseren;Nee;n.a.;;elektriciteit;elektriciteit;;18.446238;73784.95;MWh;4000;83340102.0;15;VLISSINGEN;VLISSINGEN;ZEELAND;ZEELAND;Nvt;20;IND;BU07180103;GM0718;4381.0;4381NK;BU07180103;GM0718;4381.0;4381NK;BU07180103;GM0718;4381.0;4381NK;False;False;False;51.445425680602845;3.5796970351670097;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
SDE2316861;Kervo Beheer B.V.;2023;CO2-arme warmte;CO2armEnergieGebruik;CO2armeWarmte;Industriele warmtepomp;Nog te realiseren;Nee;n.a.;;warmte;industriële warmte;;0.79;2370.0;MWh;3000;2096028.0;12;NEER;LEUDAL;LIMBURG;NOORD-ENMIDDEN-LIMBURG;Nvt;64;GO;BU16400301;GM1640;6086.0;6086PP;BU16400301;GM1640;6086.0;6086PP;BU16400301;GM1640;6086.0;6086PP;False;False;False;51.271766933903066;5.978916584652805;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
SDE2317833;Air Liquide Industrie B.V.;2023;CO2-arme warmte;CO2armEnergieGebruik;CO2armeWarmte;Elektrische boiler;Nog te realiseren;Nee;n.a.;;warmte;elektriciteit;;49.75;179100.0;MWh;3600;175159800.0;15;ROTTERDAM;ROTTERDAM;ZUID-HOLLAND;Metropoolregio Rotterdam - Den Haag (MRDH);Nvt;20;IND;BU05990118;GM0599;3011.0;3011BT;BU05990118;GM0599;3016.0;3016DS;BU05990118;GM0599;3016.0;3016DS;False;False;True;51.910902506333166;4.481305541685765;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
SDE2023538;Plukon Blokker B.V.;2020 II;CO2-arme warmte;CO2armEnergieGebruik;CO2armeWarmte;Industriele warmtepomp;Nog te realiseren;Nee;n.a.;01-03-2021;warmte;industriële warmte;;0.8;4800.0;MWh;6000;817920.0;12;BLOKKER;HOORN;NOORD-HOLLAND;NOORD-HOLLANDNOORD;Nvt;10;IND;BU04053309;GM0405;1695.0;1695GD;BU04053309;GM0405;1695.0;1695GD;BU04053309;GM0405;1695.0;1695GD;False;False;False;52.66205343342541;5.10433564584732;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
SDE2025027;Esa B.V.;2020 II;CO2-arme warmte;CO2armEnergieGebruik;CO2armeWarmte;Industriele warmtepomp;Nog te realiseren;Nee;n.a.;01-03-2021;warmte;industriële warmte;;1.1;6600.0;MWh;6000;1124640.0;12;APELDOORN;APELDOORN;GELDERLAND;CLEANTECH;Nvt;46;GO;BU02000409;GM0200;7332.0;7332BH;BU02000409;GM0200;7332.0;7332BH;BU02000409;GM0200;7332.0;7332BH;False;False;False;52.18573014830701;5.986456308254479;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
SDE2027815;Holland Malt B.V.;2020 II;CO2-arme warmte;CO2armEnergieGebruik;CO2armeWarmte;Industriele warmtepomp;Nog te realiseren;Nee;n.a.;01-03-2021;warmte;industriële warmte;;24.2;177978.67;MWh;7354;46986368.0;12;EEMSHAVEN;HET HOGELAND;GRONINGEN;GRONINGEN;Nvt;11;IND;BU19661401;GM1966;9979.0;9979XJ;BU19661401;GM1966;9979.0;9979XJ;BU19661401;GM1966;9979.0;9979XJ;False;False;False;53.455031113943825;6.821743371013012;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
