PK_UID;LandCode;INST_TYPE;NIC;INRICHTING;STAD;STRAATNAAM;POSTCODE;NR;TOEVOEGING;X;Y;SBI_CODE;SBI;SECTOR;SUBSECTOR;EMISSIE;kton1990;kton2000;kton2010;kton2015;kton2020;kton2021;kton2022;kton2023;kton2024;conv_grp;TJ_Warmte;TJ_W_Ind;legenda;Size;color;Jaar;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
874;NL;;220327;RWZI Nieuwe Wetering;Nieuwe Wetering;Bovenweg;2376BE;12;;101300;469900;37.00;Afvalwaterinzameling en -behandeling;Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;CO2;0.790482;0.468672;0.744503;1.040337;1.097417;1.273443;0.939146;0.587827;0.807755;Overig;12.798932;12.798932;RWZI;1;Bleu;2024;;GM1884;2375.0;;;GM1884;2375.0;;;GM1884;2375.0;;False;False;False;52.214575210618044;4.60145134197884;WarmteAtlas:CO2EmissieBedrijven;;;
875;NL;;220328;RWZI Nieuwegein;Nieuwegein;Het Klaphek;3401RZ;1;;133256;446219;37.00;Afvalwaterinzameling en -behandeling;Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;CO2;2.800133;5.806235;5.598461;8.334923;5.185511;5.602348;5.823492;6.378178;5.693417;Overig;90.212596;90.212596;RWZI;2;Bleu;2024;;GM0353;;;;GM0353;;;;GM0353;;;False;False;False;52.00391842874025;5.070539000415452;WarmteAtlas:CO2EmissieBedrijven;;;
876;NL;;220329;RWZI Kortenoord;Nieuwerkerk aan de IJssel;Van Gennepweg;2911BS;1;;103000;442900;37.00;Afvalwaterinzameling en -behandeling;Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;CO2;1.113564;1.425725;1.711785;2.236251;2.7172;2.282445;2.883613;2.665403;2.421347;Overig;38.366408;38.366408;RWZI;2;Bleu;2024;;GM1892;2911.0;;;GM1892;2911.0;;;GM1892;2911.0;;False;False;False;51.9720789309386;4.630441912584946;WarmteAtlas:CO2EmissieBedrijven;;;
883;NL;;220336;RWZI Numansdorp;Numansdorp;Molendijk;3281LT;113;;88269;415704;37.00;Afvalwaterinzameling en -behandeling;Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;CO2;0.673356;0.306556;0.332005;0.407779;0.587985;0.456771;0.402722;0.528202;0.435633;Overig;6.902635;6.902635;RWZI;1;Bleu;2024;;GM1963;3281.0;;;GM1963;;;;GM1963;;;False;False;False;51.72608635604727;4.4213428157095445;WarmteAtlas:CO2EmissieBedrijven;;;
895;NL;;220348;RWZI Oostvoorne;Oostvoorne;Scheitweekseweg;3233LT;1;A;67633;437263;37.00;Afvalwaterinzameling en -behandeling;Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;CO2;0.331283;0.331392;0.470759;0.540369;0.784044;0.572521;0.485144;0.518874;0.707592;Overig;11.211847;11.211847;RWZI;1;Bleu;2024;;GM1992;3233.0;;;GM1992;3233.0;;;GM1992;3233.0;;False;False;False;51.91698603854721;4.117272507865783;WarmteAtlas:CO2EmissieBedrijven;;;
898;NL;;220351;RWZI Oud Beijerland;Oud Beijerland;Röntgenstraat;3261LK;20;;88992;427000;37.00;Afvalwaterinzameling en -behandeling;Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;CO2;1.702513;1.072674;0.959109;1.834099;1.509574;1.451183;1.50292;1.371368;1.191039;Overig;18.872097;18.872097;RWZI;1;Bleu;2024;;GM1963;3261.0;;;GM1963;3261.0;;;GM1963;3261.0;;False;False;False;51.82769373056482;4.429654350573562;WarmteAtlas:CO2EmissieBedrijven;;;
906;NL;;220359;RWZI Piershil;Piershil;Nwe Piershilseweg;3265LC;2;;83200;423800;37.00;Afvalwaterinzameling en -behandeling;Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;CO2;0.449143;0.127002;0.125676;0.134898;0.195107;0.189249;0.364102;0.167879;0.175842;Overig;2.786231;2.786231;RWZI;1;Bleu;2024;;GM1963;3265.0;;;GM1963;;;;GM1963;;;False;False;False;51.798219328375986;4.34630941277798;WarmteAtlas:CO2EmissieBedrijven;;;
909;NL;;220363;RWZI Reeuwijk-Randenburg;Waddinxveen;Henegouwerweg;2741KR;4;A;105300;452200;37.00;Afvalwaterinzameling en -behandeling;Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;CO2;1.127276;0.714692;0.935674;1.137928;1.365634;1.416461;1.589497;1.767164;1.496483;Overig;23.711881;23.711881;RWZI;1;Bleu;2024;;GM0627;2741.0;;;GM0627;2741.0;;;GM0627;2741.0;;False;False;False;52.05587365874925;4.662561331349247;WarmteAtlas:CO2EmissieBedrijven;;;
916;NL;;220370;RWZI Rijnsaterwoude;Rijnsaterwoude;Kalmoeslaan;2465BK;5;;105700;467100;37.00;Afvalwaterinzameling en -behandeling;Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;CO2;0.029935;0.017794;0.026362;0.025966;0.0;0.0;0.0;0.0;0.0;Overig;0.0;0.0;RWZI;0;Bleu;2024;;GM1884;2465.0;;;GM1884;2465.0;;;GM1884;2465.0;;False;False;False;52.18982163618855;4.66623532413708;WarmteAtlas:CO2EmissieBedrijven;;;
921;NL;;220375;RWZI Rodenrijs;Berkel en Rodenrijs;Anjerdreef;2651;;;91900;444100;37.00;Afvalwaterinzameling en -behandeling;Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;CO2;0.109716;0.053491;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Overig;0.0;0.0;RWZI;0;Bleu;2024;;GM1621;2651.0;;;GM1621;2651.0;;;GM1621;2651.0;;False;False;False;51.98171366823462;4.468699885573389;WarmteAtlas:CO2EmissieBedrijven;;;
