codering;voedingsgebied_id;voedingsgebied_dekking;voedingsgebied_aantal_pc6
BU00345301;OS DE VAART 10-3i;1.0;16
BU00345302;OS DE VAART 10-3i;1.0;1
BU00345601;OS DE VAART 10-1i;1.0;4
BU00345602;OS DE VAART 10-1i;1.0;11
BU00345701;OS DE VAART 10-1i;0.96;25
BU00345702;OS DE VAART 10-1i;0.8636363636363636;22
BU00345801;OS DE VAART 10-1i;0.8181818181818182;11
BU00345901;OS DE VAART 10-1i;0.8571428571428571;7
BU00345902;OS ALMERE 10-1i;0.6;5
BU00346001;OS PAMPUS 10-1i;1.0;18
BU00346101;OS PAMPUS 10-1i;1.0;21
BU00346102;OS PAMPUS 10-1i;1.0;11
BU00346103;OS PAMPUS 10-1i;1.0;7
BU00346201;OS PAMPUS 10-1i;1.0;18
BU00346202;OS PAMPUS 10-1i;1.0;12
BU00346301;OS PAMPUS 10-1i;1.0;20
BU00346302;OS PAMPUS 10-1i;1.0;52
BU00346303;OS PAMPUS 10-1i;1.0;12
BU00346304;OS PAMPUS 10-1i;1.0;23
BU00346401;OS PAMPUS 10-1i;1.0;9
BU00346501;OS PAMPUS 10-1i;1.0;11
BU00346601;OS PAMPUS 10-1i;1.0;11
BU00346602;OS PAMPUS 10-1i;1.0;20
BU00347101;OS PAMPUS 10-1i;1.0;9
BU00347201;OS PAMPUS 10-1i;1.0;3
BU00347301;OS PAMPUS 10-1i;1.0;8
BU00347401;OS PAMPUS 10-1i;1.0;4
BU00347402;OS PAMPUS 10-1i;1.0;1
BU00347501;OS ZEEWOLDE 20KV 20-7i;1.0;18
BU00347502;OS ZEEWOLDE 20KV 20-7i;1.0;20
BU00347503;OS ALMERE 10-1i;1.0;1
BU00347601;OS ZEEWOLDE 20KV 20-7i;1.0;29
BU00347602;OS ZEEWOLDE 20KV 20-7i;1.0;1
BU00347603;OS ZEEWOLDE 20KV 20-7i;0.9696969696969697;33
BU00347604;OS ALMERE 10-1i;0.5;2
BU00347701;OS ZEEWOLDE 20KV 20-7i;0.9571428571428572;70
BU00347702;OS ZEEWOLDE 20KV 20-7i;1.0;57
BU00347703;OS ZEEWOLDE 20KV 20-7i;1.0;4
BU00347901;OS ZEEWOLDE 20KV 20-7i;1.0;2
BU00348501;OS ZEEWOLDE 10-1i;1.0;3
BU00348502;OS ALMERE 10-1i;1.0;10
BU00349615;OS PAMPUS 10-1i;0.5;2
BU00370100;SKN;1.0;55
BU00370101;SKN;1.0;33
BU00370102;SKN;1.0;68
