PK_UID;LandCode;INST_TYPE;NIC;INRICHTING;STAD;STRAATNAAM;POSTCODE;NR;TOEVOEGING;X;Y;SBI_CODE;SBI;SECTOR;SUBSECTOR;EMISSIE;kton1990;kton2000;kton2010;kton2015;kton2020;kton2021;kton2022;kton2023;kton2024;conv_grp;TJ_Warmte;TJ_W_Ind;legenda;Size;color;Jaar;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
33;NL;;10084;Lever Vlaardingen BV;Vlaardingen;Deltaweg;3133KM;150;;82800;435050;20.41;Vervaardiging van zeep en wasmiddelen, poets- en reinigingsmiddelen;Chemische Industrie;Chemische Industrie overig;CO2;8.947296;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Chemische Industrie;0.0;0.0;Chemie;0;Magenta;2024;BU06220304;GM0622;3133.0;3133KM;BU06220304;GM0622;3133.0;3133KM;BU06220304;GM0622;3133.0;3133KM;False;False;False;51.8992727688427;4.338158864328629;WarmteAtlas:CO2EmissieBedrijven;;;
34;NL;;10086;NV Nutricia Zoetermeer;Zoetermeer;1e Stationsstraat;2712HM;186;;93800;451400;10.51;Vervaardiging van zuivelproducten (geen consumptie-ijs);Overige industrie;Voedings- en genotmiddelenindustrie;CO2;18.94836;8.722;13.846995;12.272477;9.984362;10.639069;10.391;11.059;11.988;Voedings- en genotmiddelenindustrie;187.065356;187.065356;Voeding;2;Green;2024;BU06370800;GM0637;2712.0;2712HM;BU06370800;GM0637;2712.0;2712HM;BU06371304;GM0637;2712.0;2712HM;True;False;False;52.04753320157239;4.495048573650786;WarmteAtlas:CO2EmissieBedrijven;;;
35;NL;;10089;Prysmian Netherlands B.V.;Delft;Schieweg;2627AN;9;;84750;445750;27.32;Vervaardiging van overige elektrische en elektronische kabel;Overige industrie;Metaalelektro;CO2;6.36852;1.452;2.076166;0.668;1.527016;1.782;1.431872;1.453386;1.43231;Metaalelektro;22.528675;22.528675;Overige;1;Gray;2024;BU05032702;GM0503;2627.0;2627BK;BU05032702;GM0503;2627.0;2627BK;BU05032702;GM0503;2627.0;2627BK;False;False;False;51.995683776105125;4.364299177748197;WarmteAtlas:CO2EmissieBedrijven;;;
36;NL;;10090;Avery Dennison Materials BV;Hazerswoude;Rijndijk;2394AJ;86;;98160;460880;17.29;Vervaardiging van overige papier- en kartonwaren;Overige industrie;Papier(waren);CO2;9.776;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Papier(waren);0.0;0.0;Papier;0;White;2024;BU04849401;GM0484;2394.0;2394BX;BU04849401;GM0484;2394.0;2394BX;BU04849401;GM0484;2394.0;2394BX;False;False;False;52.13319667010059;4.557020516016714;WarmteAtlas:CO2EmissieBedrijven;;;
37;NL;;10091;Avery Dennison Materials Group Europe BV;Leiden;Lammenschansweg;2321JX;140;;93530;462000;17.20;Vervaardiging van papier- en kartonwaren;Overige industrie;Papier(waren);CO2;0.336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Papier(waren);0.0;0.0;Papier;0;White;2024;BU05460406;GM0546;2321.0;2321LA;BU05460406;GM0546;2321.0;2321LA;BU05460406;GM0546;2321.0;2321LA;False;False;False;52.14276681835757;4.489201793661199;WarmteAtlas:CO2EmissieBedrijven;;;
38;NL;;10095;Delft Gelatin BV;Delft;Rotterdamseweg;2628AT;270;;85060;445850;20.52;Vervaardiging van lijm en bereide kleefmiddelen;Chemische Industrie;Chemische Industrie overig;CO2;12.082;13.48965;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Chemische Industrie;0.0;0.0;Chemie;0;Magenta;2024;BU05032804;GM0503;2628.0;2628AT;BU05032804;GM0503;2628.0;2628AT;BU05032804;GM0503;2628.0;2628AT;False;False;False;51.99662162125259;4.368791964832116;WarmteAtlas:CO2EmissieBedrijven;;;
39;NL;;10097;Sime Darby Unimills B.V.;Zwijndrecht;Lindtsedijk;3336LE;8;;103500;424600;10.41;Vervaardiging van plantaardige en dierlijke oliën en vetten (geen margarine en andere spijsvetten);Overige industrie;Voedings- en genotmiddelenindustrie;CO2;77.160221;56.60295;53.383;52.083645;48.734795;47.709054;49.285267;44.434267;40.836444;Voedings- en genotmiddelenindustrie;637.227557;637.227557;Voeding;3;Green;2024;BU06420701;GM0642;3336.0;3336LE;BU06420701;GM0642;3336.0;3336LE;BU06420701;GM0642;3336.0;3336LE;False;False;False;51.80765127719142;4.640453242241956;WarmteAtlas:CO2EmissieBedrijven;;;
4;NL;LCP;10004;Lyondell Chemie Nederland BV;Botlek Rotterdam;Theemsweg;3197KM;14;;76900;433220;20.14.1;Vervaardiging van petrochemische producten;Chemische Industrie;Chemische Industrie basisproducten;CO2;87.541966;0.0;133.146039;159.57552;273.781065;325.558824;287.033795;221.538654;292.107372;Chemische Industrie;3966.668953;3966.668953;Chemie;3;Magenta;2024;BU05992306;GM0599;3197.0;3197KE;BU05992306;GM0599;3197.0;3197KE;BU05992306;GM0599;3197.0;3197KE;False;False;False;51.88203030509064;4.252863982589159;WarmteAtlas:CO2EmissieBedrijven;;;
40;NL;;10099;Van Leer Nederland BV (Vondelingenplaat);Vondelingenplaat Rotterdam;Vondelingenweg;3196KK;599;;82850;433350;25.90;Vervaardiging van overige produkten van metaal;Overige industrie;Metaalelektro;CO2;1.649956;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Metaalelektro;0.0;0.0;Overige;0;Gray;2024;BU05992295;GM0599;3196.0;3196KE;BU05992295;GM0599;3196.0;3196KK;BU05992295;GM0599;3196.0;3196KK;False;False;False;51.88400124285812;4.339241275585099;WarmteAtlas:CO2EmissieBedrijven;;;
41;NL;;10100;Bakelite Botlek B.V.;Botlek Rotterdam;Chemiestraat;3197KB;30;;77750;432575;20.16;Vervaardiging van kunststof in primaire vorm;Chemische Industrie;Chemische Industrie basisproducten;CO2;0.0;0.0;7.376;6.66;7.47;5.349211;6.843132;4.382179;4.652716;Chemische Industrie;63.181507;63.181507;Chemie;2;Magenta;2024;BU05992306;GM0599;3197.0;3197KB;BU05992306;GM0599;3197.0;3197KB;BU05992306;GM0599;3197.0;3197KB;False;False;False;51.87635230485314;4.265351808716739;WarmteAtlas:CO2EmissieBedrijven;;;
