gml_id;bronactualiteit;opp_m2;opp_ha;gas_m3;gas_GJ;warmte_m3;warmte_GJ;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;centroid_lat;centroid_lon;geom_wkt;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
NL.TOP10NL.131498518;2020-01-01;48369.435829;4.837;1451083;45927;1451083.074885;45926.77932;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.96871644088185;4.235443390040009;MULTIPOLYGON (((4.233309 51.969103, 4.23635 51.970002, 4.237638 51.968338, 4.234595 51.967439, 4.234104 51.968072, 4.234026 51.968174, 4.233902 51.968137, 4.23337 51.968824, 4.233496 51.968861, 4.233309 51.969103)));WarmteAtlas:Kassen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
NL.TOP10NL.102434329;2019-01-01;88543.845683;8.854;2656315;84072;2656315.37049;84072.381476;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.96908136397471;4.224546567485979;MULTIPOLYGON (((4.227096 51.970763, 4.227676 51.97005, 4.227722 51.970064, 4.228342 51.969293, 4.225358 51.968361, 4.225246 51.968506, 4.22422 51.968169, 4.224347 51.968014, 4.223051 51.967614, 4.222896 51.967566, 4.222469 51.967433, 4.222151 51.967789, 4.221788 51.968256, 4.221256 51.968086, 4.221211 51.968144, 4.221175 51.968131, 4.220871 51.968048, 4.220297 51.968716, 4.220634 51.968823, 4.221103 51.968967, 4.221189 51.968993, 4.221287 51.968871, 4.221668 51.968992, 4.221673 51.968986, 4.222783 51.969331, 4.223198 51.969463, 4.223077 51.969616, 4.223368 51.969707, 4.224037 51.969918, 4.224115 51.969838, 4.226285 51.970511, 4.226238 51.970569, 4.226511 51.970653, 4.226557 51.970596, 4.227096 51.970763)));WarmteAtlas:Kassen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
NL.TOP10NL.102434328;2020-06-01;49219.668797;4.922;1476590;46734;1476590.063895;46734.075522;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.969014577451894;4.22842723037982;MULTIPOLYGON (((4.228515 51.970863, 4.228566 51.970878, 4.228651 51.970775, 4.228698 51.970788, 4.228864 51.970585, 4.228923 51.970601, 4.228964 51.970549, 4.22902 51.970565, 4.229148 51.970408, 4.229083 51.970388, 4.229102 51.970364, 4.229289 51.97042, 4.229367 51.970323, 4.22945 51.970348, 4.229555 51.970219, 4.22962 51.970239, 4.229685 51.970157, 4.22956 51.970117, 4.229721 51.969929, 4.229816 51.96996, 4.229832 51.969972, 4.229846 51.969976, 4.229861 51.969955, 4.229911 51.969893, 4.229908 51.969891, 4.230036 51.969726, 4.229472 51.969552, 4.229491 51.969528, 4.230096 51.969708, 4.23015 51.969642, 4.230358 51.96971, 4.230359 51.969708, 4.230362 51.969707, 4.230414 51.969643, 4.230359 51.969626, 4.230554 51.969387, 4.230651 51.969417, 4.230848 51.969188, 4.230854 51.96919, 4.230873 51.969167, 4.230883 51.969156, 4.230854 51.969146, 4.230994 51.968994, 4.230984 51.968991, 4.228744 51.968202, 4.228364 51.968075, 4.228108 51.968363, 4.228069 51.968351, 4.22831 51.968057, 4.227963 51.967941, 4.227902 51.967922, 4.22776 51.968094, 4.227565 51.968033, 4.227549 51.968053, 4.227387 51.968267, 4.227264 51.968231, 4.227438 51.968001, 4.227382 51.967979, 4.227384 51.967976, 4.227372 51.967972, 4.227513 51.967807, 4.226892 51.967604, 4.226794 51.967719, 4.226835 51.967732, 4.226804 51.96777, 4.226041 51.967534, 4.225638 51.968032, 4.225846 51.968097, 4.225669 51.968314, 4.227609 51.968916, 4.227611 51.968913, 4.229076 51.969358, 4.229043 51.969395, 4.229055 51.969398, 4.229039 51.969418, 4.228801 51.969711, 4.228718 51.969685, 4.228512 51.969938, 4.228426 51.969912, 4.228278 51.970118, 4.228262 51.970137, 4.228192 51.970115, 4.228048 51.970295, 4.227992 51.970279, 4.22787 51.970433, 4.227818 51.970417, 4.227715 51.970546, 4.227662 51.970531, 4.22758 51.970635, 4.227839 51.970716, 4.227834 51.970725, 4.227854 51.970732, 4.228185 51.970827, 4.228157 51.970858, 4.228185 51.970865, 4.228191 51.970858, 4.228457 51.970937, 4.228515 51.970863)));WarmteAtlas:Kassen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
NL.TOP10NL.102434338;2020-06-01;54360.724759;5.436;1630822;51616;1630821.74277;51615.508159;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.97079859381308;4.232058913770719;MULTIPOLYGON (((4.230366 51.972385, 4.230446 51.972409, 4.230444 51.972412, 4.230655 51.972479, 4.230701 51.972427, 4.230868 51.972476, 4.230872 51.972471, 4.23095 51.972492, 4.231061 51.972353, 4.231233 51.972404, 4.232111 51.971339, 4.231399 51.971116, 4.231458 51.971042, 4.232256 51.971287, 4.232111 51.971468, 4.232842 51.971691, 4.233304 51.971117, 4.233252 51.971101, 4.23412 51.970007, 4.234066 51.96999, 4.234384 51.969597, 4.232655 51.969004, 4.232287 51.969451, 4.232236 51.969436, 4.231905 51.969849, 4.231536 51.969723, 4.23152 51.96974, 4.231311 51.969973, 4.231937 51.970185, 4.231753 51.970425, 4.231744 51.970447, 4.231707 51.97049, 4.231381 51.970401, 4.230979 51.970906, 4.231398 51.971032, 4.231345 51.971099, 4.230625 51.970874, 4.229536 51.972189, 4.229477 51.972255, 4.230269 51.972503, 4.230366 51.972385)));WarmteAtlas:Kassen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
NL.TOP10NL.131585166;2021-01-01;9682.952051;0.968;290489;9194;290488.56153;9193.962972;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.97171139936611;4.22908634620003;MULTIPOLYGON (((4.22877 51.972189, 4.22929 51.972367, 4.230139 51.971418, 4.229559 51.97122, 4.229502 51.971284, 4.229301 51.971508, 4.229152 51.971457, 4.2285 51.971235, 4.228447 51.971294, 4.228387 51.971273, 4.22799 51.971716, 4.228158 51.971774, 4.228912 51.972031, 4.22877 51.972189)));WarmteAtlas:Kassen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
NL.TOP10NL.130959483;2018-01-01;209.545625;0.021;6286;199;6286.36875;198.963571;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.97581138004098;4.234114866004295;MULTIPOLYGON (((4.234328 51.975826, 4.23394 51.975735, 4.233902 51.975796, 4.23429 51.975888, 4.234328 51.975826)));WarmteAtlas:Kassen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
NL.TOP10NL.123079581;2012-01-01;104819.909427;10.482;3144597;99526;3144597.282825;99526.504001;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.97705824015268;4.232686290618171;MULTIPOLYGON (((4.233747 51.978743, 4.234417 51.977704, 4.235386 51.977943, 4.236329 51.976482, 4.233635 51.975819, 4.233587 51.975894, 4.23293 51.975732, 4.232713 51.976069, 4.230551 51.975537, 4.229203 51.977624, 4.229646 51.977733, 4.23002 51.977825, 4.233747 51.978743)));WarmteAtlas:Kassen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
NL.TOP10NL.123360015;2020-01-01;23883.886722;2.388;716517;22678;716516.601645;22677.750442;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.97674428316548;4.228990482797701;MULTIPOLYGON (((4.229557 51.976827, 4.22992 51.976316, 4.229945 51.97632, 4.230334 51.975719, 4.230499 51.97547, 4.229974 51.975341, 4.229819 51.97558, 4.229782 51.97557, 4.229504 51.975496, 4.229372 51.97546, 4.229356 51.975456, 4.229175 51.975719, 4.229212 51.975729, 4.229369 51.975772, 4.229259 51.975899, 4.229123 51.975856, 4.229072 51.975839, 4.228518 51.976515, 4.227487 51.977771, 4.228557 51.978106, 4.229356 51.977131, 4.229323 51.977121, 4.229557 51.976827)));WarmteAtlas:Kassen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
NL.TOP10NL.100843674;2010-01-01;483.76808;0.048;14513;459;14513.0424;459.337792;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.973854255037246;4.2304882583846055;MULTIPOLYGON (((4.230592 51.973699, 4.230186 51.973954, 4.230262 51.973994, 4.230383 51.97391, 4.23048 51.973963, 4.230487 51.973967, 4.230729 51.97382, 4.230592 51.973699)));WarmteAtlas:Kassen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
NL.TOP10NL.100838409;2010-01-01;8276.590065;0.828;248298;7859;248297.70195;7858.622267;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.96781412399527;4.22838038104664;MULTIPOLYGON (((4.229893 51.968135, 4.227161 51.967196, 4.226893 51.967514, 4.227973 51.967874, 4.229616 51.968429, 4.229885 51.968146, 4.229893 51.968135)));WarmteAtlas:Kassen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
