buurtcode;gemeentecode;scenario;modality;jaar;ev_aantal
BU00140005;GM0014;low;car_bev;2031;40.64720838712702
BU00140005;GM0014;low;car_bev;2032;47.36679585690508
BU00140005;GM0014;low;car_bev;2033;54.62220644375823
BU00140005;GM0014;low;car_bev;2034;62.38856604973977
BU00140005;GM0014;low;car_bev;2035;70.6217268612069
BU00140005;GM0014;low;car_bev;2036;79.05365075492013
BU00140005;GM0014;low;car_bev;2037;87.17055037055405
BU00140005;GM0014;low;car_bev;2038;96.29382130219743
BU00140005;GM0014;low;car_bev;2039;106.7592351646949
BU00140005;GM0014;low;car_bev;2040;118.7956193003009
BU00140005;GM0014;low;car_bev;2041;132.1205296677477
BU00140005;GM0014;low;car_bev;2042;155.22131527906944
BU00140005;GM0014;low;car_bev;2043;187.6599031336462
BU00140005;GM0014;low;car_bev;2044;234.93536829261916
BU00140005;GM0014;low;car_bev;2045;312.63137475230434
BU00140005;GM0014;low;car_bev;2046;486.6441434392753
BU00140005;GM0014;low;car_bev;2047;847.7684661221479
BU00140005;GM0014;low;car_bev;2048;850.4383487458298
BU00140005;GM0014;low;car_bev;2049;852.9371148995298
BU00140005;GM0014;low;car_bev;2050;855.2659831544275
BU00140007;GM0014;low;car_bev;2025;0.007563557925806306
BU00140007;GM0014;low;car_bev;2026;0.009377377283237816
BU00140007;GM0014;low;car_bev;2027;0.011477050021389254
BU00140007;GM0014;low;car_bev;2028;0.01388111011582062
BU00140007;GM0014;low;car_bev;2029;0.016610439818715204
BU00140007;GM0014;low;car_bev;2030;0.019646155771456043
BU00140007;GM0014;low;car_bev;2031;0.023069879307656957
BU00140007;GM0014;low;car_bev;2032;0.02682115323859733
BU00140007;GM0014;low;car_bev;2033;0.03089456378680474
BU00140007;GM0014;low;car_bev;2034;0.0352693595956793
BU00140007;GM0014;low;car_bev;2035;0.03992169069160212
BU00140007;GM0014;low;car_bev;2036;0.0446948227319405
BU00140007;GM0014;low;car_bev;2037;0.04962518618544838
BU00140007;GM0014;low;car_bev;2038;0.05518969177367026
BU00140007;GM0014;low;car_bev;2039;0.0615897910594969
BU00140007;GM0014;low;car_bev;2040;0.0689783966973659
BU00140007;GM0014;low;car_bev;2041;0.07720026929849146
BU00140007;GM0014;low;car_bev;2042;0.09125758956224414
BU00140007;GM0014;low;car_bev;2043;0.11100005396981774
BU00140007;GM0014;low;car_bev;2044;0.1397902313385713
BU00140007;GM0014;low;car_bev;2045;0.18710993090667494
BU00140007;GM0014;low;car_bev;2046;0.2929360353614311
BU00140007;GM0014;low;car_bev;2047;0.5109226564953511
BU00140007;GM0014;low;car_bev;2048;0.5153955552216839
BU00140007;GM0014;low;car_bev;2049;0.5197614469423609
BU00140007;GM0014;low;car_bev;2050;0.5240213586186264
BU00140008;GM0014;low;car_bev;2025;0.6280365636562719
BU00140008;GM0014;low;car_bev;2026;0.7796672124568452
BU00140008;GM0014;low;car_bev;2027;0.9556542912393766
BU00140008;GM0014;low;car_bev;2028;1.1577505319301495
BU00140008;GM0014;low;car_bev;2029;1.3879447928026762
BU00140008;GM0014;low;car_bev;2030;1.643416282957614
BU00140008;GM0014;low;car_bev;2031;1.9310287526513552
BU00140008;GM0014;low;car_bev;2032;2.2458124883038977
BU00140008;GM0014;low;car_bev;2033;2.5873326900284908
BU00140008;GM0014;low;car_bev;2034;2.9539361279599454
BU00140008;GM0014;low;car_bev;2035;3.343611245564647
BU00140008;GM0014;low;car_bev;2036;3.7432969679780665
BU00140008;GM0014;low;car_bev;2037;4.151902178188239
BU00140008;GM0014;low;car_bev;2038;4.612792572760237
BU00140008;GM0014;low;car_bev;2039;5.1426930206638355
BU00140008;GM0014;low;car_bev;2040;5.754112048736213
BU00140008;GM0014;low;car_bev;2041;6.4339916451394075
BU00140008;GM0014;low;car_bev;2042;7.598695709291021
BU00140008;GM0014;low;car_bev;2043;9.23440218980485
BU00140008;GM0014;low;car_bev;2044;11.619521616648838
BU00140008;GM0014;low;car_bev;2045;15.53967295657223
BU00140008;GM0014;low;car_bev;2046;24.308538191253675
BU00140008;GM0014;low;car_bev;2047;33.70400338688941
BU00140008;GM0014;low;car_bev;2048;33.97210422385876
BU00140008;GM0014;low;car_bev;2049;34.233182671797124
BU00140008;GM0014;low;car_bev;2050;34.48730372172109
BU00140100;GM0014;low;car_bev;2025;25.164416223555204
BU00140100;GM0014;low;car_bev;2026;31.357935284716834
BU00140100;GM0014;low;car_bev;2027;38.599070061588165
BU00140100;GM0014;low;car_bev;2028;46.982739961726914
BU00140100;GM0014;low;car_bev;2029;56.61807699293791
BU00140100;GM0014;low;car_bev;2030;67.24735815017385
BU00140100;GM0014;low;car_bev;2031;79.15557733419459
BU00140100;GM0014;low;car_bev;2032;92.14941813181848
BU00140100;GM0014;low;car_bev;2033;106.21316017283628
BU00140100;GM0014;low;car_bev;2034;121.28862868561328
BU00140100;GM0014;low;car_bev;2035;137.29162202991688
BU00140100;GM0014;low;car_bev;2036;153.6934089265068
BU00140100;GM0014;low;car_bev;2037;169.97486742005583
BU00140100;GM0014;low;car_bev;2038;188.3085152151892
BU00140100;GM0014;low;car_bev;2039;209.3641942103631
BU00140100;GM0014;low;car_bev;2040;233.621328959009
BU00140100;GM0014;low;car_bev;2041;260.53732757029826
BU00140100;GM0014;low;car_bev;2042;306.9118895841823
BU00140100;GM0014;low;car_bev;2043;372.0362274042051
BU00140100;GM0014;low;car_bev;2044;394.95240786701754
BU00140100;GM0014;low;car_bev;2045;397.38705810801866
BU00140100;GM0014;low;car_bev;2046;400.01944745382195
BU00140100;GM0014;low;car_bev;2047;402.58459077137354
BU00140100;GM0014;low;car_bev;2048;404.8534201979108
BU00140100;GM0014;low;car_bev;2049;407.0396342267357
BU00140100;GM0014;low;car_bev;2050;409.14391378544315
BU00140101;GM0014;low;car_bev;2025;17.504382070426786
BU00140101;GM0014;low;car_bev;2026;21.899794472001414
BU00140101;GM0014;low;car_bev;2027;27.076941651311397
BU00140101;GM0014;low;car_bev;2028;33.120106650576034
BU00140101;GM0014;low;car_bev;2029;40.126972194330435
BU00140101;GM0014;low;car_bev;2030;47.81126968788205
BU00140101;GM0014;low;car_bev;2031;56.37861659414354
BU00140101;GM0014;low;car_bev;2032;65.6988395728366
BU00140101;GM0014;low;car_bev;2033;75.76226158729483
BU00140101;GM0014;low;car_bev;2034;86.5343816893126
BU00140101;GM0014;low;car_bev;2035;97.95396584197576
BU00140101;GM0014;low;car_bev;2036;109.64923897923775
BU00140101;GM0014;low;car_bev;2037;120.90756616876011
BU00140101;GM0014;low;car_bev;2038;133.5617536111261
BU00140101;GM0014;low;car_bev;2039;148.0775242892334
BU00140101;GM0014;low;car_bev;2040;164.77226701050918
BU00140101;GM0014;low;car_bev;2041;183.2542253679627
BU00140101;GM0014;low;car_bev;2042;215.29554841775607
BU00140101;GM0014;low;car_bev;2043;260.2886187927399
BU00140101;GM0014;low;car_bev;2044;325.8607805786798
BU00140101;GM0014;low;car_bev;2045;433.62693557184684
BU00140101;GM0014;low;car_bev;2046;674.9866637689526
BU00140101;GM0014;low;car_bev;2047;1112.2742552194518
BU00140101;GM0014;low;car_bev;2048;1115.7771476074677
BU00140101;GM0014;low;car_bev;2049;1119.055534777596
BU00140101;GM0014;low;car_bev;2050;1122.111015498139
BU00140102;GM0014;low;car_bev;2025;6.86980936936657
BU00140102;GM0014;low;car_bev;2026;8.594804224545998
BU00140102;GM0014;low;car_bev;2027;10.626576989527983
BU00140102;GM0014;low;car_bev;2028;12.998197488345967
BU00140102;GM0014;low;car_bev;2029;15.747992857948601
BU00140102;GM0014;low;car_bev;2030;18.763660886084235
BU00140102;GM0014;low;car_bev;2031;22.125895399258674
BU00140102;GM0014;low;car_bev;2032;25.783606369787936
BU00140102;GM0014;low;car_bev;2033;29.732995368559756
BU00140102;GM0014;low;car_bev;2034;33.96051943226178
BU00140102;GM0014;low;car_bev;2035;38.44214769236352
BU00140102;GM0014;low;car_bev;2036;43.03197423333149
BU00140102;GM0014;low;car_bev;2037;47.45047249498705
BU00140102;GM0014;low;car_bev;2038;52.41680724855188
BU00140102;GM0014;low;car_bev;2039;58.11375728623548
BU00140102;GM0014;low;car_bev;2040;64.66589287029797
BU00140102;GM0014;low;car_bev;2041;71.91947074433725
BU00140102;GM0014;low;car_bev;2042;84.49457692310754
BU00140102;GM0014;low;car_bev;2043;102.15279529053755
BU00140102;GM0014;low;car_bev;2044;127.88760078233813
BU00140102;GM0014;low;car_bev;2045;170.18209091523565
BU00140102;GM0014;low;car_bev;2046;264.90737025846926
BU00140102;GM0014;low;car_bev;2047;428.0033862701025
BU00140102;GM0014;low;car_bev;2048;429.3525068096859
BU00140102;GM0014;low;car_bev;2049;430.61523605518477
BU00140102;GM0014;low;car_bev;2050;431.792189336286
BU00140103;GM0014;low;car_bev;2025;20.96344994240926
BU00140103;GM0014;low;car_bev;2026;26.227446551140044
BU00140103;GM0014;low;car_bev;2027;32.42765774975814
BU00140103;GM0014;low;car_bev;2028;39.665021882127924
BU00140103;GM0014;low;car_bev;2029;48.0565249062679
BU00140103;GM0014;low;car_bev;2030;57.25932825005496
BU00140103;GM0014;low;car_bev;2031;67.51968175959698
BU00140103;GM0014;low;car_bev;2032;78.68168834056738
BU00140103;GM0014;low;car_bev;2033;90.73375866219575
BU00140103;GM0014;low;car_bev;2034;103.6345739908207
BU00140103;GM0014;low;car_bev;2035;117.31079973728305
BU00140103;GM0014;low;car_bev;2036;131.317193792747
BU00140103;GM0014;low;car_bev;2037;144.80029633948334
BU00140103;GM0014;low;car_bev;2038;159.95509723120279
BU00140103;GM0014;low;car_bev;2039;177.33935168598322
BU00140103;GM0014;low;car_bev;2040;197.3331682018
BU00140103;GM0014;low;car_bev;2041;219.46737478534726
