buurtcode;jaar;individuele_cv;blokverwarming;stadsverwarming_hoog_gas;stadsverwarming_laag_gas;stadsverwarming_zonder_gas;elektrisch_hoog_gas;elektrisch_laag_gas;elektrisch_zonder_gas
BU03010203;2024;85.0;0.0;n.a.;n.a.;n.a.;1.0;1.0;2.0
BU03010300;2022;98.0;0.0;n.a.;n.a.;n.a.;1.0;1.0;0.0
BU03010300;2023;98.0;0.0;n.a.;n.a.;n.a.;0.0;1.0;0.0
BU03010300;2024;98.0;0.0;n.a.;n.a.;n.a.;1.0;1.0;0.0
BU03010301;2022;79.0;20.0;n.a.;n.a.;n.a.;0.0;0.0;0.0
BU03010301;2023;78.0;20.0;n.a.;n.a.;n.a.;1.0;0.0;1.0
BU03010301;2024;78.0;20.0;n.a.;n.a.;n.a.;0.0;1.0;1.0
BU03010302;2022;99.0;0.0;n.a.;n.a.;n.a.;0.0;1.0;0.0
BU03010302;2023;98.0;0.0;n.a.;n.a.;n.a.;1.0;0.0;0.0
BU03010302;2024;97.0;0.0;n.a.;n.a.;n.a.;2.0;1.0;1.0
BU03010303;2022;99.0;0.0;n.a.;n.a.;n.a.;0.0;0.0;0.0
BU03010303;2023;98.0;0.0;n.a.;n.a.;n.a.;1.0;1.0;1.0
BU03010303;2024;98.0;0.0;n.a.;n.a.;n.a.;1.0;1.0;1.0
BU03010304;2022;95.0;0.0;n.a.;n.a.;n.a.;1.0;1.0;3.0
BU03010304;2023;93.0;0.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
BU03010304;2024;92.0;0.0;n.a.;n.a.;n.a.;3.0;1.0;4.0
BU03010400;2022;99.0;0.0;n.a.;n.a.;n.a.;1.0;0.0;0.0
BU03010400;2023;97.0;0.0;n.a.;n.a.;n.a.;1.0;1.0;0.0
BU03010400;2024;95.0;0.0;n.a.;n.a.;n.a.;2.0;2.0;1.0
BU03010401;2022;97.0;0.0;n.a.;n.a.;n.a.;1.0;1.0;1.0
BU03010401;2023;94.0;0.0;n.a.;n.a.;n.a.;2.0;1.0;2.0
BU03010401;2024;91.0;0.0;n.a.;n.a.;n.a.;4.0;3.0;2.0
BU03010402;2022;95.0;3.0;n.a.;n.a.;n.a.;0.0;0.0;1.0
BU03010402;2023;94.0;3.0;n.a.;n.a.;n.a.;1.0;1.0;1.0
BU03010402;2024;91.0;3.0;n.a.;n.a.;n.a.;2.0;1.0;2.0
BU03010403;2022;78.0;0.0;n.a.;n.a.;n.a.;3.0;1.0;19.0
BU03010403;2023;67.0;0.0;n.a.;n.a.;n.a.;4.0;1.0;28.0
BU03010403;2024;62.0;0.0;n.a.;n.a.;n.a.;3.0;2.0;32.0
BU03010409;2022;79.0;0.0;n.a.;n.a.;n.a.;4.0;1.0;5.0
BU03010409;2023;70.0;0.0;n.a.;n.a.;n.a.;6.0;3.0;5.0
BU03010409;2024;74.0;0.0;n.a.;n.a.;n.a.;4.0;2.0;9.0
BU03010500;2022;92.0;0.0;n.a.;n.a.;n.a.;1.0;0.0;5.0
BU03010500;2023;88.0;2.0;n.a.;n.a.;n.a.;3.0;1.0;6.0
BU03010500;2024;87.0;2.0;n.a.;n.a.;n.a.;3.0;1.0;6.0
BU03010501;2022;98.0;0.0;n.a.;n.a.;n.a.;1.0;0.0;0.0
BU03010501;2023;96.0;0.0;n.a.;n.a.;n.a.;3.0;1.0;0.0
BU03010501;2024;93.0;0.0;n.a.;n.a.;n.a.;3.0;3.0;1.0
BU03010502;2022;99.0;0.0;n.a.;n.a.;n.a.;0.0;0.0;0.0
BU03010502;2023;98.0;0.0;n.a.;n.a.;n.a.;1.0;1.0;0.0
BU03010502;2024;96.0;0.0;n.a.;n.a.;n.a.;2.0;2.0;0.0
BU03010503;2022;96.0;0.0;n.a.;n.a.;n.a.;1.0;1.0;1.0
BU03010503;2023;92.0;0.0;n.a.;n.a.;n.a.;3.0;2.0;2.0
BU03010503;2024;90.0;0.0;n.a.;n.a.;n.a.;2.0;4.0;4.0
BU03010509;2022;56.0;0.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
BU03010509;2023;51.0;0.0;n.a.;n.a.;n.a.;4.0;1.0;2.0
BU03010509;2024;84.0;0.0;n.a.;n.a.;n.a.;4.0;1.0;5.0
BU03020000;2022;94.0;4.0;n.a.;n.a.;n.a.;1.0;0.0;0.0
BU03020000;2023;92.0;5.0;n.a.;n.a.;n.a.;2.0;1.0;1.0
