PK_UID;type_leid0;jaar;diameter;materiaal;soort_lei0;effluent_z;effluent_w;Shape_Leng;wp_gj_z;wp_gj_w;ws;tp_z_jaar;tp_w_jaar;gemeente;res_regio;tp_w_nb;tp_z_nb;tp_w_bb;tp_z_bb;provincie;waterschap;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;centroid_lat;centroid_lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
257;drukleiding (persleiding);1970;1400;Gewapend beton;Effluentleiding;262800;262800;80.103308;5492.52;5492.52;Hoogheemraadschap van Delfland;2004770.0;1547240.0;Rijswijk;Rotterdam-Den Haag;15893;31786;6357;12714;Zuid-Holland;Hoogheemraadschap van Delfland;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.032763678952435;4.316470553529476;WarmteAtlas:AquathermieEffluent;;;
258;drukleiding (persleiding);1970;1400;Gewapend beton;Effluentleiding;262800;262800;45.075011;5492.52;5492.52;Hoogheemraadschap van Delfland;2004770.0;1547240.0;Rijswijk;Rotterdam-Den Haag;15893;31786;6357;12714;Zuid-Holland;Hoogheemraadschap van Delfland;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.03223841168847;4.3167929969714995;WarmteAtlas:AquathermieEffluent;;;
259;drukleiding (persleiding);1970;1400;Gewapend beton;Effluentleiding;262800;262800;104.105819;5492.52;5492.52;Hoogheemraadschap van Delfland;2004770.0;1547240.0;Rijswijk;Rotterdam-Den Haag;15893;31786;6357;12714;Zuid-Holland;Hoogheemraadschap van Delfland;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.031672782540525;4.317369344154801;WarmteAtlas:AquathermieEffluent;;;
260;drukleiding (persleiding);1970;1400;Gewapend beton;Effluentleiding;262800;262800;23.104595;5492.52;5492.52;Hoogheemraadschap van Delfland;2004770.0;1547240.0;Rijswijk;Rotterdam-Den Haag;15893;31786;6357;12714;Zuid-Holland;Hoogheemraadschap van Delfland;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.031196885394934;4.31788261776643;WarmteAtlas:AquathermieEffluent;;;
261;drukleiding (persleiding);1970;1400;Gewapend beton;Effluentleiding;262800;262800;207.899746;5492.52;5492.52;Hoogheemraadschap van Delfland;2004770.0;1547240.0;Rijswijk;Rotterdam-Den Haag;15893;31786;6357;12714;Zuid-Holland;Hoogheemraadschap van Delfland;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.03028060151129;4.318672967931956;WarmteAtlas:AquathermieEffluent;;;
262;drukleiding (persleiding);1970;1400;Gewapend beton;Effluentleiding;262800;262800;24.260594;5492.52;5492.52;Hoogheemraadschap van Delfland;2004770.0;1547240.0;Rijswijk;Rotterdam-Den Haag;15893;31786;6357;12714;Zuid-Holland;Hoogheemraadschap van Delfland;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.02935460640149;4.319452169330234;WarmteAtlas:AquathermieEffluent;;;
263;drukleiding (persleiding);1970;1400;Gewapend beton;Effluentleiding;262800;262800;48.65242;5492.52;5492.52;Hoogheemraadschap van Delfland;2004770.0;1547240.0;Rijswijk;Rotterdam-Den Haag;15893;31786;6357;12714;Zuid-Holland;Hoogheemraadschap van Delfland;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.029065469038414;4.3197020780372695;WarmteAtlas:AquathermieEffluent;;;
264;drukleiding (persleiding);1998;1400;GVK;Effluentleiding;262800;262800;15.346895;5492.52;5492.52;Hoogheemraadschap van Delfland;2004770.0;1547240.0;Rijswijk;Rotterdam-Den Haag;15893;31786;6357;12714;Zuid-Holland;Hoogheemraadschap van Delfland;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.028814462200124;4.319929181730755;WarmteAtlas:AquathermieEffluent;;;
265;drukleiding (persleiding);1998;1400;GVK;Effluentleiding;262800;262800;2.651584;5492.52;5492.52;Hoogheemraadschap van Delfland;2004770.0;1547240.0;Rijswijk;Rotterdam-Den Haag;15893;31786;6357;12714;Zuid-Holland;Hoogheemraadschap van Delfland;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.02874643068874;4.320000094414506;WarmteAtlas:AquathermieEffluent;;;
266;drukleiding (persleiding);1970;1400;Gewapend beton;Effluentleiding;262800;262800;88.143014;5492.52;5492.52;Hoogheemraadschap van Delfland;2004770.0;1547240.0;Rijswijk;Rotterdam-Den Haag;15893;31786;6357;12714;Zuid-Holland;Hoogheemraadschap van Delfland;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.02840962960174;4.320373482208215;WarmteAtlas:AquathermieEffluent;;;
267;drukleiding (persleiding);1988;1400;Gewapend beton;Effluentleiding;262800;262800;27.532961;5492.52;5492.52;Hoogheemraadschap van Delfland;2004770.0;1547240.0;Rijswijk;Rotterdam-Den Haag;15893;31786;6357;12714;Zuid-Holland;Hoogheemraadschap van Delfland;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.027981511466116;4.320850335709491;WarmteAtlas:AquathermieEffluent;;;
