PK_UID;Vergunning;Naam;Drijverna0;Gemeente;kton2013;kton2014;kton2015;kton2016;kton2017;kton2018;kton2019;kton2020;kton2021;kton2022;kton2023;kton2024;kton2025;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
50;NL-200400065;ENGIE Centrale Bergum;ENGIE Energie Nederland N.V.;BERGUM;2062;3624;2342;5607;3355;2975;2257;3599;2169;4399;2120;2006;1299;BU07370009;GM0737;9251.0;9251ML;BU07370009;GM0737;9251.0;9251LS;BU07370009;GM0737;9251.0;9251LS;False;False;False;53.209818429448;6.030326640382276;WarmteAtlas:CO2emissieETSbedrijven;;;
51;NL-200400066;ENGIE Energie Nederland N.V. Centrale Gelderland;ENGIE Energie Nederland N.V.;NIJMEGEN;2722750;2792385;2885312;624;0;0;0;0;0;0;0;0;0;BU02680425;GM0268;6541.0;6541BL;BU02680425;GM0268;6541.0;6541BL;BU02680425;GM0268;6541.0;6541BL;False;False;False;51.85691586183203;5.833285372632652;WarmteAtlas:CO2emissieETSbedrijven;;;
52;NL-200400075;ENGIE Eemscentrale;ENGIE Energie Nederland N.V.;EEMSHAVEN;1623948;1928255;1583206;2208214;1966312;1765883;2111706;1755764;1354285;1224977;1195415;979219;1579405;BU19661401;GM1966;9979.0;9979XL;BU19661401;GM1966;9979.0;9979XL;BU19661401;GM1966;9979.0;9979XL;False;False;False;53.43676966829772;6.879910107810477;WarmteAtlas:CO2emissieETSbedrijven;;;
53;NL-200400076;Chemours Netherlands B.V.;Chemours Netherlands B.V.;DORDRECHT;167718;129054;98311;114782;78283;57998;59639;56495;58561;35847;24642;15691;20272;BU05050608;GM0505;3313.0;3313LA;BU05050608;GM0505;3313.0;3313LA;BU05050608;GM0505;3313.0;3313LA;False;False;False;51.81603515140538;4.723807989608829;WarmteAtlas:CO2emissieETSbedrijven;;;
54;NL-200400077;Emerald Kalama Chemical B.V.;Emerald Kalama Chemical, B.V.;BOTLEK-ROTTERDAM;89272;81799;65564;65021;83551;77205;74381;80798;86721;61074;70553;85211;74327;BU05992306;GM0599;3197.0;3197KH;BU05992306;GM0599;3197.0;3197KH;BU05992306;GM0599;3197.0;3197KH;False;False;False;51.88621416850199;4.260747965856062;WarmteAtlas:CO2emissieETSbedrijven;;;
55;NL-200400078;Mayr-Melnhof Eerbeek B.V.;Mayr-Melnhof Eerbeek B.V.;EERBEEK;65855;64203;67645;67986;59438;69896;62599;71194;71601;58941;39137;49113;47281;BU02130606;GM0213;6961.0;6961ED;BU02130606;GM0213;6961.0;6961ED;BU02130606;GM0213;6961.0;6961ED;False;False;False;52.10188860813354;6.062484253943536;WarmteAtlas:CO2emissieETSbedrijven;;;
56;NL-200400079;DAMCO Aluminium Delfzijl Co̦peratie U.A.;DAMCO Aluminium Delfzijl Co̦peratie U.A.;FARMSUM;148342;3756;62399;81015;70885;106435;171912;151125;102553;14996;21;10;0;BU19790831;GM1979;9936.0;9936HD;BU19790831;GM1979;9936.0;9936HD;BU19790831;GM1979;9936.0;9936HD;False;False;False;53.30568032969718;6.975561129986599;WarmteAtlas:CO2emissieETSbedrijven;;;
57;NL-200400081;Solidus Solutions Board B.V. locatie Oude Pekela;Solidus Solutions Board B.V.;OUDE PEKELA;18176;23607;24299;24702;18346;12946;13414;12489;12996;12578;10189;12783;13509;BU07650000;GM0765;9665.0;9665PH;BU07650000;GM0765;9665.0;9665PH;BU07650000;GM0765;9665.0;9665PH;False;False;False;53.09257218977749;6.986744496045852;WarmteAtlas:CO2emissieETSbedrijven;;;
58;NL-200400082;ENCI B.V., vestiging IJmuiden;ENCI B.V.;VELSEN NOORD;8859;8473;11439;15258;15347;13230;13757;12197;5884;0;0;0;0;BU04530506;GM0453;1951.0;1951JR;BU04530506;GM0453;1951.0;1951JR;BU04530506;GM0453;1951.0;1951JR;False;False;False;52.47081487616308;4.623658574181765;WarmteAtlas:CO2emissieETSbedrijven;;;
59;NL-200400083;Lyondell Chemie Nederland B.V. - Botlek locatie;Lyondell Chemie Nederland B.V.;BOTLEK-ROTTERDAM;127282;116903;152358;291774;270401;327003;321669;267294;311012;281841;219057;290654;335381;BU05992306;GM0599;3197.0;3197KM;BU05992306;GM0599;3197.0;3197KM;BU05992306;GM0599;3197.0;3197KM;False;False;False;51.88340457970952;4.253686330955923;WarmteAtlas:CO2emissieETSbedrijven;;;
