gml_id;bronactualiteit;type;opp_m2;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;centroid_lat;centroid_lon;geom_wkt;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
nl.top10nl.118477667;2018-01-01;transformatorstation;8605;BU19492900;GM1949;8807.0;8807PG;BU19492900;GM1949;8807.0;8807PG;BU19492900;GM1949;8807.0;8807PG;False;False;False;53.18301950070831;5.506366670487728;MULTIPOLYGON (((5.506778 53.183418, 5.506881 53.183323, 5.506866 53.183291, 5.50712 53.183223, 5.507138 53.183251, 5.507359 53.183195, 5.506944 53.182689, 5.506631 53.182783, 5.506624 53.182773, 5.506381 53.182469, 5.505668 53.182671, 5.505765 53.182799, 5.505688 53.18282, 5.505676 53.182806, 5.505553 53.182842, 5.505561 53.182853, 5.505452 53.182882, 5.505925 53.183456, 5.505938 53.183468, 5.50634 53.18338, 5.506371 53.183373, 5.506402 53.183393, 5.50642 53.183403, 5.506454 53.183517, 5.506458 53.183533, 5.506799 53.183501, 5.506778 53.183418)));WarmteAtlas:EnergieTopo;;;
nl.top10nl.118478746;2016-01-01;transformatorstation;30818;BU17310109;GM1731;9415.0;9415TS;BU17310109;GM1731;9415.0;9415TS;BU17310109;GM1731;9415.0;9415TS;False;False;False;52.88818760063242;6.518630414389142;MULTIPOLYGON (((6.519931 52.887785, 6.517332 52.887243, 6.517309 52.887251, 6.51671 52.888412, 6.520558 52.889144, 6.520601 52.889125, 6.520186 52.888271, 6.520134 52.888267, 6.519931 52.887785)));WarmteAtlas:EnergieTopo;;;
nl.top10nl.118478987;2018-01-01;transformatorstation;36188;BU07370408;GM0737;9255.0;9255XH;BU07370408;GM0737;9255.0;9255XH;BU07370408;GM0737;9255.0;9255XH;False;False;False;53.189840494911046;5.875382583317908;MULTIPOLYGON (((5.875123 53.188572, 5.875074 53.188562, 5.87409 53.189054, 5.874018 53.1892, 5.87373 53.189785, 5.873726 53.189842, 5.875868 53.191214, 5.876554 53.190852, 5.876145 53.190583, 5.877263 53.189977, 5.875123 53.188572)));WarmteAtlas:EnergieTopo;;;
nl.top10nl.118480151;2016-01-01;transformatorstation;16449;BU02440004;GM0244;8051.0;8051CA;BU02440004;GM0244;8051.0;8051CA;BU02440004;GM0244;8051.0;8051CA;False;False;False;52.45403612329972;6.080477008239352;MULTIPOLYGON (((6.079871 52.453354, 6.079836 52.453486, 6.079711 52.453473, 6.079363 52.454491, 6.081185 52.454723, 6.081583 52.453573, 6.079871 52.453354)));WarmteAtlas:EnergieTopo;;;
nl.top10nl.118480405;2016-01-01;transformatorstation;22426;BU03010203;GM0301;7203.0;7203DR;BU03010203;GM0301;7203.0;7203DR;BU03010203;GM0301;7203.0;7203DR;False;False;False;52.148917190431504;6.220316821260095;MULTIPOLYGON (((6.219558 52.148336, 6.219768 52.148787, 6.219247 52.148827, 6.21877 52.148974, 6.218765 52.149008, 6.219154 52.149578, 6.219242 52.149709, 6.219768 52.149621, 6.22001 52.149654, 6.220078 52.149642, 6.220123 52.149488, 6.220081 52.149404, 6.220405 52.149346, 6.220598 52.149753, 6.220966 52.149693, 6.220777 52.149287, 6.22174 52.149115, 6.22124 52.148047, 6.219558 52.148336)));WarmteAtlas:EnergieTopo;;;
nl.top10nl.118493819;2011-01-01;watermolen;32;BU19010301;GM1901;2415.0;2415BW;BU19010301;GM1901;2415.0;2415BW;BU19010301;GM1901;2415.0;2415BW;False;False;False;52.07962215725229;4.794748303385678;MULTIPOLYGON (((4.794707 52.079648, 4.794791 52.079647, 4.794792 52.079598, 4.794705 52.079597, 4.794707 52.079648)));WarmteAtlas:EnergieTopo;;;
nl.top10nl.118495194;2016-01-01;transformatorstation;4167;BU19001900;GM1900;9012.0;9012DR;BU19001900;GM1900;9012.0;9012DR;BU19001900;GM1900;9012.0;9012DR;False;False;False;53.103035293181264;5.743853892144513;MULTIPOLYGON (((5.744463 53.103262, 5.744541 53.103265, 5.744554 53.103219, 5.744591 53.102879, 5.74378 53.102842, 5.743779 53.10283, 5.743161 53.102805, 5.743115 53.103062, 5.743111 53.103182, 5.743625 53.103203, 5.743624 53.103229, 5.744386 53.10326, 5.744463 53.103262)));WarmteAtlas:EnergieTopo;;;
nl.top10nl.118497717;2018-01-01;transformatorstation;13980;BU00860508;GM0086;8401.0;8401AL;BU00860508;GM0086;8401.0;8401AL;BU00860508;GM0086;8401.0;8401AL;False;False;False;52.98691140881843;6.096174071571505;MULTIPOLYGON (((6.096313 52.986559, 6.095582 52.986186, 6.095287 52.986445, 6.094836 52.98681, 6.095201 52.986977, 6.096237 52.987451, 6.096675 52.98765, 6.096733 52.98765, 6.097436 52.986937, 6.096508 52.986464, 6.096483 52.986485, 6.096443 52.986466, 6.096332 52.986569, 6.096313 52.986559)));WarmteAtlas:EnergieTopo;;;
nl.top10nl.102253458;2011-01-01;watermolen;27;BU19000301;GM1900;8724.0;8724HP;BU19000301;GM1900;8724.0;8724HP;BU19000301;GM1900;8724.0;8724HP;False;False;False;52.97259834982403;5.464911173706827;MULTIPOLYGON (((5.464913 52.972572, 5.46491 52.972572, 5.464907 52.972572, 5.464903 52.972572, 5.4649 52.972573, 5.464898 52.972573, 5.464895 52.972574, 5.464892 52.972574, 5.464889 52.972575, 5.464887 52.972576, 5.464884 52.972577, 5.464882 52.972579, 5.464879 52.97258, 5.464877 52.972581, 5.464875 52.972583, 5.464874 52.972584, 5.464872 52.972586, 5.464871 52.972588, 5.46487 52.972589, 5.464869 52.972591, 5.464868 52.972593, 5.464868 52.972595, 5.464867 52.972597, 5.464867 52.972598, 5.464867 52.9726, 5.464868 52.972602, 5.464868 52.972604, 5.464869 52.972606, 5.46487 52.972607, 5.464871 52.972609, 5.464872 52.972611, 5.464874 52.972612, 5.464876 52.972614, 5.464877 52.972615, 5.46488 52.972617, 5.464882 52.972618, 5.464884 52.972619, 5.464887 52.97262, 5.464889 52.972621, 5.464892 52.972622, 5.464895 52.972623, 5.464898 52.972624, 5.464901 52.972624, 5.464904 52.972625, 5.464907 52.972625, 5.46491 52.972625, 5.464913 52.972625, 5.464916 52.972625, 5.464919 52.972625, 5.46492 52.972624, 5.464922 52.972624, 5.464925 52.972624, 5.464928 52.972623, 5.464931 52.972622, 5.464933 52.972621, 5.464936 52.97262, 5.464938 52.972619, 5.464941 52.972618, 5.464943 52.972617, 5.464945 52.972615, 5.464947 52.972614, 5.464949 52.972612, 5.46495 52.972611, 5.464951 52.972609, 5.464953 52.972607, 5.464954 52.972606, 5.464954 52.972604, 5.464955 52.972602, 5.464955 52.9726, 5.464955 52.972598, 5.464955 52.972596, 5.464955 52.972595, 5.464954 52.972593, 5.464954 52.972591, 5.464953 52.972589, 5.464951 52.972588, 5.46495 52.972586, 5.464949 52.972584, 5.464947 52.972583, 5.464945 52.972581, 5.464943 52.97258, 5.464941 52.972579, 5.464938 52.972577, 5.464936 52.972576, 5.464933 52.972575, 5.46493 52.972574, 5.464928 52.972574, 5.464925 52.972573, 5.464922 52.972573, 5.464919 52.972572, 5.464916 52.972572, 5.464913 52.972572)));WarmteAtlas:EnergieTopo;;;
nl.top10nl.102253459;2010-01-01;watermolen;82;BU19000808;GM1900;8614.0;8614JB;BU19000808;GM1900;8614.0;8614JB;BU19000808;GM1900;8614.0;8614JB;False;False;False;52.998092110632264;5.536812782294667;MULTIPOLYGON (((5.536889 52.998092, 5.536889 52.998088, 5.536888 52.998084, 5.536886 52.99808, 5.536884 52.998076, 5.536882 52.998073, 5.536879 52.998069, 5.536875 52.998066, 5.536871 52.998062, 5.536867 52.998059, 5.536862 52.998057, 5.536856 52.998054, 5.536851 52.998052, 5.536845 52.99805, 5.536839 52.998049, 5.536832 52.998048, 5.536826 52.998047, 5.536819 52.998046, 5.536813 52.998046, 5.536806 52.998046, 5.536799 52.998047, 5.536793 52.998048, 5.536787 52.998049, 5.53678 52.99805, 5.536774 52.998052, 5.536769 52.998054, 5.536764 52.998057, 5.536759 52.99806, 5.536754 52.998063, 5.53675 52.998066, 5.536747 52.998069, 5.536744 52.998073, 5.536741 52.998076, 5.536739 52.99808, 5.536738 52.998084, 5.536737 52.998088, 5.536736 52.998092, 5.536737 52.998096, 5.536738 52.9981, 5.536739 52.998104, 5.536741 52.998108, 5.536744 52.998112, 5.536747 52.998115, 5.53675 52.998119, 5.536754 52.998122, 5.536759 52.998125, 5.536764 52.998127, 5.536769 52.99813, 5.536775 52.998132, 5.536781 52.998134, 5.536787 52.998135, 5.536793 52.998137, 5.5368 52.998137, 5.536806 52.998138, 5.536813 52.998138, 5.53682 52.998138, 5.536826 52.998137, 5.536833 52.998137, 5.536839 52.998135, 5.536845 52.998134, 5.536851 52.998132, 5.536857 52.99813, 5.536862 52.998127, 5.536867 52.998125, 5.536871 52.998122, 5.536875 52.998118, 5.536879 52.998115, 5.536882 52.998111, 5.536885 52.998108, 5.536887 52.998104, 5.536888 52.9981, 5.536889 52.998096, 5.536889 52.998092)));WarmteAtlas:EnergieTopo;;;
