waterschap;res_gebied;naamgeving;min_uur;med_uur;gj_exwko;min_gj_ex;opmerking;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
Waterschap Hollandse Delta;Rotterdam-Den Haag;rwzi Hellevoetsluis;69.3554166668;161.291666667;22787.93;9798.81;RWZI gegevens van waterschap. DWA debieten is gemiddelde van 2012 tot en met 2014;;GM1992;3225.0;;;GM1992;3225.0;;;GM1992;3225.0;;False;False;False;51.84251379869752;4.1754641522420215;WarmteAtlas:TEA_assets_zonder_wko;;;
Waterschap Hollandse Delta;Rotterdam-Den Haag;rwzi Heenvliet;26.82125;62.375;8812.58;3789.41;RWZI gegevens van waterschap. DWA debieten is gemiddelde van 2012 tot en met 2014;;GM1930;3218.0;;;GM1930;3218.0;;;GM1930;3218.0;;False;False;False;51.86574168678694;4.223895718249493;WarmteAtlas:TEA_assets_zonder_wko;;;
Waterschap Hollandse Delta;Rotterdam-Den Haag;rwzi Spijkenisse-Allemanspolder;208.693333333;485.333333333;68569.83;29485.02;RWZI gegevens van waterschap. DWA debieten is gemiddelde van 2012 tot en met 2014;;GM1930;3207.0;;;GM1930;3207.0;;;GM1930;3207.0;;False;False;False;51.84107344735901;4.364888161487069;WarmteAtlas:TEA_assets_zonder_wko;;;
Waterschap Hollandse Delta;Hoeksewaard;rwzi Numansdorp;62.2425;144.75;20450.85;8793.86;RWZI gegevens van waterschap. DWA debieten is gemiddelde van 2012 tot en met 2014;;GM1963;3281.0;;;GM1963;;;;GM1963;;;False;False;False;51.72646018146393;4.4216700010400345;WarmteAtlas:TEA_assets_zonder_wko;;;
Waterschap Hollandse Delta;Hoeksewaard;rwzi Strijen;10.0333333333;23.3333333333;3.24;0.0;RWZI gegevens van waterschap. DWA debieten is gemiddelde van 2012 tot en met 2014;;GM1963;;;;GM1963;;;;GM1963;;;False;False;False;51.74545002862149;4.561466569914767;WarmteAtlas:TEA_assets_zonder_wko;;;
Aa en Maas;Metropoolregio Eindhoven;Elsendorp;4.83875;9.875;273.45;0.0;;;GM1652;;;;GM1652;;;;GM1652;;;False;False;False;51.582205231171635;5.766260349946098;WarmteAtlas:TEA_assets_zonder_wko;;;
Aa en Maas;Noord-oost Brabant;Erp;62.53625;127.625;7212.54;3534.14;;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.604088300474615;5.613078769503841;WarmteAtlas:TEA_assets_zonder_wko;;;
Aa en Maas;Noord-oost Brabant;Keldonk;2.40916666667;4.91666666667;136.15;0.0;;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.58902357331576;5.595101094927554;WarmteAtlas:TEA_assets_zonder_wko;;;
Aa en Maas;Noord-oost Brabant;Schijndel;80.115;163.5;9239.97;4527.58;;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.62774639025436;5.441023128380749;WarmteAtlas:TEA_assets_zonder_wko;;;
Aa en Maas;Noord-oost Brabant;Boerdonk;1.98041666667;4.04166666667;111.92;0.0;;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.55768386305185;5.627238847748497;WarmteAtlas:TEA_assets_zonder_wko;;;
