PK_UID;type_leid0;jaar;diameter;materiaal;soort_lei0;effluent_z;effluent_w;Shape_Leng;wp_gj_z;wp_gj_w;ws;tp_z_jaar;tp_w_jaar;gemeente;res_regio;tp_w_nb;tp_z_nb;tp_w_bb;tp_z_bb;provincie;waterschap;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;centroid_lat;centroid_lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
29;Afvoerriool Oisterwijk-RWZI Haaren;0;0;;Effluentleiding;16407;16407;423.222035;342.906;342.906;Waterschap De Dommel;125161.0;96596.6;Oisterwijk;Hart van Brabant;992;1984;397;794;Noord-Brabant;Waterschap De Dommel;BU08242004;GM0824;5076.0;5076NA;BU08241701;GM0824;5076.0;5076NA;BU08241701;GM0824;5076.0;5076NA;True;False;False;51.58590404236689;5.2200919031455015;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
3;onbekend;0;0;;Effluentleiding;30000;32000;128.011315;627.0;627.0;Waterschap Aa en Maas;228855.0;176626.0;'s-Hertogenbosch;Noord-oost Brabant;1935;3750;774;1500;Noord-Brabant;Waterschap Aa en Maas;BU07961203;GM0796;5221.0;5221CH;BU07961203;GM0796;5221.0;5221CH;BU07961203;GM0796;5221.0;5221CH;False;False;False;51.72250037304248;5.275093230866159;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
30;Afvoerriool Oisterwijk-RWZI Haaren;0;0;;Effluentleiding;16407;16407;408.986985;342.906;342.906;Waterschap De Dommel;125161.0;96596.6;Oisterwijk;Hart van Brabant;992;1984;397;794;Noord-Brabant;Waterschap De Dommel;BU08242004;GM0824;5076.0;5076NA;BU08241701;GM0824;5076.0;5076NA;BU08241701;GM0824;5076.0;5076NA;True;False;False;51.58592749384443;5.220145676478812;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
31;1e Afvoerleiding RWZI Haaren;0;0;;Effluentleiding;16407;16407;281.693102;342.906;342.906;Waterschap De Dommel;125161.0;96596.6;Haaren;Noord-oost Brabant;992;1984;397;794;Noord-Brabant;Waterschap De Dommel;BU08242004;GM0824;5076.0;5076NA;BU08241701;GM0824;5076.0;5076NA;BU08241701;GM0824;5076.0;5076NA;True;False;False;51.586402255992674;5.227103156190569;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
32;2e Afvoerleiding RWZI Haaren;0;0;;Effluentleiding;16407;16407;223.597331;342.906;342.906;Waterschap De Dommel;125161.0;96596.6;Haaren;Noord-oost Brabant;992;1984;397;794;Noord-Brabant;Waterschap De Dommel;BU08242004;GM0824;5076.0;5076NA;BU08241701;GM0824;5076.0;5076NA;BU08241701;GM0824;5076.0;5076NA;True;False;False;51.58638325847364;5.2266894075330175;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
33;H1280B.Eindhoven-stad.1;0;0;;Effluentleiding;117281;117281;97.320004;2451.17;2451.17;Waterschap De Dommel;894677.0;690495.0;Eindhoven;Metropoolregio Eindhoven;7092;14185;2837;5674;Noord-Brabant;Waterschap De Dommel;BU07723370;GM0772;5631.0;5631AG;BU07723370;GM0772;5631.0;5631AG;BU07723370;GM0772;5631.0;5631AG;False;False;False;51.459610774527206;5.502186731859048;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
34;H1280AA.Dommel.1;0;0;;Effluentleiding;117281;117281;47.319719;2451.17;2451.17;Waterschap De Dommel;894677.0;690495.0;Eindhoven;Metropoolregio Eindhoven;7092;14185;2837;5674;Noord-Brabant;Waterschap De Dommel;BU07723370;GM0772;5631.0;5631AG;BU07723370;GM0772;5631.0;5631AG;BU07723370;GM0772;5631.0;5631AG;False;False;False;51.45941157039979;5.501728502740537;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
35;Drukleiding (persleiding);1974;1000;Gewapend beton;Effluentleiding;14208;14208;133.131894;296.947;296.947;Waterschap Scheldestromen;108386.0;83650.0;Kapelle;Zeeland;859;1718;344;687;Zeeland;Waterschap Scheldestromen;BU06780009;GM0678;4421.0;4421RT;BU06780009;GM0678;4421.0;4421RT;BU06780009;GM0678;4421.0;4421RT;False;False;False;51.4495305983696;3.934107132331336;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
36;Drukleiding (persleiding);1974;1000;Gewapend beton;Effluentleiding;14208;14208;198.989309;296.947;296.947;Waterschap Scheldestromen;108386.0;83650.0;Kapelle;Zeeland;859;1718;344;687;Zeeland;Waterschap Scheldestromen;BU06789998;GM0678;n.a.;n.a.;BU06789998;GM0678;n.a.;n.a.;BU06789998;GM0678;n.a.;n.a.;False;False;False;51.44837131795687;3.9356117151939087;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
37;1;0;0;;Effluentleiding;60710;77230;2103.247659;1268.84;1268.84;Waterschap Brabantse Delta;463127.0;357432.0;Reimerswaal;Zeeland;4670;8342;1868;3337;Zeeland;Waterschap Brabantse Delta;BU07030409;GM0703;4411.0;4411SM;BU07030409;GM0703;4411.0;4411SM;BU07030409;GM0703;4411.0;4411SM;False;False;False;51.40913405485179;4.240406401145021;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
