diam;ash;kw;x;y;land;naam;wt_type;gem_naam;prov_naam;ondergrond;lat;lon;buurtcode_2023;gemeentecode_2023;buurtcode_2024;gemeentecode_2024;buurtcode_2025;gemeentecode_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd
13.0;15.0;15.0;276100.562722;572044.850361;Duitsland;n.a.;EAZ wind;n.a.;n.a.;land;53.1214957043635;7.196234008736458;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False
52.0;42.0;850.0;158115.7243;572081.5714;Nederland;n.a.;n.a.;Súdwest-Fryslân;Fryslân;land;53.13547501353363;5.433762131649454;BU19001308;GM1900;BU19001308;GM1900;BU19001308;GM1900;False;False
13.0;15.0;15.0;185489.167614;572179.206683;Nederland;n.a.;EAZ wind;Leeuwarden;Fryslân;land;53.13549497782348;5.842776472615238;BU00808005;GM0080;BU00808005;GM0080;BU00808005;GM0080;False;False
13.0;15.0;15.0;260673.768188;572257.30011;Nederland;n.a.;EAZ wind;Oldambt;Groningen;land;53.1266614577548;6.965945288882979;BU18950708;GM1895;BU18950708;GM1895;BU18950708;GM1895;False;False
16.0;20.0;25.0;159884.546664;572284.130927;Nederland;n.a.;SWP25-16TG20;Súdwest-Fryslân;Fryslân;land;53.13728194931826;5.460194802420612;BU19001308;GM1900;BU19001308;GM1900;BU19001308;GM1900;False;False
13.0;15.0;15.0;171794.846802;572441.61731;Nederland;n.a.;EAZ wind;Waadhoeke;Fryslân;land;53.13845631814098;5.638172207692182;BU19495300;GM1949;BU19495300;GM1949;BU19495300;GM1949;False;False
52.0;40.0;850.0;163351.6445;572520.7709;Nederland;n.a.;n.a.;Súdwest-Fryslân;Fryslân;land;53.13936551999877;5.512008126131275;BU19001309;GM1900;BU19001309;GM1900;BU19001309;GM1900;False;False
52.0;40.0;850.0;161041.3793;572561.574;Nederland;n.a.;n.a.;Súdwest-Fryslân;Fryslân;land;53.13976318932251;5.477486016592809;BU19001309;GM1900;BU19001309;GM1900;BU19001309;GM1900;False;False
31.0;30.0;300.0;162499.9978;572746.8709;Nederland;n.a.;n.a.;Waadhoeke;Fryslân;land;53.14140979127276;5.4992870235951505;BU19491500;GM1949;BU19491500;GM1949;BU19491500;GM1949;False;False
31.0;30.0;300.0;159382.1297;572873.011;Nederland;n.a.;n.a.;Súdwest-Fryslân;Fryslân;land;53.14257783202436;5.452695431303833;BU19001308;GM1900;BU19001308;GM1900;BU19001308;GM1900;False;False
16.0;18.0;25.0;260780.932818;572999.368417;Nederland;n.a.;n.a.;Oldambt;Groningen;land;53.13330635785807;6.967788798867786;BU18950708;GM1895;BU18950708;GM1895;BU18950708;GM1895;False;False
13.0;15.0;15.0;186058.0;573125.0;Nederland;n.a.;EAZ wind;Leeuwarden;Fryslân;land;53.1439608071252;5.851366743791392;BU00808005;GM0080;BU00808005;GM0080;BU00808005;GM0080;False;False
16.0;18.0;25.0;270320.685784;573232.537312;Nederland;n.a.;n.a.;Westerwolde;Groningen;land;53.133436346050374;7.110355660399849;BU19500206;GM1950;BU19500206;GM1950;BU19500206;GM1950;False;False
18.0;31.4;80.0;173704.9548;573247.8725;Nederland;n.a.;n.a.;Leeuwarden;Fryslân;land;53.145637860474196;5.666761352275136;BU00808115;GM0080;BU00808115;GM0080;BU00808115;GM0080;False;False
13.0;15.0;15.0;189397.033829;573428.342883;Nederland;n.a.;EAZ wind;Leeuwarden;Fryslân;land;53.146482797111624;5.901298856863084;BU00808008;GM0080;BU00808008;GM0080;BU00808008;GM0080;False;False
13.0;15.0;10.0;256587.842507;573468.954478;Nederland;n.a.;BW10;Midden-Groningen;Groningen;land;53.138334609772464;6.905304979361482;BU19522101;GM1952;BU19522101;GM1952;BU19522101;GM1952;False;False
18.0;31.0;80.0;164636.9896;573694.8706;Nederland;n.a.;n.a.;Waadhoeke;Fryslân;land;53.149894096630234;5.531250440309301;BU19494800;GM1949;BU19494800;GM1949;BU19494800;GM1949;False;False
16.0;18.0;25.0;261657.602096;573819.017236;Nederland;n.a.;n.a.;Oldambt;Groningen;land;53.1404957518193;6.981153965998535;BU18950700;GM1895;BU18950700;GM1895;BU18950700;GM1895;False;False
14.0;20.0;25.0;160624.744016;573819.606873;Nederland;n.a.;SWP25 14TG20;Harlingen;Fryslân;land;53.15107208452617;5.471282045963054;BU00720009;GM0072;BU00720009;GM0072;BU00720009;GM0072;False;False
13.0;15.0;15.0;244549.276874;573852.553614;Nederland;n.a.;EAZ wind;Midden-Groningen;Groningen;land;53.14392433472228;6.725561349448475;BU19520604;GM1952;BU19520604;GM1952;BU19520604;GM1952;False;False
13.0;15.0;15.0;161261.0;574197.0;Nederland;n.a.;EAZ wind;Waadhoeke;Fryslân;land;53.154456172667565;5.480799687523017;BU19491500;GM1949;BU19491500;GM1949;BU19491500;GM1949;False;False
13.0;15.0;15.0;190110.86348;574200.713118;Nederland;n.a.;EAZ wind;Leeuwarden;Fryslân;land;53.15337663165225;5.9120512855715335;BU00808008;GM0080;BU00808008;GM0080;BU00808008;GM0080;False;False
13.0;15.0;15.0;215082.143005;574205.56311;Nederland;n.a.;EAZ wind;Westerkwartier;Groningen;land;53.15120458064248;6.285292634462573;BU19691100;GM1969;BU19691100;GM1969;BU19691100;GM1969;False;False
130.0;135.0;4200.0;255704.2;574290.0;Nederland;n.a.;n.a.;Midden-Groningen;Groningen;land;53.14587676356271;6.8923607318282345;BU19521803;GM1952;BU19521803;GM1952;BU19521803;GM1952;False;False
15.6;31.4;75.0;160714.0048;574303.8705;Nederland;n.a.;n.a.;Harlingen;Fryslân;land;53.155422596218784;5.47262484926907;BU00720009;GM0072;BU00720009;GM0072;BU00720009;GM0072;False;False
18.0;34.0;80.0;168019.9765;574505.8708;Nederland;n.a.;n.a.;Waadhoeke;Fryslân;land;53.15710999685331;5.581848149701414;BU19494800;GM1949;BU19494800;GM1949;BU19494800;GM1949;False;False
15.6;34.0;75.0;167992.9766;574574.8708;Nederland;n.a.;n.a.;Waadhoeke;Fryslân;land;53.15773066344288;5.5814473022246105;BU19494800;GM1949;BU19494800;GM1949;BU19494800;GM1949;False;False
18.0;31.4;80.0;180158.3694;574624.5549;Nederland;n.a.;BW80;Leeuwarden;Fryslân;land;53.15774427820035;5.763316259576427;BU00808108;GM0080;BU00808108;GM0080;BU00808108;GM0080;False;False
130.0;135.0;4200.0;256355.9;574659.4;Nederland;n.a.;n.a.;Midden-Groningen;Groningen;land;53.149072456488696;6.902214001356547;BU19522102;GM1952;BU19522102;GM1952;BU19522102;GM1952;False;False
130.0;135.0;4200.0;255653.4;574726.9;Nederland;n.a.;n.a.;Midden-Groningen;Groningen;land;53.14981106017893;6.891738026285625;BU19521803;GM1952;BU19521803;GM1952;BU19521803;GM1952;False;False
130.0;135.0;4200.0;256924.0;574749.4;Nederland;n.a.;n.a.;Midden-Groningen;Groningen;land;53.14977332945865;6.910731162355106;BU19522102;GM1952;BU19522102;GM1952;BU19522102;GM1952;False;False
130.0;135.0;4200.0;257558.9;574850.6;Nederland;n.a.;n.a.;Midden-Groningen;Groningen;land;53.15056144280534;6.920250328167829;BU19522102;GM1952;BU19522102;GM1952;BU19522102;GM1952;False;False
13.0;15.0;15.0;178276.06418;574858.899858;Nederland;n.a.;EAZ wind;Leeuwarden;Fryslân;land;53.159935012752406;5.735193891327268;BU00808108;GM0080;BU00808108;GM0080;BU00808108;GM0080;False;False
13.0;15.0;15.0;178318.308444;574860.796109;Nederland;n.a.;EAZ wind;Leeuwarden;Fryslân;land;53.159950215666186;5.735825585150291;BU00808108;GM0080;BU00808108;GM0080;BU00808108;GM0080;False;False
16.0;18.0;25.0;272411.361753;574878.466546;Nederland;n.a.;n.a.;Westerwolde;Groningen;land;53.147767446851624;7.142179780151247;BU19500009;GM1950;BU19500009;GM1950;BU19500009;GM1950;False;False
13.0;15.0;15.0;253580.599988;574931.439143;Nederland;n.a.;EAZ wind;Midden-Groningen;Groningen;land;53.15203332776707;6.860827072239786;BU19521804;GM1952;BU19521804;GM1952;BU19521804;GM1952;False;False
130.0;135.0;4200.0;258275.7;574966.6;Nederland;n.a.;n.a.;Midden-Groningen;Groningen;land;53.15146599012752;6.9309984006067324;BU19522102;GM1952;BU19522102;GM1952;BU19522102;GM1952;False;False
130.0;135.0;4200.0;258829.4;575051.2;Nederland;n.a.;n.a.;Midden-Groningen;Groningen;land;53.15211909221474;6.939299555790046;BU19522102;GM1952;BU19522102;GM1952;BU19522102;GM1952;False;False
29.6;30.0;225.0;162893.0964;575066.1702;Nederland;n.a.;n.a.;Waadhoeke;Fryslân;land;53.1622447103627;5.5052183032089195;BU19493000;GM1949;BU19493000;GM1949;BU19493000;GM1949;False;False
13.0;15.0;15.0;169268.131775;575067.635193;Nederland;n.a.;EAZ wind;Waadhoeke;Fryslân;land;53.16212604985963;5.600532084471902;BU19495400;GM1949;BU19495400;GM1949;BU19495400;GM1949;False;False
13.0;15.0;15.0;187213.0;575104.0;Nederland;n.a.;EAZ wind;Leeuwarden;Fryslân;land;53.161674944869894;5.868825271730675;BU00808006;GM0080;BU00808006;GM0080;BU00808006;GM0080;False;False
130.0;135.0;4200.0;256260.0;575179.0;Nederland;n.a.;n.a.;Midden-Groningen;Groningen;land;53.153758218824755;6.900944152235036;BU19522102;GM1952;BU19522102;GM1952;BU19522102;GM1952;False;False
18.0;31.4;80.0;177623.3165;575221.0189;Nederland;n.a.;n.a.;Leeuwarden;Fryslân;land;53.16321679960972;5.725460639323029;BU00808107;GM0080;BU00808107;GM0080;BU00808107;GM0080;False;False
44.0;35.0;750.0;168364.9983;575256.3964;Nederland;n.a.;n.a.;Waadhoeke;Fryslân;land;53.16384547446149;5.587037127413608;BU19495400;GM1949;BU19495400;GM1949;BU19495400;GM1949;False;False
130.0;135.0;4200.0;256787.9;575257.9;Nederland;n.a.;n.a.;Midden-Groningen;Groningen;land;53.15436709333591;6.90885795666159;BU19522102;GM1952;BU19522102;GM1952;BU19522102;GM1952;False;False
130.0;135.0;4200.0;257415.9;575359.0;Nederland;n.a.;n.a.;Midden-Groningen;Groningen;land;53.155155769571195;6.918274952476441;BU19522102;GM1952;BU19522102;GM1952;BU19522102;GM1952;False;False
13.0;15.0;15.0;198614.420417;575411.714729;Nederland;n.a.;EAZ wind;Tytsjerksteradiel;Fryslân;land;53.16363374737812;6.03932077270313;BU07370609;GM0737;BU07370609;GM0737;BU07370609;GM0737;False;False
44.0;35.0;600.0;168134.9752;575429.1841;Nederland;n.a.;n.a.;Waadhoeke;Fryslân;land;53.16540377151407;5.583604951375854;BU19495400;GM1949;BU19495400;GM1949;BU19495400;GM1949;False;False
130.0;135.0;4200.0;258090.8;575467.7;Nederland;n.a.;n.a.;Midden-Groningen;Groningen;land;53.156002965463756;6.928395613586526;BU19522102;GM1952;BU19522102;GM1952;BU19522102;GM1952;False;False
130.0;135.0;4200.0;258627.2;575553.6;Nederland;n.a.;n.a.;Midden-Groningen;Groningen;land;53.15667126370723;6.93643947487318;BU19522102;GM1952;BU19522102;GM1952;BU19522102;GM1952;False;False
13.0;15.0;15.0;165713.0;575747.0;Nederland;n.a.;EAZ wind;Waadhoeke;Fryslân;land;53.16831345224662;5.547401663690162;BU19494800;GM1949;BU19494800;GM1949;BU19494800;GM1949;False;False
130.0;135.0;4200.0;256150.4;575755.4;Nederland;n.a.;n.a.;Midden-Groningen;Groningen;land;53.15895678841911;6.899487098030932;BU19522102;GM1952;BU19522102;GM1952;BU19522102;GM1952;False;False
14.0;20.0;25.0;162962.785393;575772.785976;Nederland;n.a.;SWP25-14TG20;Waadhoeke;Fryslân;land;53.16859309971953;5.506277713840402;BU19493000;GM1949;BU19493000;GM1949;BU19493000;GM1949;False;False
14.0;15.0;25.0;169231.440979;575827.758423;Nederland;n.a.;n.a.;Waadhoeke;Fryslân;land;53.16895721960586;5.600017107072625;BU19495400;GM1949;BU19495400;GM1949;BU19495400;GM1949;False;False
130.0;135.0;4200.0;256635.5;575829.0;Nederland;n.a.;n.a.;Midden-Groningen;Groningen;land;53.15952625515651;6.906760476472095;BU19522102;GM1952;BU19522102;GM1952;BU19522102;GM1952;False;False
