P50;buurtcode_2023;gemeentecode_2023;buurtcode_2024;gemeentecode_2024;buurtcode_2025;gemeentecode_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;centroid_lat;centroid_lon;geom_wkt;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
9.157842;BU19660901;GM1966;BU19660901;GM1966;BU19660901;GM1966;False;False;53.53848198201821;6.495793303583279;MULTIPOLYGON (((6.488138 53.534059, 6.488369 53.543043, 6.50345 53.542904, 6.503216 53.533921, 6.488138 53.534059)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
9.630138;BU19660901;GM1966;BU19660901;GM1966;BU19660901;GM1966;False;False;53.53834246384847;6.510873293906251;MULTIPOLYGON (((6.503216 53.533921, 6.50345 53.542904, 6.518532 53.542764, 6.518295 53.53378, 6.503216 53.533921)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
9.794545;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.53820106130461;6.525953171068956;MULTIPOLYGON (((6.518295 53.53378, 6.518532 53.542764, 6.533613 53.542621, 6.533373 53.533638, 6.518295 53.53378)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
9.522335;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.538057774415755;6.541032933554576;MULTIPOLYGON (((6.533373 53.533638, 6.533613 53.542621, 6.548695 53.542477, 6.548451 53.533494, 6.533373 53.533638)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
10.054725;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.53791260321136;6.556112579846361;MULTIPOLYGON (((6.548451 53.533494, 6.548695 53.542477, 6.563776 53.542331, 6.563529 53.533348, 6.548451 53.533494)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
10.2885;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.53776554772133;6.57119210842765;MULTIPOLYGON (((6.563529 53.533348, 6.563776 53.542331, 6.578857 53.542183, 6.578607 53.5332, 6.563529 53.533348)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
12.29177;BU19660901;GM1966;BU19660901;GM1966;BU19660901;GM1966;False;False;53.53761660797592;6.586271517781846;MULTIPOLYGON (((6.578607 53.5332, 6.578857 53.542183, 6.593938 53.542033, 6.593685 53.53305, 6.578607 53.5332)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
13.753034;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.53746578400585;6.601350806392444;MULTIPOLYGON (((6.593685 53.53305, 6.593938 53.542033, 6.609019 53.541881, 6.608762 53.532898, 6.593685 53.53305)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
14.21194;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.5373130758421;6.616429972743018;MULTIPOLYGON (((6.608762 53.532898, 6.609019 53.541881, 6.624099 53.541727, 6.62384 53.532745, 6.608762 53.532898)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
14.178681;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.53715848351615;6.631509015317217;MULTIPOLYGON (((6.62384 53.532745, 6.624099 53.541727, 6.63918 53.541572, 6.638917 53.532589, 6.62384 53.532745)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
