X;Y;BronNaam;BronTemp;TypeBron;MWth;Status;CapFactor;VolFactor;ProdKost;UitMin;UitMax;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
204682;568566;Frisian Egg BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU00861606;GM0086;9207.0;9207HD;BU00861606;GM0086;9207.0;9207HD;BU00861606;GM0086;9207.0;9207HD;False;False;False;53.10159602158659;6.128981445806637;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
167012;417024;Afb International;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU08280909;GM0828;5342.0;5342LZ;BU08280909;GM0828;5342.0;5342LZ;BU08280909;GM0828;5342.0;5342LZ;False;False;False;51.74180129633729;5.561119780375509;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
173287;423306;De Heus Voeders BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU08281400;GM0828;5371.0;5371AA;BU08281400;GM0828;5371.0;5371AA;BU08281400;GM0828;5371.0;5371AA;False;False;False;51.798095878268605;5.6523043339566215;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
166396;422607;Fleuren Presspack BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU08280500;GM0828;5347.0;5347JS;BU08280500;GM0828;5347.0;5347JS;BU08280500;GM0828;5347.0;5347JS;False;False;False;51.791996381744646;5.552384684756795;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
166021;420760;Trianon Productie BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU08280500;GM0828;5348.0;5348LA;BU08280500;GM0828;5348.0;5348LA;BU08280500;GM0828;5348.0;5348LA;False;False;False;51.775402390994714;5.546890328366372;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
165603;419602;Unilever Nederland Foods Factories BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU08280200;GM0828;5349.0;5349TD;BU08280200;GM0828;5349.0;5349TD;BU08280200;GM0828;5349.0;5349TD;False;False;False;51.765001935155304;5.54079829509567;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
166852;416679;Visser Stroopwafels BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU08280909;GM0828;5342.0;5342LK;BU08280909;GM0828;5342.0;5342LK;BU08280909;GM0828;5342.0;5342LK;False;False;False;51.7387037117324;5.558791411882265;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
157317;424831;Zwiers Vleeswarenbedrijf BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU08281800;GM0828;5397.0;5397GN;BU08281800;GM0828;5397.0;5397GN;BU08281800;GM0828;5397.0;5397GN;False;False;False;51.81209823311334;5.4208016105934655;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
229071;440132;Frieslandcampina Cheese   Butter BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU15090300;GM1509;7051.0;7051TA;BU15090300;GM1509;7051.0;7051DA;BU15090300;GM1509;7051.0;7051DA;False;False;False;51.94469566593652;6.464521500097662;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
229466;439437;Hawi Vleeswaren BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU15090300;GM1509;7051.0;7051CN;BU15090300;GM1509;7051.0;7051CN;BU15090300;GM1509;7051.0;7051CN;False;False;False;51.938396969689094;6.470114900353445;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
