codering;categorie;scenario;jaar;ev_aantal;totaal
BU04820401;vrachtauto;low;2025;0.0655681117872049;0.0
BU04820402;vrachtauto;low;2025;0.0655681117872049;0.0
BU00340101;vrachtauto;low;2025;0.0655681117872049;0.0
BU05050110;vrachtauto;low;2025;0.0655681117872049;0.0
BU05050201;vrachtauto;low;2025;0.0655681117872049;0.0
BU05050203;vrachtauto;low;2025;0.0655681117872049;0.0
BU05050301;vrachtauto;low;2025;0.0655681117872049;0.0
BU05050303;vrachtauto;low;2025;0.0655681117872049;0.0
BU05050304;vrachtauto;low;2025;0.0655681117872049;0.0
BU05050305;vrachtauto;low;2025;0.0655681117872049;0.0
BU05050306;vrachtauto;low;2025;0.0655681117872049;0.0
BU05050307;vrachtauto;low;2025;0.0655681117872049;0.0
BU05050400;vrachtauto;low;2025;0.0655681117872049;0.0
BU05050401;vrachtauto;low;2025;0.0655681117872049;0.0
BU05050403;vrachtauto;low;2025;0.0655681117872049;0.0
BU05050506;vrachtauto;low;2025;0.0655681117872049;0.0
BU05050601;vrachtauto;low;2025;0.0655681117872049;0.0
BU05050602;vrachtauto;low;2025;0.0655681117872049;0.0
BU05050604;vrachtauto;low;2025;0.0655681117872049;0.0
BU05050607;vrachtauto;low;2025;0.075023322545471;0.0
BU05050608;vrachtauto;low;2025;1.4225408427732908;0.0
BU05050700;vrachtauto;low;2025;0.0655681117872049;0.0
BU05050707;vrachtauto;low;2025;0.0655681117872049;0.0
BU05050708;vrachtauto;low;2025;0.0655681117872049;0.0
BU05050800;vrachtauto;low;2025;0.0655681117872049;0.0
BU05050904;vrachtauto;low;2025;0.0655681117872049;0.0
BU05050908;vrachtauto;low;2025;0.0655681117872049;0.0
BU05050909;vrachtauto;low;2025;0.0655681117872049;0.0
BU05050910;vrachtauto;low;2025;0.0655681117872049;0.0
BU05051001;vrachtauto;low;2025;0.075023322545471;0.0
BU05051002;vrachtauto;low;2025;0.075023322545471;0.0
BU05051003;vrachtauto;low;2025;0.3671122082549455;0.0
BU05051006;vrachtauto;low;2025;0.075023322545471;0.0
BU05051007;vrachtauto;low;2025;0.075023322545471;0.0
BU05051010;vrachtauto;low;2025;0.0655681117872049;0.0
BU05051011;vrachtauto;low;2025;0.0655681117872049;0.0
BU05051013;vrachtauto;low;2025;0.0655681117872049;0.0
BU05051100;vrachtauto;low;2025;0.075023322545471;0.0
BU05051103;vrachtauto;low;2025;0.0655681117872049;0.0
BU05051104;vrachtauto;low;2025;0.075023322545471;0.0
BU05051105;vrachtauto;low;2025;0.0655681117872049;0.0
