P50;buurtcode_2023;gemeentecode_2023;buurtcode_2024;gemeentecode_2024;buurtcode_2025;gemeentecode_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;centroid_lat;centroid_lon;geom_wkt;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
7.176677;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;53.57427463346757;6.5118173630006115;MULTIPOLYGON (((6.504154 53.569853, 6.504388 53.578836, 6.519483 53.578696, 6.519245 53.569713, 6.504154 53.569853)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
7.372093;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;53.574133079931414;6.526909902196181;MULTIPOLYGON (((6.519245 53.569713, 6.519483 53.578696, 6.534577 53.578553, 6.534336 53.56957, 6.519245 53.569713)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
7.979081;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;53.573989640039166;6.542002326389084;MULTIPOLYGON (((6.534336 53.56957, 6.534577 53.578553, 6.549671 53.578409, 6.549426 53.569426, 6.534336 53.56957)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
8.092078;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;53.57384431382036;6.55709463405827;MULTIPOLYGON (((6.549426 53.569426, 6.549671 53.578409, 6.564764 53.578262, 6.564517 53.56928, 6.549426 53.569426)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
8.715941;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;53.57369710130503;6.5721868236827765;MULTIPOLYGON (((6.564517 53.56928, 6.564764 53.578262, 6.579858 53.578114, 6.579608 53.569131, 6.564517 53.56928)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
9.10158;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;53.57354800252345;6.587278893741704;MULTIPOLYGON (((6.579608 53.569131, 6.579858 53.578114, 6.594952 53.577964, 6.594698 53.568981, 6.579608 53.569131)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
11.304672;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;53.57339701750639;6.602370842714249;MULTIPOLYGON (((6.594698 53.568981, 6.594952 53.577964, 6.610045 53.577812, 6.609788 53.568829, 6.594698 53.568981)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
0.142552;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;53.567074828712975;6.300318760628294;MULTIPOLYGON (((6.292678 53.56264, 6.292868 53.571623, 6.307961 53.571509, 6.307768 53.562526, 6.292678 53.56264)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
5.088946;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;53.59278817135066;6.451893439585381;MULTIPOLYGON (((6.444233 53.588363, 6.444455 53.597346, 6.459556 53.597213, 6.45933 53.58823, 6.444233 53.588363)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
1.113154;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;53.5669597177767;6.315409581294549;MULTIPOLYGON (((6.307768 53.562526, 6.307961 53.571509, 6.323053 53.571393, 6.322857 53.56241, 6.307768 53.562526)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
3.244382;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;53.56684272061442;6.330500308326877;MULTIPOLYGON (((6.322857 53.56241, 6.323053 53.571393, 6.338146 53.571275, 6.337946 53.562292, 6.322857 53.56241)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
3.601064;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;53.56672383725025;6.345590940204321;MULTIPOLYGON (((6.337946 53.562292, 6.338146 53.571275, 6.353238 53.571155, 6.353035 53.562172, 6.337946 53.562292)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
4.144281;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;53.566603067708705;6.36068147540598;MULTIPOLYGON (((6.353035 53.562172, 6.353238 53.571155, 6.36833 53.571034, 6.368124 53.56205, 6.353035 53.562172)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
4.623653;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;53.566480412014684;6.375771912411035;MULTIPOLYGON (((6.368124 53.56205, 6.36833 53.571034, 6.383422 53.57091, 6.383213 53.561927, 6.368124 53.56205)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
