diam;ash;kw;x;y;land;lat;lon;buurtcode_2023;gemeentecode_2023;buurtcode_2024;gemeentecode_2024;buurtcode_2025;gemeentecode_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd
18.0;31.4;80.0;194547.3498;600440.9079;NL;53.38883558254834;5.981604032383046;BU19700506;GM1970;BU19700506;GM1970;BU19700506;GM1970;False;False
18.0;31.4;80.0;196428.8813;600147.6199;NL;53.38605749931932;6.00984367806635;BU19700506;GM1970;BU19700506;GM1970;BU19700506;GM1970;False;False
18.0;34.0;80.0;198094.8371;596625.8828;NL;53.35428392995503;6.034403724365506;BU19700103;GM1970;BU19700103;GM1970;BU19700103;GM1970;False;False
18.0;31.4;80.0;199993.726624;602125.750488;NL;53.403540822150006;6.063695918885691;BU19700509;GM1970;BU19700509;GM1970;BU19700509;GM1970;False;False
18.0;24.5;80.0;107609.3762;528914.3806;NL;52.745503830015615;4.685396099420317;BU04410390;GM0441;BU04410390;GM0441;BU04410390;GM0441;False;False
18.0;24.5;80.0;107624.7465;528836.9098;NL;52.74480899963573;4.685634837195349;BU04410390;GM0441;BU04410390;GM0441;BU04410390;GM0441;False;False
18.0;24.5;80.0;107637.8942;528758.1323;NL;52.7441022325174;4.685840843948121;BU04410390;GM0441;BU04410390;GM0441;BU04410390;GM0441;False;False
18.0;24.5;80.0;107700.7888;528442.4783;NL;52.74127116783389;4.686817445787487;BU04410390;GM0441;BU04410390;GM0441;BU04410390;GM0441;False;False
18.0;24.5;80.0;107715.4976;528364.1463;NL;52.74056853722459;4.687046466839769;BU04410390;GM0441;BU04410390;GM0441;BU04410390;GM0441;False;False
18.0;24.5;80.0;107729.7982;528286.0738;NL;52.739868202448214;4.687269399459932;BU04410390;GM0441;BU04410390;GM0441;BU04410390;GM0441;False;False
18.0;40.0;80.0;108100.5944;527615.0268;NL;52.73387013085163;4.692854878449423;BU04410390;GM0441;BU04410390;GM0441;BU04410390;GM0441;False;False
18.0;31.4;80.0;110804.3537;500586.9939;NL;52.49120644252507;4.736480699476244;BU04797230;GM0479;BU04797231;GM0479;BU04797231;GM0479;True;False
18.0;31.4;80.0;111248.3405;538122.2153;NL;52.82855278397796;4.738057331194215;BU04411391;GM0441;BU04411391;GM0441;BU04411391;GM0441;False;False
18.0;40.0;80.0;114316.1458;550642.912;NL;52.94130332621139;4.78201546869206;BU04000504;GM0400;BU04000504;GM0400;BU04000504;GM0400;False;False
18.0;40.0;80.0;114309.146;550763.9119;NL;52.94239009144949;4.781896257164789;BU04000504;GM0400;BU04000504;GM0400;BU04000504;GM0400;False;False
18.0;40.0;80.0;119552.345802;529059.193736;NL;52.7477159190843;4.862236091492917;BU19111790;GM1911;BU19111790;GM1911;BU19111790;GM1911;False;False
18.0;31.4;80.0;29406.1588;376744.5041;NL;51.36591977379307;3.5836316294666193;BU17141309;GM1714;BU17141309;GM1714;BU17141309;GM1714;False;False
18.0;31.4;80.0;41564.4661;411296.8101;NL;51.67896574428044;3.7469922142124426;BU16761208;GM1676;BU16761208;GM1676;BU16761208;GM1676;False;False
18.0;31.4;80.0;50529.4856;411260.5802;NL;51.680383851345105;3.876587092814942;BU16761009;GM1676;BU16761009;GM1676;BU16761009;GM1676;False;False
18.0;31.4;80.0;50552.6267;411209.5564;NL;51.67992966819421;3.8769368996375255;BU16761009;GM1676;BU16761009;GM1676;BU16761009;GM1676;False;False
18.0;31.4;80.0;64366.1723;407548.1481;NL;51.64943138093195;4.077573587131816;BU16760509;GM1676;BU16760509;GM1676;BU16760509;GM1676;False;False
23.6;31.0;150.0;155585.2055;544216.949;NL;52.885088911978336;5.395900167454109;BU19000309;GM1900;BU19000309;GM1900;BU19000309;GM1900;False;False
27.0;36.0;225.0;57712.0353;385987.4366;NL;51.45456260037006;3.987434382980887;BU06780209;GM0678;BU06780209;GM0678;BU06780209;GM0678;False;False
27.0;36.0;225.0;57902.8979;385899.5547;NL;51.45380575061831;3.9902039358815857;BU06780209;GM0678;BU06780209;GM0678;BU06780209;GM0678;False;False
29.0;40.0;225.0;154921.5749;567373.4132;NL;53.093177368647254;5.386036362787816;BU19001502;GM1900;BU19001502;GM1900;BU19001502;GM1900;False;False
29.0;40.0;225.0;112468.6236;551430.1718;NL;52.948235185483696;4.754431657635038;BU04000400;GM0400;BU04000400;GM0400;BU04000400;GM0400;False;False
29.0;40.0;225.0;119726.8189;543792.1921;NL;52.880122715410195;4.863237679105925;BU19110190;GM1911;BU19110190;GM1911;BU19110190;GM1911;False;False
29.0;33.0;225.0;141910.942;520076.0311;NL;52.667984616256405;5.1937129584768105;BU04980306;GM0498;BU04980306;GM0498;BU04980306;GM0498;False;False
29.0;36.0;225.0;31104.7017;385292.911;NL;51.443103620252174;3.6050129740939525;BU07180701;GM0718;BU07180701;GM0718;BU07180701;GM0718;False;False
29.0;36.0;225.0;31208.9663;385223.6887;NL;51.44250454073584;3.6065364043445323;BU07180701;GM0718;BU07180701;GM0718;BU07180701;GM0718;False;False
29.0;36.0;225.0;31302.2308;385158.4977;NL;51.44193925068293;3.607900224352854;BU07180701;GM0718;BU07180701;GM0718;BU07180701;GM0718;False;False
29.0;36.0;225.0;31397.7443;385093.1473;NL;51.44137300511641;3.6092964015004427;BU07180701;GM0718;BU07180701;GM0718;BU07180701;GM0718;False;False
29.0;36.0;225.0;31532.4373;385122.1583;NL;51.4416631745768;3.611222788828014;BU07180701;GM0718;BU07180701;GM0718;BU07180701;GM0718;False;False
29.0;36.0;225.0;31653.2315;385151.6286;NL;51.44195439988482;3.612949207567481;BU07180701;GM0718;BU07180701;GM0718;BU07180701;GM0718;False;False
29.0;36.0;225.0;31774.7453;385181.1459;NL;51.4422461792609;3.6146859784991783;BU07180601;GM0718;BU07180601;GM0718;BU07180601;GM0718;False;False
29.6;36.0;225.0;169168.9821;500308.8872;NL;52.49030757923959;5.595818788527411;BU09951039;GM0995;BU09951039;GM0995;BU09951039;GM0995;False;False
29.6;36.0;225.0;157383.3576;563470.8081;NL;53.0581034439628;5.42275542630923;BU19001709;GM1900;BU19001709;GM1900;BU19001709;GM1900;False;False
29.6;36.0;225.0;157451.6216;561902.8825;NL;53.04401373630637;5.423761696837174;BU19001800;GM1900;BU19001800;GM1900;BU19001800;GM1900;False;False
29.6;36.0;225.0;158885.0721;563183.4851;NL;53.05551278203473;5.445150501910786;BU19001608;GM1900;BU19001608;GM1900;BU19001608;GM1900;False;False
29.6;30.0;225.0;162893.0964;575066.1702;NL;53.1622447103627;5.5052183032089195;BU19493000;GM1949;BU19493000;GM1949;BU19493000;GM1949;False;False
29.6;36.0;225.0;168800.6947;580738.3992;NL;53.21309339152782;5.593786697140291;BU19494000;GM1949;BU19494000;GM1949;BU19494000;GM1949;False;False
29.6;36.0;225.0;173302.8378;577237.0574;NL;53.18149700788964;5.660978235107924;BU19492600;GM1949;BU19492600;GM1949;BU19492600;GM1949;False;False
29.6;36.0;225.0;176857.9705;589661.0874;NL;53.29299815629685;5.715000721440542;BU19493900;GM1949;BU19493900;GM1949;BU19493900;GM1949;False;False
29.6;36.0;225.0;179021.2277;589156.4659;NL;53.28837112769496;5.747403525897734;BU00806304;GM0080;BU00806304;GM0080;BU00806304;GM0080;False;False
29.6;36.0;225.0;181473.5811;569184.224;NL;53.10879627133918;5.782531518370057;BU00808202;GM0080;BU00808202;GM0080;BU00808202;GM0080;False;False
29.6;36.0;225.0;185111.8561;590511.7739;NL;53.30024007511462;5.838856906643755;BU19701009;GM1970;BU19701009;GM1970;BU19701009;GM1970;False;False
29.6;36.0;225.0;186054.8998;584985.8756;NL;53.25053519053765;5.852465510043718;BU07370102;GM0737;BU07370102;GM0737;BU07370102;GM0737;False;False
29.6;30.0;225.0;186293.4971;587584.635;NL;53.27387155078472;5.856293701432147;BU07370108;GM0737;BU07370108;GM0737;BU07370108;GM0737;False;False
29.6;30.0;225.0;186315.5969;587683.895;NL;53.274762119561956;5.856634667087512;BU07370108;GM0737;BU07370108;GM0737;BU07370108;GM0737;False;False
29.6;40.0;250.0;105748.7263;473416.515;NL;52.24659408853564;4.666029541802488;BU03940240;GM0394;BU03940240;GM0394;BU03940240;GM0394;False;False
31.0;35.0;400.0;156563.0442;567151.6715;NL;53.0911825188305;5.410538089847787;BU19001501;GM1900;BU19001501;GM1900;BU19001501;GM1900;False;False
31.0;30.0;400.0;156741.8565;567314.4844;NL;53.092644985924785;5.4132080449814;BU19001501;GM1900;BU19001501;GM1900;BU19001501;GM1900;False;False
31.0;32.5;300.0;159251.9718;568664.9681;NL;53.104766219575936;5.450694769553955;BU19001307;GM1900;BU19001307;GM1900;BU19001307;GM1900;False;False
31.0;30.0;300.0;159382.1297;572873.011;NL;53.14257783202436;5.452695431303833;BU19001308;GM1900;BU19001308;GM1900;BU19001308;GM1900;False;False
31.0;30.0;300.0;162499.9978;572746.8709;NL;53.14140979127276;5.4992870235951505;BU19491500;GM1949;BU19491500;GM1949;BU19491500;GM1949;False;False
31.0;31.0;250.0;164912.9884;561516.874;NL;53.040459205998275;5.535002189843945;BU19000909;GM1900;BU19000909;GM1900;BU19000909;GM1900;False;False
