buurtcode;bestelautos_totaal;vrachtautos_totaal;bestelautos_ondergrens;bestelautos_bovengrens;vrachtautos_ondergrens;vrachtautos_bovengrens;bedrijfswagens_gewicht_methode;bedrijfswagens_pc4_gelijk_verdeeld;bedrijfswagens_pc4_dekkingsklasse;bedrijfswagens_rdw_peildatum;bedrijfswagens_cbs_split_periode
BU00980602;53;1;53;70;1;2;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00980701;86;3;86;86;3;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00980702;17;1;16;17;1;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00980801;7;0;4;7;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00980802;101;0;101;103;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00980901;6;0;1;6;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00980902;50;0;50;55;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00980903;38;0;38;38;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00981001;7;0;3;7;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00981002;7;0;7;7;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00981003;15;1;5;15;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00981004;52;2;4;52;0;2;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00981005;7;0;6;7;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00981006;15;1;9;15;0;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00981007;30;1;5;30;0;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00981008;74;3;10;74;0;3;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00981009;104;4;104;262;4;9;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00981101;44;2;2;44;0;2;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00981102;9;0;9;52;0;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00981201;50;0;50;50;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00981301;5;0;3;5;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00981302;112;5;112;114;5;5;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00981401;13;0;1;13;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00981402;25;1;25;34;1;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00981501;52;3;3;52;0;3;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00981502;42;2;42;84;2;4;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU01060000;0;0;0;7;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060001;0;0;0;5;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
