waterschap;res_gebied;min_uur;min_gj_ex;type;opmerking;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;centroid_lat;centroid_lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05182055;GM0518;2562.0;2562XK;BU05182055;GM0518;2562.0;2562XK;BU05182055;GM0518;2562.0;2562XK;False;False;False;52.07459643518758;4.2774816386920635;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05183620;GM0518;2532.0;2532CN;BU05183620;GM0518;2532.0;2532CN;BU05183620;GM0518;2532.0;2532CN;False;False;False;52.050731498732524;4.300198180545833;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU06031064;GM0603;2286.0;2286KS;BU06031064;GM0603;2286.0;2286KS;BU06031064;GM0603;2286.0;2286KS;False;False;False;52.023923346115936;4.325171244511354;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05181252;GM0518;2565.0;2565LK;BU05181252;GM0518;2565.0;2565LK;BU05181252;GM0518;2565.0;2565LK;False;False;False;52.082587534989095;4.272484108690868;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05181252;GM0518;2566.0;2566HA;BU05181252;GM0518;2566.0;2566HA;BU05181252;GM0518;2566.0;2566HA;False;False;False;52.08301467198377;4.271761076809881;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05181252;GM0518;2566.0;2566HA;BU05181252;GM0518;2566.0;2566HA;BU05181252;GM0518;2566.0;2566HA;False;False;False;52.08306863741708;4.271596788801879;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05181252;GM0518;2566.0;2566LN;BU05181252;GM0518;2566.0;2566LN;BU05181252;GM0518;2566.0;2566LN;False;False;False;52.08314146941128;4.271398901152665;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05181252;GM0518;2566.0;2566LB;BU05181252;GM0518;2566.0;2566LB;BU05181252;GM0518;2566.0;2566LB;False;False;False;52.08398898571762;4.2716945696276225;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05182144;GM0518;2562.0;2562AH;BU05182144;GM0518;2562.0;2562AH;BU05182144;GM0518;2562.0;2562AH;False;False;False;52.07604330495854;4.2795861897127425;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05182055;GM0518;2562.0;2562XH;BU05182055;GM0518;2562.0;2562XH;BU05182055;GM0518;2562.0;2562XH;False;False;False;52.07525473902635;4.278507866683067;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05182055;GM0518;2563.0;2563CA;BU05182055;GM0518;2563.0;2563CA;BU05182055;GM0518;2563.0;2563CA;False;False;False;52.07847444670285;4.276441871584268;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU06031064;GM0603;2286.0;2286KS;BU06031064;GM0603;2286.0;2286KS;BU06031064;GM0603;2286.0;2286KS;False;False;False;52.02238206479291;4.32097433707284;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU06031064;GM0603;2286.0;2286KS;BU06031064;GM0603;2286.0;2286KS;BU06031064;GM0603;2286.0;2286KS;False;False;False;52.02208295631633;4.320719728836569;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU06030961;GM0603;2286.0;2286LT;BU06030961;GM0603;2286.0;2286LT;BU06030961;GM0603;2286.0;2286LT;False;False;False;52.032763678952435;4.316470553529476;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU06031064;GM0603;2286.0;2286KS;BU06031064;GM0603;2286.0;2286KS;BU06031064;GM0603;2286.0;2286KS;False;False;False;52.021833860890176;4.320506812438819;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU06030771;GM0603;2287.0;2287RA;BU06030771;GM0603;2287.0;2287AN;BU06030771;GM0603;2287.0;2287AN;False;False;False;52.03320129256749;4.3162026109897145;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU06030643;GM0603;2284.0;2284BK;BU06030643;GM0603;2284.0;2284BK;BU06030643;GM0603;2284.0;2284BK;False;False;False;52.035644284409294;4.313810862123969;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;3082.0;348350;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05181309;GM0518;2566.0;2566EV;BU05181309;GM0518;2566.0;2566EV;BU05181309;GM0518;2566.0;2566EV;False;False;False;52.087967133151366;4.26729951418536;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU18420001;GM1842;2635.0;2635GC;BU18420001;GM1842;2635.0;2635GC;BU18420001;GM1842;2635.0;2635GC;False;False;False;52.01901924904883;4.318542722538165;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05182055;GM0518;2562.0;2562XM;BU05182055;GM0518;2562.0;2562XM;BU05182055;GM0518;2562.0;2562XM;False;False;False;52.07026541013501;4.281064221657948;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05182055;GM0518;2571.0;2571AN;BU05182055;GM0518;2571.0;2571AN;BU05182055;GM0518;2571.0;2571AN;False;False;False;52.070078124643366;4.2814439944813705;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU06031064;GM0603;2286.0;2286KS;BU06031064;GM0603;2286.0;2286WX;BU06031064;GM0603;2286.0;2286WX;False;False;False;52.01946885572716;4.31838517841843;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05183638;GM0518;2531.0;2531BN;BU05183638;GM0518;2531.0;2531BN;BU05183638;GM0518;2531.0;2531BN;False;False;False;52.05253289177485;4.298646715553348;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05183638;GM0518;2531.0;2531BJ;BU05183638;GM0518;2531.0;2531BJ;BU05183638;GM0518;2531.0;2531BJ;False;False;False;52.05463062035903;4.296946093285402;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05183131;GM0518;2574.0;2574HK;BU05183131;GM0518;2574.0;2574HK;BU05183131;GM0518;2574.0;2574HK;False;False;False;52.06719864899296;4.277711952552016;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU18420001;GM1842;2635.0;2635GC;BU18420001;GM1842;2635.0;2635GC;BU18420001;GM1842;2635.0;2635GC;False;False;False;52.01898057783046;4.318515170777672;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05181252;GM0518;2566.0;2566MH;BU05181252;GM0518;2566.0;2566MH;BU05181252;GM0518;2566.0;2566MH;False;False;False;52.08327833203839;4.267635459900203;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05181309;GM0518;2566.0;2566ZW;BU05181309;GM0518;2566.0;2566ZW;BU05181309;GM0518;2566.0;2566ZW;False;False;False;52.084581190941;4.26636657808422;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05181309;GM0518;2566.0;2566EC;BU05181309;GM0518;2566.0;2566EC;BU05181309;GM0518;2566.0;2566EC;False;False;False;52.08580731065565;4.26516311907263;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05181309;GM0518;2566.0;2566EC;BU05181309;GM0518;2566.0;2566EC;BU05181309;GM0518;2566.0;2566EC;False;False;False;52.086314344374706;4.266186079837572;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05183536;GM0518;2533.0;2533ST;BU05183536;GM0518;2533.0;2533ST;BU05183536;GM0518;2533.0;2533ST;False;False;False;52.05510089213181;4.280439931813198;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05183135;GM0518;2574.0;2574GV;BU05183135;GM0518;2574.0;2574GV;BU05183135;GM0518;2574.0;2574GV;False;False;False;52.062279728554564;4.2823397054607195;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU06030852;GM0603;2285.0;2285JB;BU06030852;GM0603;2285.0;2285JB;BU06030852;GM0603;2285.0;2285JB;False;False;False;52.03170161353905;4.304338098585389;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU06030852;GM0603;2285.0;2285LJ;BU06030852;GM0603;2285.0;2285LJ;BU06030852;GM0603;2285.0;2285LJ;False;False;False;52.03671051675245;4.3013827340813835;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05183489;GM0518;2533.0;2533AP;BU05183489;GM0518;2533.0;2533AP;BU05183489;GM0518;2533.0;2533AP;False;False;False;52.049352366161706;4.283309870262735;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05183489;GM0518;2533.0;2533AP;BU05183489;GM0518;2533.0;2533AP;BU05183489;GM0518;2533.0;2533AP;False;False;False;52.04943657859328;4.2831892792396;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05183489;GM0518;2533.0;2533AP;BU05183489;GM0518;2533.0;2533AP;BU05183489;GM0518;2533.0;2533AP;False;False;False;52.04948816988853;4.283137403642757;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05183489;GM0518;2533.0;2533AM;BU05183489;GM0518;2533.0;2533AM;BU05183489;GM0518;2533.0;2533AM;False;False;False;52.05088617903403;4.281177265727062;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05183489;GM0518;2533.0;2533AP;BU05183489;GM0518;2533.0;2533AP;BU05183489;GM0518;2533.0;2533AP;False;False;False;52.049530818886524;4.2830681411268205;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
