gemeentecode;bestelauto_buurtsom_actueel;vrachtauto_buurtsom_actueel;bestelauto_cbs2023;vrachtauto_cbs2023;bestelauto_afwijking_pct;vrachtauto_afwijking_pct
GM0356;2875;134;2997.0;137.0;-4.070737404070737;-2.18978102189781
GM0358;2068;112;1958.0;176.0;5.617977528089888;-36.36363636363637
GM0361;7355;647;6438.0;506.0;14.243553898726313;27.865612648221344
GM0362;1926;144;2243.0;135.0;-14.13285777975925;6.666666666666667
GM0363;21111;990;21738.0;1086.0;-2.8843499861992825;-8.839779005524862
GM0373;1399;56;1381.0;63.0;1.3034033309196236;-11.11111111111111
GM0375;2653;245;2218.0;268.0;19.612263300270513;-8.582089552238806
GM0376;695;17;399.0;25.0;74.18546365914787;-32.0
GM0377;345;2;473.0;5.0;-27.061310782241016;-60.0
GM0383;1517;132;1502.0;109.0;0.9986684420772304;21.10091743119266
GM0384;1077;86;929.0;75.0;15.931108719052745;14.666666666666666
GM0385;3029;111;2981.0;106.0;1.6101979201610197;4.716981132075472
GM0388;896;22;917.0;25.0;-2.2900763358778624;-12.0
GM0392;6991;332;5414.0;242.0;29.128186183967493;37.1900826446281
GM0394;13289;1306;20018.0;1049.0;-33.61474672794485;24.49952335557674
GM0396;2141;67;1567.0;46.0;36.6305041480536;45.65217391304348
GM0397;478;9;544.0;20.0;-12.132352941176471;-55.0
GM0399;824;33;850.0;40.0;-3.0588235294117645;-17.5
GM0400;2101;56;2071.0;61.0;1.448575567358764;-8.19672131147541
GM0402;3118;114;3138.0;108.0;-0.6373486297004461;5.555555555555555
GM0405;5080;203;4702.0;189.0;8.03913228413441;7.407407407407407
GM0406;1497;35;1526.0;37.0;-1.9003931847968545;-5.405405405405405
GM0415;513;10;528.0;10.0;-2.840909090909091;0.0
GM0417;60;1;358.0;12.0;-83.24022346368714;-91.66666666666667
GM0420;3820;677;3887.0;698.0;-1.723694365834834;-3.008595988538682
GM0431;576;84;518.0;75.0;11.196911196911197;12.0
GM0432;1645;440;1054.0;68.0;56.07210626185958;547.0588235294117
GM0437;21379;384;2685.0;97.0;696.2383612662942;295.87628865979383
GM0439;3998;219;4719.0;202.0;-15.278660733206188;8.415841584158416
GM0441;4157;227;3763.0;191.0;10.47036938612809;18.848167539267017
GM0448;2077;126;1630.0;78.0;27.42331288343558;61.53846153846154
GM0450;315;14;799.0;36.0;-60.575719649561954;-61.111111111111114
GM0451;1636;109;1422.0;112.0;15.049226441631506;-2.6785714285714284
GM0453;2977;103;3323.0;139.0;-10.412278061992176;-25.899280575539567
GM0473;636;10;654.0;11.0;-2.7522935779816513;-9.090909090909092
GM0479;7450;281;6925.0;248.0;7.581227436823105;13.306451612903226
GM0482;1210;76;1220.0;79.0;-0.819672131147541;-3.7974683544303796
GM0484;6752;649;6268.0;559.0;7.721761327377154;16.100178890876567
GM0489;4403;475;2276.0;311.0;93.45342706502636;52.733118971061096
GM0498;2666;446;1515.0;83.0;75.97359735973598;437.34939759036143
GM0502;2028;85;2727.0;89.0;-25.632563256325632;-4.49438202247191
GM0503;3036;150;2583.0;108.0;17.53774680603949;38.888888888888886
GM0505;7587;285;6889.0;285.0;10.13209464363478;0.0
GM0512;1719;88;1931.0;90.0;-10.978767477990678;-2.2222222222222223
GM0513;2297;92;2285.0;94.0;0.5251641137855579;-2.127659574468085
GM0518;21327;612;20605.0;467.0;3.5040038825527784;31.049250535331907
GM0523;2228;144;1390.0;103.0;60.28776978417266;39.80582524271845
GM0531;580;8;1098.0;23.0;-47.17668488160292;-65.21739130434783
GM0532;1049;58;974.0;58.0;7.700205338809035;0.0
GM0534;1232;118;1193.0;114.0;3.269069572506287;3.508771929824561
GM0537;3262;554;2977.0;483.0;9.573396036278133;14.699792960662526
GM0542;1063;92;1050.0;119.0;1.2380952380952381;-22.689075630252102
GM0546;3046;101;3157.0;114.0;-3.515996198923028;-11.403508771929825
GM0547;748;25;818.0;26.0;-8.557457212713937;-3.8461538461538463
GM0553;1219;69;1163.0;65.0;4.815133276010318;6.153846153846154
GM0556;1017;29;1077.0;32.0;-5.571030640668524;-9.375
GM0569;2576;298;2394.0;266.0;7.60233918128655;12.030075187969924
GM0575;2636;245;2419.0;231.0;8.970649028524184;6.0606060606060606
GM0579;665;127;490.0;77.0;35.714285714285715;64.93506493506493
GM0589;1122;182;1002.0;159.0;11.976047904191617;14.465408805031446
GM0590;2421;507;1137.0;165.0;112.9287598944591;207.27272727272728
GM0597;2087;87;2461.0;123.0;-15.197074360016254;-29.26829268292683
GM0599;19600;1000;23608.0;1169.0;-16.97729583192138;-14.456800684345595
GM0603;2109;39;2138.0;40.0;-1.3564078578110383;-2.5
GM0606;3650;238;3208.0;145.0;13.778054862842893;64.13793103448276
GM0610;1699;112;1567.0;93.0;8.423739629865986;20.43010752688172
GM0613;921;60;938.0;51.0;-1.812366737739872;17.647058823529413
GM0622;2864;114;2848.0;110.0;0.5617977528089888;3.6363636363636362
GM0626;648;34;724.0;37.0;-10.497237569060774;-8.108108108108109
GM0627;2077;134;1736.0;105.0;19.642857142857142;27.61904761904762
GM0629;807;53;856.0;66.0;-5.724299065420561;-19.696969696969695
GM0632;3544;326;3216.0;317.0;10.199004975124378;2.8391167192429023
GM0637;3814;192;3721.0;184.0;2.49932813759742;4.3478260869565215
GM0638;741;74;673.0;64.0;10.104011887072808;15.625
GM0642;2590;116;2005.0;97.0;29.17705735660848;19.587628865979383
GM0654;2671;156;2324.0;130.0;14.931153184165233;20.0
GM0664;3173;164;2563.0;125.0;23.800234100663285;31.2
GM0668;1663;97;1744.0;105.0;-4.644495412844036;-7.619047619047619
GM0677;1664;98;1495.0;87.0;11.304347826086957;12.64367816091954
GM0678;1025;45;931.0;41.0;10.096670247046188;9.75609756097561
GM0687;2481;148;2102.0;154.0;18.03044719314938;-3.896103896103896
GM0703;2410;116;2152.0;100.0;11.988847583643123;16.0
GM0715;3623;243;3080.0;225.0;17.62987012987013;8.0
GM0716;2542;91;2348.0;82.0;8.262350936967632;10.975609756097562
GM0717;1926;66;1865.0;70.0;3.2707774798927614;-5.714285714285714
GM0718;1939;84;1640.0;71.0;18.23170731707317;18.309859154929576
GM0736;2830;321;3078.0;297.0;-8.057179987004549;8.080808080808081
GM0737;2849;183;2334.0;156.0;22.065124250214225;17.307692307692307
GM0743;2229;139;1495.0;92.0;49.096989966555185;51.08695652173913
GM0744;0;0;675.0;33.0;-100.0;-100.0
GM0748;3611;325;2744.0;237.0;31.596209912536445;37.130801687763714
GM0753;1582;97;1475.0;92.0;7.254237288135593;5.434782608695652
GM0755;1412;65;1173.0;53.0;20.375106564364877;22.641509433962263
GM0757;2087;152;2083.0;139.0;0.19203072491598655;9.352517985611511
GM0758;17435;509;15774.0;417.0;10.529986052998606;22.062350119904078
GM0762;3317;260;2845.0;218.0;16.590509666080845;19.26605504587156
GM0765;900;57;669.0;43.0;34.52914798206278;32.55813953488372
GM0766;1024;54;1360.0;116.0;-24.705882352941178;-53.44827586206897
GM0770;1851;114;1664.0;100.0;11.23798076923077;14.0
GM0772;8909;2018;8861.0;1453.0;0.5416995824399052;38.88506538196834
GM0777;2280;270;2099.0;212.0;8.623153882801335;27.358490566037737
GM0779;1357;77;1239.0;70.0;9.523809523809524;10.0
GM0784;1698;122;1499.0;105.0;13.275517011340893;16.19047619047619
GM0785;1196;85;1125.0;86.0;6.311111111111111;-1.1627906976744187
GM0794;4531;215;4303.0;206.0;5.298628863583547;4.368932038834951
GM0796;10131;876;8673.0;687.0;16.810792113455552;27.510917030567686
GM0797;2985;189;2889.0;169.0;3.322949117341641;11.834319526627219
GM0798;1688;127;1423.0;106.0;18.622628250175683;19.81132075471698
GM0809;1454;57;1363.0;64.0;6.676449009537785;-10.9375
GM0820;779;24;1151.0;45.0;-32.319721980886186;-46.666666666666664
GM0823;1711;120;1576.0;113.0;8.565989847715736;6.1946902654867255
GM0824;2043;82;2000.0;96.0;2.15;-14.583333333333334
GM0826;3885;325;3443.0;270.0;12.837641591635203;20.37037037037037
GM0828;8347;574;6430.0;439.0;29.813374805598755;30.751708428246015
GM0840;2179;164;2083.0;154.0;4.608737397983678;6.4935064935064934
GM0845;1325;96;2066.0;158.0;-35.86640851887706;-39.24050632911393
GM0847;2524;235;2069.0;195.0;21.991300144997584;20.512820512820515
GM0848;1374;380;1060.0;338.0;29.62264150943396;12.42603550295858
GM0851;1659;95;1657.0;95.0;0.12070006035003017;0.0
GM0852;808;44;821.0;44.0;-1.5834348355663825;0.0
GM0855;15579;957;13544.0;801.0;15.025103366804489;19.475655430711612
GM0858;1909;106;1675.0;91.0;13.970149253731343;16.483516483516482
GM0861;2266;161;2243.0;150.0;1.0254123941150246;7.333333333333333
GM0865;1277;93;1345.0;91.0;-5.055762081784387;2.197802197802198
GM0866;435;12;542.0;18.0;-19.74169741697417;-33.333333333333336
GM0867;3796;268;3099.0;221.0;22.491126169732173;21.266968325791854
GM0873;685;31;1240.0;51.0;-44.75806451612903;-39.21568627450981
GM0879;2159;159;1911.0;137.0;12.977498691784406;16.05839416058394
GM0880;1004;30;941.0;28.0;6.695005313496281;7.142857142857143
GM0882;1535;105;1412.0;90.0;8.711048158640226;16.666666666666668
GM0888;907;93;762.0;57.0;19.028871391076116;63.1578947368421
GM0889;639;42;557.0;36.0;14.721723518850988;16.666666666666668
GM0893;1178;60;918.0;48.0;28.32244008714597;25.0
GM0899;1218;55;1001.0;47.0;21.678321678321677;17.02127659574468
GM0907;1137;131;941.0;104.0;20.828905419766205;25.96153846153846
GM0917;3395;228;3143.0;235.0;8.017817371937639;-2.978723404255319
GM0928;1844;109;1646.0;90.0;12.029161603888214;21.11111111111111
GM0935;3663;277;3326.0;208.0;10.132291040288635;33.17307692307692
GM0938;582;54;1265.0;149.0;-53.99209486166008;-63.758389261744966
GM0944;439;19;460.0;17.0;-4.565217391304348;11.764705882352942
GM0946;1634;114;1516.0;102.0;7.783641160949868;11.764705882352942
GM0957;3085;159;2889.0;151.0;6.78435444790585;5.298013245033113
GM0965;420;28;405.0;23.0;3.7037037037037037;21.73913043478261
GM0971;1532;154;1218.0;110.0;25.779967159277504;40.0
GM0981;272;18;266.0;18.0;2.255639097744361;0.0
GM0983;4682;519;3825.0;383.0;22.405228758169933;35.50913838120105
GM0984;3138;205;2751.0;170.0;14.067611777535442;20.58823529411765
GM0986;665;29;616.0;27.0;7.954545454545454;7.407407407407407
GM0988;2489;196;2459.0;197.0;1.2200081333875559;-0.5076142131979695
GM0994;1508;63;784.0;40.0;92.34693877551021;57.5
GM0995;3714;102;3318.0;82.0;11.934900542495479;24.390243902439025
GM0998;752;36;n.a.;n.a.;n.a.;n.a.
GM1507;3394;291;2916.0;256.0;16.392318244170095;13.671875
GM1509;2655;241;2514.0;245.0;5.608591885441528;-1.6326530612244898
GM1525;2131;176;1966.0;152.0;8.39267548321465;15.789473684210526
GM1581;2359;106;2211.0;106.0;6.693803708729082;0.0
GM1586;2757;427;2412.0;336.0;14.303482587064677;27.083333333333332
GM1598;2224;168;2211.0;159.0;0.5879692446856626;5.660377358490566
GM1621;4413;359;3591.0;322.0;22.890559732664997;11.490683229813664
GM1640;2902;241;2570.0;214.0;12.918287937743191;12.616822429906541
GM1641;1362;95;1429.0;101.0;-4.688593421973408;-5.9405940594059405
GM1652;2962;233;2663.0;207.0;11.227938415321066;12.560386473429952
GM1655;2695;160;1939.0;115.0;38.98916967509025;39.130434782608695
GM1658;1150;52;1147.0;55.0;0.26155187445510025;-5.454545454545454
GM1659;1854;148;1708.0;141.0;8.548009367681498;4.964539007092198
GM1667;1431;66;1258.0;58.0;13.751987281399046;13.793103448275861
GM1669;1326;63;1121.0;51.0;18.287243532560215;23.529411764705884
GM1674;4601;261;4068.0;264.0;13.102261553588987;-1.1363636363636365
GM1676;2995;108;2899.0;115.0;3.3114867195584683;-6.086956521739131
GM1680;2084;125;1835.0;94.0;13.569482288828338;32.97872340425532
GM1681;2687;136;2197.0;118.0;22.303140646335912;15.254237288135593
GM1690;2355;129;2216.0;119.0;6.272563176895307;8.403361344537815
GM1695;546;7;702.0;13.0;-22.22222222222222;-46.15384615384615
GM1696;1799;150;1767.0;148.0;1.8109790605546123;1.3513513513513513
GM1699;1732;60;1850.0;75.0;-6.378378378378378;-20.0
GM1700;3150;211;2766.0;199.0;13.882863340563992;6.030150753768845
GM1701;1716;69;1723.0;67.0;-0.4062681369704005;2.985074626865672
GM1705;2497;263;2217.0;202.0;12.629679747406405;30.198019801980198
GM1706;2136;117;1661.0;85.0;28.59723058398555;37.64705882352941
GM1708;3254;134;3331.0;136.0;-2.311618132692885;-1.4705882352941178
GM1709;4149;380;2905.0;272.0;42.822719449225474;39.705882352941174
GM1711;2201;147;1994.0;127.0;10.381143430290873;15.748031496062993
GM1714;2115;134;1845.0;108.0;14.634146341463415;24.074074074074073
GM1719;1791;78;2016.0;83.0;-11.160714285714286;-6.024096385542169
GM1721;2066;128;2947.0;166.0;-29.89480827960638;-22.89156626506024
GM1723;1078;63;957.0;55.0;12.64367816091954;14.545454545454545
GM1724;1928;78;1819.0;77.0;5.992303463441451;1.2987012987012987
GM1728;2244;136;1861.0;135.0;20.580333154218163;0.7407407407407407
GM1729;742;45;733.0;42.0;1.2278308321964528;7.142857142857143
GM1730;1561;74;2122.0;72.0;-26.4373232799246;2.7777777777777777
GM1731;3120;132;2945.0;121.0;5.942275042444821;9.090909090909092
GM1734;4165;328;3030.0;278.0;37.45874587458746;17.985611510791365
GM1735;2811;115;2533.0;102.0;10.9751283063561;12.745098039215685
GM1740;2448;185;2466.0;197.0;-0.7299270072992701;-6.091370558375634
GM1742;3727;495;2877.0;339.0;29.54466458116093;46.017699115044245
GM1771;1741;59;2451.0;98.0;-28.967768257853937;-39.795918367346935
GM1773;1250;40;1079.0;34.0;15.848007414272475;17.647058823529413
