PK_UID;BEDRIJF;ADRES;HUISNR;WOONPLAATS;Postcode;klasse;categorie;NETTO_OPP;VERMOGEN;E_VERBRUIK;WA_LT;WA_LT_POT;RESTW_TEMP;UITKOPPEL;X;Y;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
89;Keppel;Rondebeltweg;62;Almere;1329 BG;6;Middel-groot;10K-40K;5-12;44-176;30-120;60-240;20-25;(4) uitkoppeling pas mogelijk na een grote investering;146907;486291;BU00343903;GM0034;1329;1329BG;BU00343903;GM0034;1329;1329BG;BU00343903;GM0034;1329;1329BG;False;False;False;52.36444668348969;5.26838705212605;WarmteAtlas:DataCentraWarmte_2021;;;
90;Keppel;Dillenburgstraat;25;Eindhoven;5652 AM;3;Klein;1000-2000;2,5-5;8,8-22;3-6;12-30;20-25;(4) uitkoppeling pas mogelijk na een grote investering;158531;382006;BU07726210;GM0772;5652;5652AM;BU07726210;GM0772;5652;5652AM;BU07726210;GM0772;5652;5652AM;False;False;False;51.42715754173438;5.437971732117942;WarmteAtlas:DataCentraWarmte_2021;;;
91;KPN;Barbara Strozzilaan;251;Amsterdam;1083 HN;5;Middel-klein;5000-10K;2,5-5;22-44;15-30;30-60;20-25;(4) uitkoppeling pas mogelijk na een grote investering;120873;483308;BU0363KP05;GM0363;1083;1083HN;BU0363KP05;GM0363;1083;1083HN;BU0363KP05;GM0363;1083;1083HN;False;False;False;52.336637152181424;4.886480544929805;WarmteAtlas:DataCentraWarmte_2021;;;
92;KPN;Anthony Fokkerweg;40;Rotterdam;3088 GG;5;Middel-klein;5000-10K;0,5-2,5;22-44;6-15;12-30;20-25;(4) uitkoppeling pas mogelijk na een grote investering;90346;432285;BU05992198;GM0599;3088;3088GG;BU05992198;GM0599;3088;3088GG;BU05992198;GM0599;3088;3088GG;False;False;False;51.87535046856969;4.448303842131357;WarmteAtlas:DataCentraWarmte_2021;;;
93;KPN;Patersstraat;25;Arnhem;6828 AG;4;Middel-klein;2000-5000;0,5-2,5;4,4-8,8;3-6;12-30;20-25;(4) uitkoppeling pas mogelijk na een grote investering;191066;444234;BU02020210;GM0202;6828;6828AG;BU02020210;GM0202;6828;6828AG;BU02020210;GM0202;6828;6828AG;False;False;False;51.98533029329386;5.912226454435372;WarmteAtlas:DataCentraWarmte_2021;;;
94;KPN;Fauststraat;1;Apeldoorn;7323 BA;3;Klein;1000-2000;0,5-2,5;4,4-8,8;3-6;12-30;20-25;(4) uitkoppeling pas mogelijk na een grote investering;195274;471758;BU02000706;GM0200;7323;7323BA;BU02000706;GM0200;7323;7323BA;BU02000706;GM0200;7323;7323BA;False;False;False;52.232415848821375;5.976736053909888;WarmteAtlas:DataCentraWarmte_2021;;;
95;KPN;A. Hofmanweg;1;Haarlem;2031 BH;3;Klein;1000-2000;0,5-2,5;8,8-22;6-15;12-30;20-25;(4) uitkoppeling pas mogelijk na een grote investering;106169;489143;BU03920602;GM0392;2031;2031BH;BU03920602;GM0392;2031;2031BH;BU03920602;GM0392;2031;2031BH;False;False;False;52.387966821346936;4.669904555162986;WarmteAtlas:DataCentraWarmte_2021;;;
96;Maincubes;Capronilaan;2;Schiphol-Rijk;1119 NR;4;Middel-klein;2000-5000;2,5-5;22-44;15-30;12-30;20-25;(4) uitkoppeling pas mogelijk na een grote investering;113078;477309;BU03940674;GM0394;1119;1119NR;BU03940674;GM0394;1119;1119NR;BU03940674;GM0394;1119;1119NR;False;False;False;52.28218340581619;4.772861057874807;WarmteAtlas:DataCentraWarmte_2021;;;
97;Microsoft;Agriport;601;Middenmeer;1775 TK;8;Hyperscale;>100K;100-200;>440;>290;>580;25-30;(4) uitkoppeling pas mogelijk na een grote investering;131446;531079;BU19111080;GM1911;1775;1775TB;BU19111080;GM1911;1775;1775TB;BU19111080;GM1911;1775;1775TB;False;False;False;52.7665131225182;5.038229388177297;WarmteAtlas:DataCentraWarmte_2021;;;
98;Nikhef;Science Park;105;Amsterdam;1098 XG;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;25-30;(1) uitkoppeling wamte vindt al plaats;125286;485458;BU0363MN04;GM0363;1098;1098XG;BU0363MN04;GM0363;1098;1098XG;BU0363MN04;GM0363;1098;1098XG;False;False;False;52.356216304356835;4.951037932425749;WarmteAtlas:DataCentraWarmte_2021;;;
