PK_UID;BEDRIJF;ADRES;HUISNR;WOONPLAATS;Postcode;klasse;categorie;NETTO_OPP;VERMOGEN;E_VERBRUIK;WA_LT;WA_LT_POT;RESTW_TEMP;UITKOPPEL;X;Y;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
30;DataOne;Bruynvisweg;11;Wormer;1531 AX;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;114959;500964;BU08800001;GM0880;1531;1531AX;BU08800001;GM0880;1531;1531AX;BU08800001;GM0880;1531;1531AX;False;False;False;52.49491435508338;4.797604056999472;WarmteAtlas:DataCentraWarmte_2021;;;
31;Dataplace;Van Coulsterweg;6;Alblasserdam;2952 CB;3;Klein;1000-2000;2,5-5;8,8-22;6-15;12-30;20-25;(3) uitkoppeling van warmte vraagt enige investering;106208;428826;BU04820502;GM0482;2952;2952CB;BU04820502;GM0482;2952;2952CB;BU04820502;GM0482;2952;2952CB;False;False;False;51.845877018264304;4.679119728318813;WarmteAtlas:DataCentraWarmte_2021;;;
32;Dataplace;Tivolilaan;251;Arnhem;6824 BV;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(3) uitkoppeling van warmte vraagt enige investering;192561;444435;BU02020842;GM0202;6824;6824BV;BU02020842;GM0202;6824;6824BV;BU02020842;GM0202;6824;6824BV;False;False;False;51.987037683242704;5.934010721179986;WarmteAtlas:DataCentraWarmte_2021;;;
33;Dataplace;Koningin Wilhelminaweg;471;Groenekan;3737 BE;4;Middel-klein;2000-5000;5-12;8,8-22;6-15;12-30;20-25;(3) uitkoppeling van warmte vraagt enige investering;138344;459472;BU03100401;GM0310;3737;3737BE;BU03100401;GM0310;3737;3737BE;BU03100401;GM0310;3737;3737BE;False;False;False;52.12321229053959;5.143990095257554;WarmteAtlas:DataCentraWarmte_2021;;;
34;Dataplace;Parellaan;9;Hoofddorp;2132 WS;4;Middel-klein;2000-5000;5-12;8,8-22;6-15;30-60;20-25;(3) uitkoppeling van warmte vraagt enige investering;107236;478274;BU03940124;GM0394;2132;2132WS;BU03940124;GM0394;2132;2132WS;BU03940124;GM0394;2132;2132WS;False;False;False;52.29038018812509;4.687119101667165;WarmteAtlas:DataCentraWarmte_2021;;;
35;Dataplace;Drukkerij;6;Steenbergen;4651 SL;4;Middel-klein;2000-5000;5-12;8,8-22;6-15;30-60;20-25;(3) uitkoppeling van warmte vraagt enige investering;80006;400404;BU08510008;GM0851;4651;4651SL;BU08510008;GM0851;4651;4651SL;BU08510008;GM0851;4651;4651SL;False;False;False;51.58753527403827;4.30505503826219;WarmteAtlas:DataCentraWarmte_2021;;;
36;Dataplace;Gragtmansstraat;1B;Waalwijk;5145 RA;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(3) uitkoppeling van warmte vraagt enige investering;130884;411935;BU08670010;GM0867;5145;5145RA;BU08670010;GM0867;5145;5145RA;BU08670010;GM0867;5145;5145RA;False;False;False;51.69566933000341;5.038389713930893;WarmteAtlas:DataCentraWarmte_2021;;;
37;Interxion;Gyroscoopweg;58;Amsterdam;1042 AC;2;Klein;200-1000;<0,5;<0,9;<0,6;1,2-6;onbekend;(4) uitkoppeling pas mogelijk na een grote investering;117950;490363;BU0363BA05;GM0363;1042;1042AC;BU0363BA05;GM0363;1042;1042AC;BU0363BA05;GM0363;1042;1042AC;False;False;False;52.39985290386815;4.842817478345604;WarmteAtlas:DataCentraWarmte_2021;;;
38;Interxion;Cessnalaan;1-33;Schiphol-Rijk;1119 NJ;4;Middel-klein;2000-5000;0,5-2,5;8,8-22;6-15;12-30;20-25;(4) uitkoppeling pas mogelijk na een grote investering;112952;477537;BU03940674;GM0394;1119;1119NJ;BU03940674;GM0394;1119;1119NJ;BU03940674;GM0394;1119;1119NJ;False;False;False;52.284222901120906;4.770986308710739;WarmteAtlas:DataCentraWarmte_2021;;;
3;BIT;Galileïlaan;19;Ede;6716 BP;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(1) uitkoppeling wamte vindt al plaats;171270;448819;BU02281303;GM0228;6716;6716BP;BU02281303;GM0228;6716;6716BP;BU02281303;GM0228;6716;6716BP;False;False;False;52.027474137249875;5.624271958586353;WarmteAtlas:DataCentraWarmte_2021;;;
39;Interxion;Tupolevlaan;101;Schiphol-Rijk;1119 PA;4;Middel-klein;2000-5000;5-12;22-44;15-30;30-60;20-25;(2) uitkoppeling warmte is voorbereid;111808;477084;BU03940674;GM0394;1119;1119PA;BU03940674;GM0394;1119;1119PA;BU03940674;GM0394;1119;1119PA;False;False;False;52.28006309923251;4.7542797855352035;WarmteAtlas:DataCentraWarmte_2021;;;
40;Interxion;Koolhovenlaan;25;Schiphol-Rijk;1119 NB;4;Middel-klein;2000-5000;5-12;onbekend;onbekend;30-60;20-25;(4) uitkoppeling pas mogelijk na een grote investering;112612;477662;BU03940674;GM0394;1119;1119NB;BU03940674;GM0394;1119;1119NB;BU03940674;GM0394;1119;1119NB;False;False;False;52.28532023857722;4.765988160114015;WarmteAtlas:DataCentraWarmte_2021;;;
41;Interxion;Cessnalaan;50;Schiphol-Rijk;1119 NL;5;Middel-klein;5000-10K;12-25;44-176;30-120;60-240;20-25;(4) uitkoppeling pas mogelijk na een grote investering;112589;477228;BU03940674;GM0394;1119;1119NL;BU03940674;GM0394;1119;1119NL;BU03940674;GM0394;1119;1119NL;False;False;False;52.28141798305418;4.765705617672627;WarmteAtlas:DataCentraWarmte_2021;;;
