OBJECTID;Potentieel;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
1092;3.12;BU19630007;GM1963;3261.0;3261KV;BU19630007;GM1963;3261.0;3261KV;BU19630007;GM1963;3261.0;3261KV;False;False;False;51.81696462936451;4.439482543968736;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1093;2.54;BU19630900;GM1963;3281.0;3281AH;BU19630900;GM1963;3281.0;3281AH;BU19630900;GM1963;3281.0;3281AH;False;False;False;51.73681813665301;4.438810356818047;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1094;2.17;BU19630299;GM1963;3271.0;3271LW;BU19630299;GM1963;3271.0;3271LW;BU19630299;GM1963;3271.0;3271LW;False;False;False;51.802541484116006;4.528786237572877;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1095;2.37;BU07580607;GM0758;4824.0;4824AT;BU07580607;GM0758;4824.0;4824AT;BU07580607;GM0758;4824.0;4824AT;False;False;False;51.61760284317543;4.762476241642615;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1096;3.0;BU19591891;GM1959;4267.0;4267ET;BU19591891;GM1959;4267.0;4267ET;BU19591891;GM1959;4267.0;4267ET;False;False;False;51.71393433323556;5.012275458179013;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1097;3.74;BU07960212;GM0796;5248.0;5248JJ;BU07960212;GM0796;5248.0;5248JJ;BU07960212;GM0796;5248.0;5248JJ;False;False;False;51.69136719604816;5.359448244093451;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1098;3.28;BU07580609;GM0758;4823.0;4823ZJ;BU07580609;GM0758;4823.0;4823ZJ;BU07580609;GM0758;4823.0;4823ZJ;False;False;False;51.642608914387665;4.734988846604398;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1099;2.0;BU19822403;GM1982;5836.0;5836CB;BU19822403;GM1982;5836.0;5836CB;BU19822403;GM1982;5836.0;5836CB;False;False;False;51.62118014278408;5.94470930679697;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1100;3.42;BU08510300;GM0851;4671.0;4671BR;BU08510300;GM0851;4671.0;4671BR;BU08510300;GM0851;4671.0;4671BR;False;False;False;51.632994691931714;4.381730745662302;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1101;3.0;BU07970105;GM0797;5151.0;5151RC;BU07970105;GM0797;5151.0;5151RC;BU07970105;GM0797;5151.0;5151RC;False;False;False;51.669138411211335;5.138351473125123;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
