codering;jaar;wtp_actiedoelen;wtp_energiedragers;wtp_energiebronnen_z_omz;wtp_wng_check;wtp_wng_type_wnet;wtp_util_check
BU09171100;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU09171101;2023;Aardgasvrij;DE;Omgeving;Ja;klein;Nee
BU09171200;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09171201;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU09171300;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09171301;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09171400;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09172000;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU09172001;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU09172002;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09172003;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09172004;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09172100;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU09172101;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09172200;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09172201;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09172300;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU09172400;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09172401;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09172402;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09173000;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09173001;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09173002;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09173100;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09173101;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09173102;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09173103;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09173200;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09173201;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09173202;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09173203;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09173300;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09173301;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09173302;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09173303;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09173400;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09173500;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09173600;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09173601;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09173602;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09173603;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09173700;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09173701;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09173800;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09173801;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09173900;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09173901;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09173902;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09173903;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09174000;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09174100;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09174101;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09174102;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09174103;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09174200;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09280000;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09280001;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09280002;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09280003;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09280004;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09280009;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09280100;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09280101;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09280102;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09280103;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09280104;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09280105;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09280200;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09280201;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09280202;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09280203;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09280204;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09280205;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09650000;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09650001;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09650002;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09650003;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09650009;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09650100;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09650101;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09650102;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09650103;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09810000;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09810001;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09810003;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09810005;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09810006;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09810007;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09810008;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09810009;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09810100;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09860101;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09860102;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09860201;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09860202;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09860203;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09860301;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09860302;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09860303;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09860401;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09860402;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09860403;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09860404;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09860405;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09860406;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09860501;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09860900;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09940000;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09940001;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09940002;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09940003;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09940004;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09940005;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09940006;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09940007;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09940008;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09940100;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09940102;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09940104;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
