OBJECTID;Potentieel;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
1185;0.0;BU19780408;GM1978;3381.0;3381KT;BU19780408;GM1978;3381.0;3381KT;BU19780408;GM1978;3381.0;3381KT;False;False;False;51.86466527109499;4.881264066343389;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
1186;0.0;BU05991699;GM0599;3192.0;3192XW;BU05991699;GM0599;3192.0;3192XW;BU05991699;GM0599;3192.0;3192XW;False;False;False;51.860314229768626;4.354333131524296;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
1187;0.0;BU19780108;GM1978;4241.0;4241EB;BU19780108;GM1978;4241.0;4241EB;BU19780108;GM1978;4241.0;4241EB;False;False;False;51.86241645674656;4.998882171273832;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
1188;0.0;BU19302504;GM1930;3218.0;3218LE;BU19302504;GM1930;3218.0;3218LE;BU19302504;GM1930;3218.0;3218LE;False;False;False;51.85617875480667;4.2020036557370934;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
1189;0.0;BU04890308;GM0489;2991.0;2991MP;BU04890308;GM0489;2991.0;2991MP;BU04890308;GM0489;2991.0;2991MP;False;False;False;51.85915730534576;4.547438829760425;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
1190;0.0;BU04895084;GM0489;2994.0;2994LB;BU04895084;GM0489;2994.0;2994LB;BU04895084;GM0489;2994.0;2994LB;False;False;False;51.857982616190675;4.509717280574138;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
1191;0.0;BU19780202;GM1978;2971.0;2971VD;BU19780202;GM1978;2971.0;2971VD;BU19780202;GM1978;2971.0;2971VD;False;False;False;51.859456284284384;4.736154512936957;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
1192;0.0;BU19611401;GM1961;4247.0;4247ED;BU19611401;GM1961;4247.0;4247ED;BU19611401;GM1961;4247.0;4247ED;False;False;False;51.86071121185214;5.027930927255926;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
1193;0.0;BU05310501;GM0531;3341.0;3341LZ;BU05310501;GM0531;3341.0;3341LZ;BU05310501;GM0531;3341.0;3341LZ;False;False;False;51.85625396481561;4.650556919300381;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
1194;4.0;BU19300102;GM1930;3201.0;3201AK;BU19300102;GM1930;3201.0;3201AK;BU19300102;GM1930;3201.0;3201AK;False;False;False;51.85290492965874;4.329826888880639;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
