waterschap;res_gebied;naamgeving;min_uur;min_gj_ex;opmerking;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
Waterschap De Dommel;Hart van Brabant;RWZI BIEST-HOUTAKKER;321.783333333;45462.83;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU07980209;GM0798;5084;5084HW;BU07980209;GM0798;5084;5084HW;BU07980209;GM0798;5084;5084HW;False;False;False;51.50008784375368;5.17187973469966;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Waterschap De Dommel;Noord-oost Brabant;RWZI HAAREN;293.95875;41531.66;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU08242004;GM0824;5076;5076NA;BU08241701;GM0824;5076;5076NA;BU08241701;GM0824;5076;5076NA;True;False;False;51.586463890135356;5.222790545271608;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Waterschap De Dommel;Metropoolregio Eindhoven;RWZI EINDHOVEN;2014.55;84623.68;Specifieke berekening minimaal potentieel;BU07723370;GM0772;5631;5631AG;BU07723370;GM0772;5631;5631AG;BU07723370;GM0772;5631;5631AG;False;False;False;51.46028553276558;5.503247121588894;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Waterschap De Dommel;Noord-oost Brabant;RWZI BOXTEL;504.031666668;71211.6;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU07570007;GM0757;5283;5283SC;BU07570007;GM0757;5283;5283SC;BU07570007;GM0757;5283;5283SC;False;False;False;51.60870055808679;5.327657074046705;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Waterschap De Dommel;Hart van Brabant;RWZI TILBURG;1914.09125;70430.46;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU08556501;GM0855;5048;5048TD;BU08556501;GM0855;5048;5048TB;BU08556501;GM0855;5048;5048TB;False;False;False;51.60004877457195;5.067584339569449;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Waterschap Scheldestromen;Zeeland;rwzi Walcheren;0.0;0.0;Geen debiet data beschikbaar;BU07180601;GM0718;4389;4389TD;BU07180601;GM0718;4389;4389TD;BU07180601;GM0718;4389;4389TD;False;False;False;51.4435438343867;3.614490177345584;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Waterschap Scheldestromen;Zeeland;rwzi Willem Annapolder;342.28;48358.68;Specifieke berekening minimaal potentieel;BU06780009;GM0678;4421;4421RT;BU06780009;GM0678;4421;4421RT;BU06780009;GM0678;4421;4421RT;False;False;False;51.45007351528039;3.9347477963256035;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Waterschap Scheldestromen;Zeeland;rwzi Camperlandpolder;43.7525;6181.52;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU16950309;GM1695;4493;4493PD;BU16950309;GM1695;4493;4493PD;BU16950309;GM1695;4493;4493PD;False;False;False;51.57299720484727;3.7341097199021216;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Brabantse Delta;Zeeland;RWZI BATH;1383.70416667;95495.25;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU07030409;GM0703;4411;4411PC;BU07030409;GM0703;4411;4411PC;BU07030409;GM0703;4411;4411PC;False;False;False;51.39899796298928;4.249449150764745;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Waterschap Scheldestromen;Zeeland;rwzi Waarde;77.2925;10920.19;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU07030309;GM0703;4414;4414RH;BU07030309;GM0703;4414;4414RH;BU07030309;GM0703;4414;4414RH;False;False;False;51.42635820753435;4.053509160479671;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
