buurtcode;bestelautos_totaal;vrachtautos_totaal;bestelautos_ondergrens;bestelautos_bovengrens;vrachtautos_ondergrens;vrachtautos_bovengrens;bedrijfswagens_gewicht_methode;bedrijfswagens_pc4_gelijk_verdeeld;bedrijfswagens_pc4_dekkingsklasse;bedrijfswagens_rdw_peildatum;bedrijfswagens_cbs_split_periode
BU09350205;43;2;43;55;2;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350206;39;5;39;69;5;9;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350207;78;10;54;78;7;10;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350208;31;1;31;57;1;2;bedrijfsvestigingen_hj;False;3.0;2026-07-08;2023JJ00
BU09350209;110;2;96;110;2;2;bedrijfsvestigingen_hj;False;2.0;2026-07-08;2023JJ00
BU09350300;38;1;38;61;1;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350301;19;0;18;19;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350302;17;0;17;33;0;1;bedrijfsvestigingen_hj;False;3.0;2026-07-08;2023JJ00
BU09350303;39;1;39;39;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350304;39;5;33;39;4;5;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09350400;103;1;103;117;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350401;32;1;29;32;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350402;171;6;88;171;2;6;bedrijfsvestigingen_hj;False;4.0;2026-07-08;2023JJ00
BU09350403;215;24;188;215;21;24;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350404;161;18;161;192;18;21;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350405;113;3;113;152;3;3;bedrijfsvestigingen_hj;False;3.0;2026-07-08;2023JJ00
BU09350406;105;9;105;138;9;12;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350500;269;30;269;325;30;36;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350501;41;3;41;65;3;4;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350502;81;5;57;81;4;5;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350503;269;30;220;269;24;30;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09350600;344;43;272;344;34;43;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350601;173;22;173;260;22;33;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350602;186;4;181;186;4;4;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350603;143;11;69;143;5;11;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350604;15;0;15;69;0;2;bedrijfsvestigingen_hj;False;3.0;2026-07-08;2023JJ00
BU09380000;2;0;2;179;0;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09380001;7;1;7;43;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09380002;2;0;2;35;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09380003;1;0;1;135;0;2;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09380009;0;0;0;124;0;2;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09380100;51;7;51;57;7;8;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09380109;139;19;123;139;16;19;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09380200;51;7;51;100;7;14;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09380201;94;13;44;94;6;13;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09380202;32;2;32;48;2;3;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09380203;6;0;6;35;0;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09380204;6;0;6;24;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09380205;67;2;43;67;1;2;bedrijfsvestigingen_totaal;False;4.0;2026-07-08;2023JJ00
BU09380206;58;3;20;58;1;3;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09710000;95;4;95;113;4;5;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09710001;76;3;66;76;3;3;bedrijfsvestigingen_hj;False;2.0;2026-07-08;2023JJ00
BU09710002;99;6;93;99;6;6;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09710003;96;4;17;96;1;4;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09710004;76;3;76;125;3;5;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09710005;19;1;19;52;1;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09710100;304;47;304;316;47;48;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09710101;423;64;198;423;30;64;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09710102;25;4;25;230;4;35;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09710200;52;3;52;65;3;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09710201;52;3;41;52;2;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09710202;149;8;139;149;7;8;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09710203;78;4;67;78;4;4;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09940101;0;0;0;30;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09940103;1025;34;67;1025;3;34;oppervlakte;False;1.0;2026-07-08;2023JJ00
BU09940400;0;0;0;43;0;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09940401;0;0;0;58;0;4;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09940403;0;0;0;29;0;2;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09940404;0;0;0;40;0;3;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU18830507;380;35;380;490;35;48;bedrijfsvestigingen_totaal;False;6.0;2026-07-08;2023JJ00
BU18830606;41;4;41;71;4;7;bedrijfsvestigingen_totaal;False;2.0;2026-07-08;2023JJ00
BU18830700;77;3;77;89;3;4;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU19030000;63;3;63;86;3;4;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU19030001;13;1;13;22;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU19030002;113;5;35;113;2;5;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU19030003;139;6;34;139;2;6;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU19030004;25;1;15;25;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU19030005;13;1;11;13;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU19030009;31;3;31;216;3;17;bedrijfsvestigingen_hj;False;2.0;2026-07-08;2023JJ00
BU19030100;150;42;147;150;41;42;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU19030101;50;14;28;50;8;14;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU19030203;23;2;19;23;2;2;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU19030205;9;1;9;62;1;5;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU19030300;39;2;25;39;1;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU19030301;19;1;3;19;0;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU19030302;46;3;9;46;1;3;bedrijfsvestigingen_totaal;False;2.0;2026-07-08;2023JJ00
BU19030303;6;0;6;11;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU19030309;48;3;48;99;3;6;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU19030400;60;7;5;60;1;7;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU19030401;48;6;10;48;1;6;bedrijfsvestigingen_totaal;False;3.0;2026-07-08;2023JJ00
BU19030402;14;2;4;14;1;2;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU19030403;11;1;9;11;1;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU19030409;29;4;29;149;4;20;bedrijfsvestigingen_totaal;False;2.0;2026-07-08;2023JJ00
BU19030500;23;0;23;24;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820001;19;1;19;92;1;6;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820002;20;1;20;27;1;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820003;15;1;15;34;1;2;bedrijfsvestigingen_hj;False;2.0;2026-07-08;2023JJ00
BU08820004;10;1;10;25;1;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820005;15;1;15;19;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820006;90;3;13;90;0;3;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08820007;149;8;54;149;3;8;bedrijfsvestigingen_totaal;False;5.0;2026-07-08;2023JJ00
BU08820008;60;2;60;100;2;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820009;15;1;15;29;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820010;15;1;15;34;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820011;15;1;15;37;1;1;bedrijfsvestigingen_hj;False;2.0;2026-07-08;2023JJ00
BU08820012;165;6;21;165;1;6;bedrijfsvestigingen_totaal;False;2.0;2026-07-08;2023JJ00
BU08820020;64;2;64;230;2;8;bedrijfsvestigingen_totaal;False;2.0;2026-07-08;2023JJ00
BU08820101;60;2;34;60;1;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820102;40;1;39;40;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820103;20;1;20;33;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820104;176;9;11;176;1;9;bedrijfsvestigingen_totaal;False;3.0;2026-07-08;2023JJ00
BU08820105;19;1;19;19;1;1;bedrijfsvestigingen_hj;False;3.0;2026-07-08;2023JJ00
BU08820120;36;1;36;133;1;6;bedrijfsvestigingen_totaal;False;5.0;2026-07-08;2023JJ00
BU08820201;0;0;0;104;0;12;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820202;0;0;0;26;0;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820203;0;0;0;10;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820204;0;0;0;32;0;4;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820205;0;0;0;110;0;12;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820206;0;0;0;104;0;12;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820207;0;0;0;73;0;8;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08820220;532;60;69;532;8;60;oppervlakte;False;3.0;2026-07-08;2023JJ00
BU08880001;24;1;24;59;1;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08880002;113;1;113;113;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08880101;12;1;12;66;1;4;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08880102;47;3;18;47;1;3;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08880103;71;4;38;71;2;4;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990124;4;0;4;21;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08990126;4;0;4;42;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08990134;10;1;10;31;1;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08990135;21;2;21;34;2;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08990136;129;12;81;129;8;12;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990144;11;1;11;25;1;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08990201;58;1;18;58;0;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990202;21;0;14;21;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990203;48;1;24;48;1;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990204;3;0;3;22;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08990205;41;1;19;41;0;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990207;3;0;3;14;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08990208;3;0;3;15;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08990209;30;1;13;30;0;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990225;15;0;15;17;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990242;7;0;7;47;0;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990243;3;0;3;50;0;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990314;0;0;0;9;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08990315;0;0;0;3;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990316;0;0;0;15;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08990317;0;0;0;17;0;1;bedrijfsvestigingen_totaal;False;3.0;2026-07-08;2023JJ00
BU08990318;0;0;0;6;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08990332;209;10;9;209;1;10;oppervlakte;False;1.0;2026-07-08;2023JJ00
BU08990333;0;0;0;37;0;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08990337;123;8;55;123;4;8;oppervlakte;False;1.0;2026-07-08;2023JJ00
BU08990339;0;0;0;47;0;3;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990340;0;0;0;37;0;2;bedrijfsvestigingen_totaal;False;2.0;2026-07-08;2023JJ00
BU08990345;0;0;0;1;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990428;2;0;2;2;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990429;0;0;0;6;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08990430;0;0;0;12;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08990431;0;0;0;7;0;0;bedrijfsvestigingen_totaal;False;2.0;2026-07-08;2023JJ00
BU08990438;230;11;35;230;1;11;oppervlakte;False;1.0;2026-07-08;2023JJ00
BU08990441;0;0;0;37;0;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990506;3;0;3;15;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08990510;26;1;16;26;0;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990511;17;0;9;17;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990512;73;2;11;73;0;2;bedrijfsvestigingen_totaal;False;2.0;2026-07-08;2023JJ00
BU08990513;2;0;2;9;0;0;bedrijfsvestigingen_hj;False;5.0;2026-07-08;2023JJ00
BU08990519;4;0;4;28;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08990520;51;1;14;51;0;1;bedrijfsvestigingen_totaal;False;4.0;2026-07-08;2023JJ00
BU08990521;7;0;7;12;0;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990522;0;0;0;4;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08990523;0;0;0;8;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08990527;53;1;37;53;1;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09171000;44;4;44;60;3;4;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09171001;55;2;23;55;1;2;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09171100;49;1;49;82;1;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09171101;97;2;61;97;1;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09171200;48;2;48;108;2;4;bedrijfsvestigingen_hj;False;2.0;2026-07-08;2023JJ00
BU09171201;198;5;146;198;3;5;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09171300;91;10;91;163;10;17;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09171301;94;10;75;94;8;10;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09171400;266;28;235;266;24;28;bedrijfsvestigingen_hj;False;2.0;2026-07-08;2023JJ00
BU09172000;122;8;65;122;5;8;bedrijfsvestigingen_totaal;False;3.0;2026-07-08;2023JJ00
BU09172001;30;0;30;32;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09172002;31;1;31;48;1;3;bedrijfsvestigingen_hj;False;2.0;2026-07-08;2023JJ00
BU09172003;106;1;9;106;0;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09172004;46;0;16;46;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09172100;31;3;31;51;3;5;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09172101;62;6;59;62;5;6;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09172200;30;1;30;52;1;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09172201;15;1;15;18;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09172300;52;1;52;237;1;2;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09172400;46;4;46;58;4;5;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09172401;29;2;29;83;2;6;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09172402;123;8;37;123;3;8;bedrijfsvestigingen_totaal;False;2.0;2026-07-08;2023JJ00
BU09173000;20;0;20;32;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173001;40;1;40;52;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173002;10;0;10;22;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173100;10;0;10;28;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173101;20;0;20;26;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173102;10;0;10;23;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173103;60;1;25;60;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173200;22;1;22;74;1;4;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173201;129;7;28;129;1;7;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09173202;22;1;22;71;1;4;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173203;64;3;64;64;3;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173300;29;1;26;29;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173301;10;0;10;13;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173302;10;0;9;10;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173303;48;1;16;48;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173400;19;0;19;24;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173500;248;6;174;248;3;6;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09173600;102;2;102;119;2;2;bedrijfsvestigingen_totaal;False;3.0;2026-07-08;2023JJ00
BU09173601;11;0;11;40;0;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173602;46;2;19;46;1;2;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09173603;49;2;20;49;1;2;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09173700;24;0;24;25;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173701;23;0;15;23;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173800;12;0;12;26;0;1;bedrijfsvestigingen_hj;False;2.0;2026-07-08;2023JJ00
BU09173801;47;1;47;54;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173900;35;1;35;39;1;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173901;23;1;23;34;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173902;35;1;30;35;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09173903;58;2;35;58;1;2;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09174000;49;2;40;49;2;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09174100;49;2;33;49;2;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09174101;32;2;32;33;2;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09174102;58;5;58;85;5;6;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09174103;19;3;19;48;3;4;bedrijfsvestigingen_totaal;False;2.0;2026-07-08;2023JJ00
BU09174200;294;75;294;297;75;75;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09280000;382;24;261;382;17;24;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09280001;48;3;48;92;3;6;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09280002;184;14;151;184;11;14;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09280003;52;3;52;126;3;8;bedrijfsvestigingen_hj;False;4.0;2026-07-08;2023JJ00
BU09280004;77;11;77;83;11;11;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09280009;82;6;82;147;6;11;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09280100;231;10;231;252;10;11;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09280101;46;0;33;46;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09280102;53;1;53;75;1;1;bedrijfsvestigingen_hj;False;5.0;2026-07-08;2023JJ00
BU09280103;92;3;73;92;2;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09280104;49;2;49;75;2;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09280105;116;5;89;116;4;5;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09280200;166;16;95;166;9;16;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09280201;36;3;29;36;3;3;bedrijfsvestigingen_hj;False;4.0;2026-07-08;2023JJ00
BU09280202;31;3;31;108;3;10;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09280203;68;3;65;68;2;3;bedrijfsvestigingen_hj;False;6.0;2026-07-08;2023JJ00
BU09280204;88;2;39;88;0;2;bedrijfsvestigingen_hj;False;4.0;2026-07-08;2023JJ00
