gemeentecode;gemeentenaam;latitude;longitude;pv_potentie_dak_tj;pv_potentie_veld_lbg4_tj;pv_potentie_veld_lbg10_tj;pv_potentie_veld_lbg100_tj;pv_potentie_water_tj;pv_potentie_totaal_tj;pv_potentie_totaal_gwh;pv_kans2030;wind_potentie_land_aantal;wind_potentie_land_tj;wind_potentie_water_aantal;wind_potentie_water_tj;wind_potentie_totaal_tj;wind_potentie_totaal_gwh;wind_vermogen_per_turbine_kw;province;provinciecode;res_regio;res_regiocode;elec_verbruik_a_kwh;elec_verbruik_bf_kwh;elec_verbruik_gi_kwh;elec_verbruik_hj_kwh;elec_verbruik_kl_kwh;elec_verbruik_mn_kwh;elec_verbruik_oq_kwh;elec_verbruik_ru_kwh;gas_verbruik_a_m3;gas_verbruik_bf_m3;gas_verbruik_gi_m3;gas_verbruik_hj_m3;gas_verbruik_kl_m3;gas_verbruik_mn_m3;gas_verbruik_oq_m3;gas_verbruik_ru_m3;elec_verbruik_totaal_kwh;gas_verbruik_totaal_m3;elec_eenheid;gas_eenheid;energie_bron;energie_bron_url;elec_bijgeschat_kwh;gas_bijgeschat_m3;bijschatting_niveaus;elec_bijgeschat_aandeel;gas_bijgeschat_aandeel;pv_potentie_bron;pv_potentie_bron_url;wind_potentie_bron;wind_potentie_bron_url;bestelautos_totaal;vrachtautos_totaal;bestelautos_ondergrens;bestelautos_bovengrens;vrachtautos_ondergrens;vrachtautos_bovengrens;bestelauto_cbs2023;vrachtauto_cbs2023;bestelauto_afwijking_pct;vrachtauto_afwijking_pct
GM0085;Ooststellingwerf;52.982369138844675;6.282968476265656;1460.17;2332.28;5830.7;58306.98;0.0;3792.45;1053.54;Kansrijk;163.0;10384.92;0.0;0.0;10384.92;2884.7;5600.0;Friesland;PV21;Friesland;ES02;11104000.0;59751708.56902927;12893038.296467481;2041028.3911671925;562944.1532143601;1729000.0;4439038.226921513;1511000.0;862000.0;4549539.407890437;1449114.889402443;70249.58932387446;59000.0;78000.0;930000.0;361036.4583333334;94031757.63679983;8358940.344950088;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;14948757.636799823;1122940.344950088;res+thema;0.159;0.1343;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;2241;199;462;4029;25;364;1965;164;14.045801526717558;21.341463414634145
GM0086;Opsterland;53.049150439660245;6.112756703292932;1502.49;2615.49;6538.74;65387.37;0.0;4117.98;1143.97;Kansrijk;142.0;9984.24;0.0;0.0;9984.24;2773.4;5600.0;Friesland;PV21;Friesland;ES02;9251000.0;30264462.973141376;15858042.918454936;3215038.9064143007;917563.9749436991;1105000.0;7595045.953639691;1210000.0;675000.0;2557935.4975274308;1609128.7553648069;204564.25203642054;88713.28671328671;163000.0;1303000.0;376043.98148148146;69416154.726594;6977385.773123425;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;18981154.726594;1472385.7731234264;res+thema;0.2734;0.211;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;2625;113;1190;4002;40;175;2313;95;13.488975356679637;18.94736842105263
GM0088;Schiermonnikoog;53.49121656208513;6.22662122661146;52.92;100.15;250.38;2503.76;0.0;153.07;42.52;Kansrijk;12.0;892.58;0.0;0.0;892.58;247.94;5600.0;Friesland;PV21;Friesland;ES02;171000.0;1995383.4266631398;2627003.3014196106;360002.1030494217;30154.95543233474;57833.33333333333;680454.262646252;262894.7368421053;75000.0;73158.83896513184;793009.9042588313;7462.932542509218;34398.6013986014;14250.0;62016.666666666664;66035.82246132614;6184726.119386197;1125332.7662930666;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;1878726.1193861973;130332.76629306658;res+thema;0.3038;0.1158;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;67;4;51;83;3;4;78;4;-14.102564102564102;0.0
GM0090;Smallingerland;53.113422698398956;6.038929733851076;1811.66;1293.94;3234.85;32348.46;0.37;3105.97;862.84;Kansrijk;47.0;3316.32;2.0;170.15;3486.47;968.46;5600.0;Friesland;PV21;Friesland;ES02;4658000.0;88725071.05459985;29521081.87520634;6188074.658254469;3031140.4212637916;4103000.0;20218088.247254983;4615000.0;500000.0;8841639.91314187;2847245.625619016;381074.658254469;418000.0;569000.0;4112000.0;1207066.5509259258;161059456.25657946;18876026.74794128;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;456.256579431191;2405026.7479412816;res+thema;0.0;0.1274;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;6078;258;4767;7477;207;319;5671;226;7.176864750484923;14.15929203539823
GM0093;Terschelling;53.39760586139377;5.32908505530437;207.69;219.99;549.98;5499.82;0.0;427.68;118.81;Kansrijk;64.0;4967.42;0.0;0.0;4967.42;1379.84;5600.0;Friesland;PV21;Friesland;ES02;632000.0;4831242.677996597;10644019.148233742;1595010.5152471084;155030.09027081245;348166.6666666667;2109010.166734445;332000.0;41000.0;329504.2331404172;2187057.444701222;35314.662712546095;63000.0;74000.0;273000.0;218012.15277777778;20646479.265149374;3220888.493331963;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;3672479.2651493703;269888.4933319626;res+thema;0.1779;0.0838;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;621;33;258;984;11;55;617;32;0.6482982171799028;3.125
GM0096;Vlieland;53.258561262841056;4.975100019170059;43.69;0.23;0.57;5.72;0.0;43.92;12.2;Kansrijk;23.0;1785.17;0.0;0.0;1785.17;495.88;5600.0;Friesland;PV21;Friesland;ES02;0.0;1632291.2498250513;4136005.282271377;600006.309148265;137006.0180541625;76000.0;817490.4499914297;230431.57894736843;0.0;108955.63316360003;950015.8468141301;38388.79762752766;39916.08391608392;7648.3050847457625;107823.33333333334;78857.31593812183;7629230.888237652;1331605.3158775428;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;1228230.8882376535;173605.3158775426;res+thema;0.161;0.1304;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;138;7;46;230;2;13;144;8;-4.166666666666667;-12.5
GM0098;Weststellingwerf;52.875762611716425;6.017688689892958;1475.6;2697.97;6744.92;67449.21;0.0;4173.57;1159.42;Kansrijk;151.0;9649.99;0.0;0.0;9649.99;2680.55;5600.0;Friesland;PV21;Friesland;ES02;11896000.0;47758376.60406876;10491041.597887091;9394033.648790747;441074.222668004;837919.5402298851;6302035.786905246;1530000.0;670000.0;3696566.116359622;1293124.7936612745;56033.648790746585;69000.0;106000.0;1282000.0;452038.77314814815;88650481.40054974;7624763.331959792;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;19007481.400549736;1430763.3319597917;res+thema;0.2144;0.1876;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;2386;111;1412;3353;57;160;2128;87;12.12406015037594;27.586206896551722
GM0106;Assen;53.00127298145234;6.5524662374658345;1672.97;494.31;1235.77;12357.65;0.0;2167.28;602.07;Kansrijk;42.0;2652.15;0.0;0.0;2652.15;736.71;5600.0;Drenthe;PV22;Drenthe;ES03;1512000.0;36865702.29911995;30018119.525547445;17885000.0;4324991.164064878;7658129.0174472;42011000.0;11595051.05853051;271000.0;1630144.5086705203;3600000.0;352157.45393634844;622000.0;873984.8484848485;7811284.6790890265;2115210.843373494;151869993.06471;17275782.333554238;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;20362993.064709984;937782.3335542381;res+thema;0.1341;0.0543;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;3109;144;644;5448;10;281;2636;165;17.943854324734446;-12.727272727272727
GM0109;Coevorden;52.74025546722442;6.735911618268609;1904.47;3394.62;8486.55;84865.46;0.0;5299.09;1472.09;Kansrijk;159.0;10161.24;0.0;0.0;10161.24;2822.57;5600.0;Drenthe;PV22;Drenthe;ES03;15708000.0;134280038.98248658;25298081.204379562;10563000.0;1246136.1916771752;1179064.2791551882;9861000.0;3375000.0;772000.0;18358032.75529865;5705000.0;326058.6264656616;144000.0;150757.57575757575;1492123.1884057971;688000.0;201510320.6576985;27635972.145927686;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;17737320.657698516;207972.14592768575;res+thema;0.088;0.0075;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;3081;146;1406;4638;51;229;2651;122;16.220294228592984;19.672131147540984
GM0114;Emmen;52.749652722701455;6.961960449090798;3862.16;3400.12;8500.31;85003.07;0.0;7262.28;2017.46;Kansrijk;217.0;13835.91;0.0;0.0;13835.91;3843.31;5600.0;Drenthe;PV22;Drenthe;ES03;23658000.0;149599938.42681563;60017217.15328467;19131000.0;6597398.486759143;4724166.666666667;50529000.0;9378556.662515566;44266000.0;14110799.614643546;9047740.869565217;609187.6046901173;428000.0;598500.0;7171335.403726708;3007620.4819277106;323635277.3960417;79239183.9745533;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;41598277.39604166;5817183.974553298;res+thema;0.1285;0.0734;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;7577;442;3843;11302;203;678;6562;386;15.467845169155746;14.507772020725389
