child_transformer_id;parent_transformer_id
OS EDAM 10-1i;Station Wijdewormer 150
OS OUDEHASKE 20-5i;Station Oudehaske 110
OS LEIMUIDEN 10-2i;Station Leiden 150 kV
OS MIDDENMEER 20-2i;Station Middenmeer 150
OS HERBAYUM 10-2i;Station Herbayum 110
OS VIJFHUIZEN 10-2i;Station Vijfhuizen 150
OS HOORN HOLENWEG 10-1i;Station Westwoud 150
OS ZUTPHEN 20-3i;Station Zutphen 150
OS DOKKUM 10-1i;Station Dokkum 110
OS LELYSTAD 10-1i;Station Lelystad 150 (CBL)
OS HOOGTE KADIJK 10-2i;Station Amsterdam Hoogte Kadijk 150
OS ZORGVLIED 20-3i;Station Zorgvlied 150
OS ZEEWOLDE 20KV 20-9i;Station Zeewolde 150 (CBL)
OS DALE 10-1i;Station Dale 150
OS CULEMBORG 10-2i;Station Tiel 150
OS FRANKENENG 10-1i;Station Ede 150
OS 'S-GRAVELAND 10-1i;Station 's Graveland 150
OS BORCULO 20-3i;Station Borculo 150
OS HOOFDDORP 10-2i;Station Haarlemmermeer 150
OS HILVERSUM JONKERWEG 10-1i;Station 's Graveland 150
OS DEN HELDER DE SCHOOTEN 10-2i;Station Anna Paulowna 150
OS VIJFHUIZEN 10-1i;Station Vijfhuizen 150
OS DRONTEN 20KV 20-2i;Station Dronten 150 (CBL)
OS RUIGOORD 10-1i;Station Vijfhuizen 150
OS WEESP 10-9i;Station Amstelveen 150
OS ZALTBOMMEL 20-4i;Station Zaltbommel 150
OS ROZENBURG 10-2i;Station Haarlemmermeer 150
CM59;Station Merwedekanaal
TT019_10;Station Ommoord 150 kV
CM15;Station Soest 150
CM60;Station Utrecht Lage Weide 150
CM10;Station Oudenrijn 150
CM63;Station Dordrecht Merwedehaven 150 kV
TS066_10;Station Soest 150
TT004_10;Station Rotterdam Marconistraat 150 kV
TT024_10;Station Ommoord 150 kV
CM11;Station Soest 150
CM66;Station Alblasserdam 150 kV
TT025_10;Station Ommoord 150 kV
TT030_10;Station Westerlee 150 kV
